cycle,subgroup,precincts,two_party_votes,adjusted_dem_residual,white_college_share,black_share
2018,majority-Black precinct,139,51651.0,-0.05703217445744038,0.05697530813300696,0.7526812122683026
2018,majority-white precinct,76,21870.0,-0.017408774748218517,0.12219626276214655,0.30996897989774
2018,racially mixed precinct,10,5952.0,-0.06770716886661503,0.09998303606804693,0.43133102880170765
2020,majority-Black precinct,139,61366.0,-0.03275676531301637,0.05703459531794366,0.7527158722997628
2020,majority-white precinct,76,26472.0,-0.018244731508738465,0.12000814816388487,0.3097474162445584
2020,racially mixed precinct,11,7756.0,-0.027072902010729313,0.10560393205327218,0.43407010232412757
2022,majority-Black precinct,125,38206.0,-0.012985818604086317,0.05783504982885936,0.7503548765430873
2022,majority-white precinct,69,17692.0,-0.004216218623756378,0.11899497738531176,0.30994802812998185
2022,racially mixed precinct,10,4801.0,-0.06711488161937504,0.10584947634121092,0.43376858762680726
2024,majority-Black precinct,130,55261.0,-0.04228687472149398,0.05690003454532258,0.7418632802360577
2024,majority-white precinct,64,24220.0,-0.027519177308605005,0.12896317282096104,0.3087911385493788
2024,racially mixed precinct,10,4702.0,-0.08368869201319563,0.10232677225825404,0.40295880103938786
