model,model_label,is_public_default,chamber,district,predicted_dem_margin
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,80,-31.44503708050556
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,82,35.128333075122136
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,85,-24.161141748496245
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,96,-41.55702092643061
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,99,32.015231658913486
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,house,101,-26.407273513282878
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,2,1.5205962300067726
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,3,-37.59547850352965
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,6,-51.222885180169015
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,7,-9.34222190200577
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,8,-51.739199569482615
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,11,-47.94149345683357
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,13,-47.91174747275923
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,14,-41.42882002756304
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,16,-22.14517015805064
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,22,-56.845182452023764
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,23,9.518098496611197
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,28,7.900786506990782
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,29,-56.478146034028704
ensemble_ramp_ridge_80_20,80/20 ramp + ridge,True,senate,32,-51.332427098215135
ramp_all_extra_trees,Extra Trees,False,house,2,-65.84336199811021
ramp_all_extra_trees,Extra Trees,False,house,4,-35.13750598432679
ramp_all_extra_trees,Extra Trees,False,house,5,-45.65748768705397
ramp_all_extra_trees,Extra Trees,False,house,8,-24.993110915305422
ramp_all_extra_trees,Extra Trees,False,house,10,29.817697752071098
ramp_all_extra_trees,Extra Trees,False,house,15,-18.4986817990998
ramp_all_extra_trees,Extra Trees,False,house,16,-75.60945815355245
ramp_all_extra_trees,Extra Trees,False,house,19,60.18580690247808
ramp_all_extra_trees,Extra Trees,False,house,20,-25.516019273376116
ramp_all_extra_trees,Extra Trees,False,house,21,-20.953467606790635
ramp_all_extra_trees,Extra Trees,False,house,25,-7.142845461379447
ramp_all_extra_trees,Extra Trees,False,house,28,-27.944764226648648
ramp_all_extra_trees,Extra Trees,False,house,32,3.3454824873452895
ramp_all_extra_trees,Extra Trees,False,house,37,-43.692487559095014
ramp_all_extra_trees,Extra Trees,False,house,38,-43.45546568797894
ramp_all_extra_trees,Extra Trees,False,house,40,-62.22433965406379
ramp_all_extra_trees,Extra Trees,False,house,41,-46.69903776478718
ramp_all_extra_trees,Extra Trees,False,house,43,-43.72569013928106
ramp_all_extra_trees,Extra Trees,False,house,45,-45.31004502191696
ramp_all_extra_trees,Extra Trees,False,house,47,-17.162301940274773
ramp_all_extra_trees,Extra Trees,False,house,50,-57.95409603729999
ramp_all_extra_trees,Extra Trees,False,house,63,-18.88847936827364
ramp_all_extra_trees,Extra Trees,False,house,68,29.445506114882296
ramp_all_extra_trees,Extra Trees,False,house,69,37.86615132804437
ramp_all_extra_trees,Extra Trees,False,house,70,66.4909375542629
ramp_all_extra_trees,Extra Trees,False,house,74,31.640847152432446
ramp_all_extra_trees,Extra Trees,False,house,75,-29.74780314406034
ramp_all_extra_trees,Extra Trees,False,house,80,-34.163448511671746
ramp_all_extra_trees,Extra Trees,False,house,82,58.86349320108421
ramp_all_extra_trees,Extra Trees,False,house,85,-27.009216872012505
ramp_all_extra_trees,Extra Trees,False,house,96,-44.69104448762012
ramp_all_extra_trees,Extra Trees,False,house,99,56.011798924209145
ramp_all_extra_trees,Extra Trees,False,house,101,-31.200651505678053
ramp_all_extra_trees,Extra Trees,False,senate,2,2.4260562424015326
