cycle,region,precincts,two_party_votes,adjusted_dem_residual,white_college_share
2018,Auburn city,5,20123.0,-0.01242373764096367,0.4482348964663008
2018,Birmingham city,70,85921.0,0.06967849724092952,0.19085294727873542
2018,Birmingham educated suburbs,33,69253.0,0.03479116960897435,0.5351974751933801
2018,Black Belt,225,79473.0,-0.04692778447697815,0.07733292011944583
2018,Huntsville city,39,69798.0,0.05755047375892802,0.31341758833960726
2018,Madison County remainder,27,56300.0,0.009315151936685813,0.3178180474643734
2018,Madison city,7,18507.0,-0.008987288618878908,0.45992223996956677
2018,Mobile city,41,67614.0,-0.0010789017052621481,0.18855735348578162
2018,Shelby County remainder,38,75016.0,-0.023288320296928747,0.35922220825251777
2018,Tuscaloosa city,14,29775.0,0.05977612621399113,0.27182788458788115
2020,Auburn city,5,26703.0,-0.009326194483262176,0.4482348964663008
2020,Birmingham city,69,103783.0,0.07935969669725303,0.19085294727873536
2020,Birmingham educated suburbs,33,84722.0,0.016301148807126693,0.5351974751933801
2020,Black Belt,226,95594.0,-0.028276917177784213,0.0773506028708023
2020,Huntsville city,39,92074.0,0.08756767517848209,0.31341758833960726
2020,Madison County remainder,27,78664.0,0.014367060822730699,0.3178180474643734
2020,Madison city,7,24058.0,0.03184995271422486,0.45992223996956677
2020,Mobile city,40,84653.0,0.005564828838225919,0.1885573534857816
2020,Shelby County remainder,38,101911.0,-0.027199532740815196,0.35922220825251777
2020,Tuscaloosa city,14,35933.0,0.016332114052938298,0.27182788458788115
2022,Auburn city,5,14707.0,-0.05126270602286523,0.4482348964663008
2022,Birmingham city,67,54914.0,0.11756215466015528,0.17700713890815628
2022,Birmingham educated suburbs,36,52132.0,-0.036021711928830386,0.5362030783851529
2022,Black Belt,204,60699.0,-0.014711083743288016,0.07745406520817569
2022,Huntsville city,38,53453.0,0.0549157323747027,0.316987426460493
2022,Madison County remainder,29,49514.0,0.017102460650461074,0.3129917684263239
2022,Madison city,8,14664.0,-0.0020101819247839332,0.45992223996956677
2022,Mobile city,36,47311.0,-0.0006778109179981867,0.19297346991180697
2022,Shelby County remainder,33,60717.0,-0.03215380417213545,0.3613337128771036
2022,Tuscaloosa city,14,19947.0,0.01624477879549551,0.27182788458788115
2024,Auburn city,8,28761.0,-0.03619234978670876,0.4558489612927053
2024,Birmingham city,65,84133.0,0.0999633833617129,0.18397403192567796
2024,Birmingham educated suburbs,35,82181.0,0.023296899239767868,0.5375481531012601
2024,Black Belt,204,84183.0,-0.040350589646899464,0.0782884844643659
2024,Huntsville city,40,89378.0,0.10400726185653347,0.3242379905790884
2024,Madison County remainder,33,90135.0,0.03179651436613263,0.31982255398833326
2024,Madison city,7,19824.0,0.05365414653112274,0.4694080853808751
2024,Mobile city,37,78541.0,0.008177607473348707,0.19630103197889517
2024,Shelby County remainder,34,104597.0,-0.02325180601627004,0.3629978180369359
2024,Tuscaloosa city,13,32339.0,0.016382839042930926,0.26077717683842816
