test_cycle,selected_specification,selection_reason,mae,public_mae,delta_mae_vs_public
1998,public_80_20_total_ridge,benchmark_fallback_fewer_than_two_prior_holdouts,24.025297789025853,24.025297789025853,0.0
2002,public_80_20_total_ridge,benchmark_fallback_fewer_than_two_prior_holdouts,29.601688642557257,29.601688642557257,0.0
2006,stable_cvap_composition_elastic,lowest_mean_mae_on_prior_holdouts_only,24.459514226129542,39.31359263535273,-14.854078409223185
2010,stable_cvap_composition_elastic,lowest_mean_mae_on_prior_holdouts_only,13.97475515685194,22.129142244028397,-8.154387087176458
2014,stable_cvap_composition_elastic,lowest_mean_mae_on_prior_holdouts_only,16.152524588343667,21.736015895354953,-5.583491307011286
2018,stable_cvap_composition_elastic,lowest_mean_mae_on_prior_holdouts_only,12.456600123526421,12.030235306714623,0.42636481681179816
2022,stable_cvap_composition_elastic,lowest_mean_mae_on_prior_holdouts_only,9.377104046616557,9.578188079949948,-0.20108403333339098
