cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,acs_vintage,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,white_college_method,dem_candidate_spending,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,rep_finance_matched,finance_complete
2014,house,11,0.0,8941.0,8941.0,-100.0,False,R,2012_enacted,-57.395684097675485,3,-61.36798424123504,2,True,complete_core_expanded,-42.60431590232452,-38.63201575876496,0,,,,,False,False,True,open,3637.147035442707,22607.454774866867,26244.60181030957,-72.2827036071552,0.4583404844652382,True,,,,,,,,,,,,,,,2014,"State House District 11 (2014), Alabama",45012,30532,0.0932195858882075,0.1249181186951395,0.1272471416007036,28425,acs_c15002h_white_nh_bachelors_plus_direct,0.0,12348.91,,500.0,False,True,False
2014,house,12,0.0,9455.0,9455.0,-100.0,False,R,2012_enacted,-45.23646271555133,3,-57.94896303962902,2,True,complete_core_expanded,-54.76353728444867,-42.05103696037098,0,,,,,False,False,True,open,3022.20628092825,16813.317465335043,19835.52374626329,-69.52733570750722,0.15667674958151,True,,,,,,,,,,,,,,,2014,"State House District 12 (2014), Alabama",45186,31157,0.0830788297260213,0.153031421510415,0.160257728425526,29178,acs_c15002h_white_nh_bachelors_plus_direct,0.0,58085.630000000005,,500.0,False,True,False
2014,house,13,0.0,9482.0,9482.0,-100.0,False,R,2012_enacted,-50.35028297752764,2,,1,False,incomplete_core,-49.64971702247236,,0,,,,,False,False,True,open,5316.141143125955,21346.348494691865,26662.48963781782,-60.12269510206885,0.2767509066617242,True,,,,,,,,,,,,,,,2014,"State House District 13 (2014), Alabama",46198,31891,0.1117147928481752,0.1346461384089555,0.1393031406776166,29102,acs_c15002h_white_nh_bachelors_plus_direct,0.0,40016.56,,500.0,False,True,False
2014,house,14,0.0,9255.0,9255.0,-100.0,False,R,2012_enacted,-55.084835210209015,3,-56.90967989024932,2,True,complete_core_expanded,-44.915164789790985,-43.09032010975068,0,,,,,False,False,True,open,3022.6918399325227,12954.556164809112,15977.248004741636,-62.16254715410983,0.2389895039781945,True,,,,,,,,,,,,,,,2014,"State House District 14 (2014), Alabama",42961,30739,0.0519308209771652,0.0978886756238003,0.0973219450777554,29387,acs_c15002h_white_nh_bachelors_plus_direct,0.0,52971.76,,500.0,False,True,False
2014,house,15,0.0,10178.0,10178.0,-100.0,False,R,2012_enacted,-47.532226872100416,3,-46.459970658549054,2,True,complete_core_expanded,-52.467773127899584,-53.54002934145095,1,Allen Farley,R,prior_winner_match,1.0,False,True,False,incumbent_running,11055.421764119985,15802.886699408182,26858.308463528163,-17.67596400099041,0.6926431664121844,True,,,,,,,,,,,,,,,2014,"State House District 15 (2014), Alabama",47051,31962,0.1755116788166032,0.3331456104123647,0.3177050281832095,26789,acs_c15002h_white_nh_bachelors_plus_direct,0.0,10228.77,,500.0,False,True,False
2014,house,16,3430.0,10467.0,13897.0,-50.63682809239404,True,R,2012_enacted,-47.67174978423207,3,-47.36449670426557,2,True,complete_core_expanded,-2.9650783081619707,-3.272331388128471,1,Daniel H. Boman,D,prior_winner_match+wikipedia_incumbent_annotation,0.9230769230769232,True,False,False,incumbent_running,3092.1563825326834,10907.11322189452,13999.269604427203,-55.8240326830365,0.1148720598439726,True,,,,,,,,,,,,,,,2014,"State House District 16 (2014), Alabama",43771,31077,0.1390875237029083,0.1319947227853396,0.1346712338967905,26858,acs_c15002h_white_nh_bachelors_plus_direct,96890.98,171889.42,-0.5710223888796842,500.0,True,True,True
2014,house,17,4027.0,7854.0,11881.0,-32.21109334231125,True,R,2012_enacted,-45.003341058291205,3,-44.1466254987333,2,True,complete_core_expanded,12.792247715979954,11.935532156422047,1,Mike Millican,R,prior_winner_match,1.0,False,True,False,incumbent_running,3030.0070346699417,12557.26639300596,15587.2734276759,-61.12203909517583,0.0997692658948708,True,,,,,,,,,,,,,,,2014,"State House District 17 (2014), Alabama",45558,32251,0.073115588919619,0.1065393321137329,0.1066830777419247,30061,acs_c15002h_white_nh_bachelors_plus_direct,26243.72,73908.28,-1.0232675465443777,500.0,True,True,True
2014,house,18,6700.0,4559.0,11259.0,19.0158983923972,True,D,2012_enacted,-24.36728843385004,3,-24.97932222796201,2,True,complete_core_expanded,43.38318682624723,43.995220620359206,1,Johnny MacK Morrow,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,5773.833634362805,13050.47078373705,18824.30441809985,-38.65554332184326,0.4910109924756655,True,,,,,,,,,,,,,,,2014,"State House District 18 (2014), Alabama",44959,30544,0.1899286016148046,0.1204164484023048,0.1326818339835451,25889,acs_c15002h_white_nh_bachelors_plus_direct,71440.4,0.0,,500.0,True,False,False
2014,house,19,7615.0,0.0,7615.0,100.0,False,D,2012_enacted,26.560196698364475,3,25.01376658108119,2,True,complete_core_expanded,73.43980330163552,74.98623341891881,1,Laura Hall,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,15252.203059794563,6645.878263076233,21898.0813228708,39.30173000010605,0.1541831441294325,True,,,,,,,,,,,,,,,2014,"State House District 19 (2014), Alabama",47829,28998,0.6847519287461582,0.2704669287537071,0.2893730886850152,10464,acs_c15002h_white_nh_bachelors_plus_direct,57377.82,0.0,,500.0,True,False,False
2014,house,20,0.0,12876.0,12876.0,-100.0,False,R,2012_enacted,-56.94472908344964,3,-56.15855981844694,2,True,complete_core_expanded,-43.05527091655036,-43.84144018155306,1,Howard Sanderford,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,7300.259829258015,20032.72354435092,27332.98337360893,-46.58278074169758,0.1541831441294325,True,,,,,,,,,,,,,,,2014,"State House District 20 (2014), Alabama",46159,33257,0.1130657076626443,0.5649938358841747,0.5655468049047951,30093,acs_c15002h_white_nh_bachelors_plus_direct,0.0,18211.92,,500.0,False,True,False
