canonical_party,incumbent,candidate_cycles,mean_direct_cmo,mean_quality
D,0,81,34.416238751804286,6.121533610231901
D,1,39,25.840537638289916,7.055040354985092
R,0,61,-14.144087746675096,2.80445012168792
R,1,52,-5.106400089857162,5.656909161329431
