cycle,measure,count,mean,median,std
1994,legislative_dem_margin,72,10.69229403467238,14.978168457416793,35.4780252719739
1994,statewide_index_margin,72,-6.217944036575517,-9.381131000310464,29.44831191481061
1994,raw_overperformance,72,16.910238071247893,17.451524018036785,22.86824361595146
1994,prior_pres_dem_margin,67,-8.906227059329026,-12.109803006718568,17.889383762027798
1994,prior_pres_swing,0,,,
1994,nonwhite_share,72,0.26235090992062804,0.18256254611109518,0.2099966402355712
1994,white_college_share,72,0.18290049693623167,0.1545630794535645,0.10943350993068389
1994,log_spending_ratio_d_to_r,0,,,
1994,war_residual_oof,72,15.972367139421998,19.654723003493807,26.461211054574594
1994,war_residual_loco,72,15.972367139421998,19.654723003493807,26.461211054574594
1998,legislative_dem_margin,85,12.775299779902717,16.079981753212195,30.542195342716127
1998,statewide_index_margin,85,3.6952525390256077,0.1672989472686525,21.531836932389847
1998,raw_overperformance,85,9.08004724087711,7.571582689373854,19.11660805333385
1998,prior_pres_dem_margin,83,-7.15401938158565,-9.95043779943829,16.551498469129587
1998,prior_pres_swing,0,,,
1998,nonwhite_share,85,0.21026162356500122,0.173166298825797,0.17818061252523246
1998,white_college_share,85,0.15703872476535213,0.128091464777912,0.09605266732856606
1998,log_spending_ratio_d_to_r,0,,,
1998,war_residual_oof,85,16.155989822323065,16.896219122525018,23.680302293729785
1998,war_residual_loco,85,16.155989822323065,16.896219122525018,23.680302293729785
2002,legislative_dem_margin,74,7.507865447670457,16.07658174354021,33.55166847110319
2002,statewide_index_margin,74,-10.957841300051236,-14.917597924172856,21.8556830846145
2002,raw_overperformance,74,18.465706747721693,21.425112181917683,23.533858805987574
2002,prior_pres_dem_margin,67,-18.62128965055635,-20.92162068429424,15.810530330118135
2002,prior_pres_swing,0,,,
2002,nonwhite_share,74,0.24061615990971544,0.19566232496384195,0.16905867940593697
2002,white_college_share,74,0.18716994830949965,0.1650690669518661,0.0963867842903764
2002,log_spending_ratio_d_to_r,0,,,
2002,war_residual_oof,74,20.207401059815005,24.663468382752647,26.66073634498654
2002,war_residual_loco,74,20.207401059815005,24.663468382752647,26.66073634498654
2006,legislative_dem_margin,62,4.312407119745317,8.768793854455694,32.621951295655585
2006,statewide_index_margin,62,-15.948676680493612,-20.326783436076454,21.86636314540026
2006,raw_overperformance,62,20.26108380023893,16.684985690647306,23.6629153040011
2006,prior_pres_dem_margin,58,-38.05105229687866,-45.37438530614776,24.740286624349597
2006,prior_pres_swing,0,,,
2006,nonwhite_share,62,0.25762620142985654,0.23828623857867298,0.15582713147919589
2006,white_college_share,62,0.1945092573073426,0.1686317976587805,0.10536826260744477
2006,log_spending_ratio_d_to_r,0,,,
2006,war_residual_oof,62,36.988113001581965,34.453529918432395,29.141913435621788
2006,war_residual_loco,62,36.988113001581965,34.453529918432395,29.141913435621788
2010,legislative_dem_margin,63,-11.584963896971201,-9.780724562315823,25.274482281013803
2010,statewide_index_margin,63,-21.857210139431658,-23.80274180550655,20.800725015446066
2010,raw_overperformance,63,10.272246242460458,11.65683705462382,16.63600823694616
2010,prior_pres_dem_margin,63,-30.901909806925566,-34.91727586732206,21.58831644679257
2010,prior_pres_swing,0,,,
2010,nonwhite_share,63,0.26507941445426114,0.2289849616197109,0.15802017365127186
2010,white_college_share,63,0.2033814693166374,0.1701191875104918,0.10144859203466124
2010,log_spending_ratio_d_to_r,0,,,
2010,war_residual_oof,63,15.770209218405087,19.436185122947837,22.117814647200035
2010,war_residual_loco,63,15.770209218405087,19.436185122947837,22.117814647200035
2014,legislative_dem_margin,56,-12.328882416806392,-19.145921544722142,34.52848255050541
2014,statewide_index_margin,56,-19.67320656227572,-30.959607253259854,30.73271325205066
2014,raw_overperformance,56,7.34432414546933,5.838596210508722,18.91088162710849
2014,prior_pres_dem_margin,53,-26.30125188797476,-29.13072842938741,22.780735107208002
2014,prior_pres_swing,0,,,
2014,nonwhite_share,56,0.32118058926282184,0.25935517246343254,0.20115295127599506
2014,white_college_share,56,0.24036631219644508,0.19923713473931437,0.13698574322182422
2014,log_spending_ratio_d_to_r,46,-0.861110226045111,-1.1257681030182076,3.182493531863898
2014,war_residual_oof,56,8.038354742093182,12.074510378581007,26.336173543537523
2014,war_residual_loco,56,8.038354742093182,12.074510378581007,26.336173543537523
2018,legislative_dem_margin,64,-28.719907315035965,-35.22356970918602,25.73366270648435
2018,statewide_index_margin,64,-25.75687870009456,-28.529998284816976,23.53216096372983
2018,raw_overperformance,64,-2.963028614941406,-4.575389829041065,6.846957069096613
2018,prior_pres_dem_margin,64,-31.624727872834903,-35.07946280128136,24.538781104239117
2018,prior_pres_swing,62,-4.280740798481434,-5.658263206798592,9.876736792548039
2018,nonwhite_share,64,0.29329759044852804,0.2665337176488354,0.14091652153898762
2018,white_college_share,64,0.307619893393028,0.24679300504717916,0.15459949371642603
2018,log_spending_ratio_d_to_r,50,-0.1984118305524415,-1.126566497457309,2.785106843954614
2018,war_residual_oof,64,-2.0751620024369792,0.5240672091660663,18.55622977426833
2018,war_residual_loco,64,-2.0751620024369792,0.5240672091660663,18.55622977426833
2022,legislative_dem_margin,33,-28.801640824261394,-32.43307839388145,34.794106906680376
2022,statewide_index_margin,33,-33.328140282605844,-37.91891828005268,32.68744568435718
2022,raw_overperformance,33,4.526499458344448,3.226323189402706,6.187991157029528
2022,prior_pres_dem_margin,33,-23.283761716961177,-23.591728669364024,30.03569137410907
2022,prior_pres_swing,33,4.136734733038097,2.743480407078957,6.751712150600592
2022,nonwhite_share,33,0.372446869587546,0.3341773838875191,0.17027242076826368
2022,white_college_share,33,0.32759897801260063,0.2441696312609407,0.1660598132850624
2022,log_spending_ratio_d_to_r,28,-0.05875656082302217,-0.1262406324664224,2.3684213714502826
2022,war_residual_oof,33,-2.3160536165328613,-5.238127547752839,14.020404775679697
2022,war_residual_loco,33,-2.3160536165328613,-5.238127547752839,14.020404775679697
