cycle,chamber,district,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,map_vintage
2014,house,60,57.4080758973983,3,57.34149758066215,2,True,complete_core_expanded,2012_enacted
2014,house,61,-38.479740114030825,3,-41.46186420234211,2,True,complete_core_expanded,2012_enacted
2014,house,62,-33.09066072953931,2,-33.09066072953931,2,True,complete_core_limited_expanded,2012_enacted
2014,house,63,-40.43954801454993,2,-40.43954801454993,2,True,complete_core_limited_expanded,2012_enacted
2014,house,64,-61.516127417670226,3,-59.301500394965515,2,True,complete_core_expanded,2012_enacted
2014,house,65,-29.509057407737675,3,-27.526516593284292,2,True,complete_core_expanded,2012_enacted
2014,house,66,-49.70363855148516,3,-53.082216988587106,2,True,complete_core_expanded,2012_enacted
2014,house,67,31.798014271445183,3,31.69623197953328,2,True,complete_core_expanded,2012_enacted
2014,house,68,15.977546323127816,3,17.693631990876977,2,True,complete_core_expanded,2012_enacted
2014,house,69,39.243421154781124,3,41.62446063394117,2,True,complete_core_expanded,2012_enacted
2014,house,70,40.51641988832923,2,40.51641988832923,2,True,complete_core_limited_expanded,2012_enacted
2014,house,71,37.309532117155925,3,36.55941796453848,2,True,complete_core_expanded,2012_enacted
2014,house,72,37.352766380211285,3,38.304101668368624,2,True,complete_core_expanded,2012_enacted
2014,house,73,-52.44137245587382,3,-50.99468741438821,2,True,complete_core_expanded,2012_enacted
2014,house,74,-23.77267271513252,3,-19.34163207140182,2,True,complete_core_expanded,2012_enacted
2014,house,75,-25.727065533553382,3,-20.97228983994192,2,True,complete_core_expanded,2012_enacted
2014,house,76,53.79312067098655,3,55.42644971408963,2,True,complete_core_expanded,2012_enacted
2014,house,77,28.125665095059077,3,31.495025452187136,2,True,complete_core_expanded,2012_enacted
2014,house,78,60.70223938888527,3,62.68714974575734,2,True,complete_core_expanded,2012_enacted
2014,house,79,-21.055527158511108,3,-16.013329097984172,2,True,complete_core_expanded,2012_enacted
2014,house,80,-34.46587417933598,3,-32.84355112727516,2,True,complete_core_expanded,2012_enacted
2014,house,81,-38.491772743681985,3,-34.72133598771951,2,True,complete_core_expanded,2012_enacted
2014,house,82,27.78792955537277,3,24.736797230989687,2,True,complete_core_expanded,2012_enacted
