feature,coefficient
intercept,17.900727883302295
num__inc_adv_pre_2008,9.403351932243671
num__inc_adv_2008_2014,4.600166454862512
num__inc_adv_post_2016,3.952703378840187
num__prior_pres_margin,-2.015390270043141
num__presidential_swing,-1.5009162269136231
num__lag_pre_2008,-9.225068197261079
num__lag_2008_2014,-3.4027464173225415
num__lag_post_2016,-0.7410264741745968
cat__chamber_senate,0.9418386812744131
