cycle,source_name,candidates,observed,resources
1994,,210,0,0.0
1998,DIME,148,148,14255913.0
1998,,22,0,0.0
2002,DIME,167,167,19924788.0
2002,,46,0,0.0
2006,DIME,178,178,33830385.0
2006,,13,0,0.0
2010,DIME,196,196,39350537.0
2010,,7,0,0.0
2014,FollowTheMoney,129,129,20924025.0
2014,,69,0,0.0
2018,FollowTheMoney,148,148,16824563.0
2018,,56,0,0.0
2022,FollowTheMoney,108,108,18679256.0
2022,,65,0,0.0
