cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,acs_vintage,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,white_college_method,dem_candidate_spending,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,rep_finance_matched,finance_complete,incumbency_advantage_d,dem_incumbent_i,rep_incumbent_i,prior_pres_dem_margin,prior_pres_swing,pres_trend_available,expected_raw_overperformance_oof,war_residual_oof,expected_raw_overperformance_loco,war_residual_loco,expected_raw_overperformance_final,war_residual_final,selected_ridge_alpha,war_model_se,war_final_ci_low,war_final_ci_high
2014,house,1,4652.0,4933.0,9585.0,-2.9316640584246216,True,R,2012_enacted,-19.222688752899867,3,-19.9141007031046,2,True,complete_core_expanded,16.291024694475244,16.98243664467998,1,Greg Burdine,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,7108.280612717517,11407.643272186791,18515.92388490431,-23.219811693946664,0.3016261055869911,True,,,,,,,,,,,,,,,2014,"State House District 1 (2014), Alabama",47403,30063,0.1932156192646035,0.1925955493463726,0.2043314126763361,25165,acs_c15002h_white_nh_bachelors_plus_direct,49571.78,19368.35,0.9243295625823332,500.0,True,True,1,1,1,0,-23.219811693946664,,0,19.125028426776844,-2.8340037323016,9.138695627862937,7.152329066612307,18.863127657148926,-2.572102962673682,30,3.8179735503140066,-9.168834364334964,5.395426365716046
2014,house,2,5224.0,8561.0,13785.0,-24.20747188973522,True,R,2012_enacted,-42.34174252025333,3,-42.87184361897879,2,True,complete_core_expanded,18.134270630518103,18.66437172924357,1,Lynn Greer,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,5026.16816681045,13322.545990433891,18348.714157244343,-45.21503660978832,0.3081164518466862,True,,,,,,,,,,,,,,,2014,"State House District 2 (2014), Alabama",44509,32620,0.0909254308117459,0.2437155119558553,0.2445940092626528,30013,acs_c15002h_white_nh_bachelors_plus_direct,27730.88,165207.39,-1.7698071078192676,500.0,True,True,1,-1,0,1,-45.21503660978832,,0,7.047556329107497,11.086714301410606,-1.839611511973015,19.973882142491117,6.392184140540346,11.742086489977757,30,2.788294803445706,6.335640774018019,17.742778907164148
2014,house,3,7993.0,5357.0,13350.0,19.745318352059925,True,D,2012_enacted,-6.685684951552702,3,-6.784808967653031,2,True,complete_core_expanded,26.431003303612627,26.53012731971296,1,Marcel Black,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,8454.376421064722,10903.848959200486,19358.22538026521,-12.65339404836605,0.1221155134916766,True,,,,,,,,,,,,,,,2014,"State House District 3 (2014), Alabama",46146,32089,0.2803276557014692,0.1948331203839322,0.2111746774126195,23947,acs_c15002h_white_nh_bachelors_plus_direct,55561.97,19982.74,1.0068751057548084,500.0,True,True,1,1,1,0,-12.65339404836605,,0,18.532407460488884,7.8985958431237435,8.739925455885722,17.691077847726906,17.565389283765292,8.865614019847335,30,3.4432568681769347,2.649516400838166,15.949888719727921
2014,house,5,5520.0,7132.0,12652.0,-12.74106860575403,True,R,2012_enacted,-44.76018183706217,3,-44.869789761332704,2,True,complete_core_expanded,32.01911323130814,32.128721155578674,1,Dan Williams,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,4789.905419177589,12630.10860168813,17420.014020865718,-45.006870678287264,0.3306626368613139,True,,,,,,,,,,,,,,,2014,"State House District 5 (2014), Alabama",49802,32804,0.2309144211075861,0.2157358858675771,0.2322466228963851,26502,acs_c15002h_white_nh_bachelors_plus_direct,18907.73,183582.89,-2.2497147049836848,500.0,True,True,1,-1,0,1,-45.006870678287264,,0,3.488484678632779,28.53062855267536,-2.5147805888955648,34.5338938202037,3.5976621566325866,28.421451074675552,30,2.42877923198299,23.40584041731948,33.536532711335234
2014,house,7,5553.0,6072.0,11625.0,-4.464516129032258,True,R,2012_enacted,-37.81096601916638,3,-38.37126816270015,2,True,complete_core_expanded,33.346449890134124,33.906752033667885,1,Ken Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,5340.708215677897,12240.233773442524,17580.94198912042,-39.24434516668246,0.4427950654264487,True,,,,,,,,,,,,,,,2014,"State House District 7 (2014), Alabama",45064,30831,0.1505414521569323,0.1200739515422788,0.1148548026805659,26860,acs_c15002h_white_nh_bachelors_plus_direct,32575.7,177937.53,-1.685439694178181,500.0,True,True,1,-1,0,1,-39.24434516668246,,0,6.7206862196472725,26.62576367048685,-1.8378834235836483,35.18433331371777,7.639417724765288,25.707032165368837,30,2.6493113289081527,20.726685094564402,31.52259207684543
2014,house,8,4195.0,6270.0,10465.0,-19.82799808886765,True,R,2012_enacted,-31.509820734217403,3,-32.32744781637959,2,True,complete_core_expanded,11.681822645349747,12.499449727511934,1,Terri Collins,R,prior_winner_match,1.0,False,True,False,incumbent_running,6616.896513502752,11684.654272395992,18301.550785898744,-27.69031880510324,0.2796231824697932,True,,,,,,,,,,,,,,,2014,"State House District 8 (2014), Alabama",45485,31151,0.3527976255908541,0.1937979519116561,0.2408431550317316,22060,acs_c15002h_white_nh_bachelors_plus_direct,96098.7,181697.38,-0.63452532134907,500.0,True,True,1,-1,0,1,-27.69031880510324,,0,2.459588877634431,9.222233767715316,-1.3154902444897878,12.997312889839534,3.508712387946739,8.173110257403009,30,2.6700987970648655,3.0681498324291256,13.820238053000681
2014,house,10,314.0,9256.0,9570.0,-93.43782654127482,True,R,2012_enacted,-39.43504708388445,3,-39.14625188512774,2,True,complete_core_expanded,-54.00277945739037,-54.29157465614708,1,Mike Ball,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6075.911982062566,10643.466178815392,16719.378160877957,-27.318923902568024,0.1592263317225564,True,,,,,,,,,,,,,,,2014,"State House District 10 (2014), Alabama",48216,32753,0.301269288203086,0.4528745458431288,0.4753039190682649,23526,acs_c15002h_white_nh_bachelors_plus_direct,256283.34,13784.18,2.889080063156914,500.0,True,True,1,-1,0,1,-27.318923902568024,,0,9.4616819258782,-63.46446138326857,2.745193899798053,-56.74797335718842,4.578455164171559,-58.581234621561926,30,5.2801872578950695,-67.00895626264673,-46.76466641193683
2014,house,16,3430.0,10467.0,13897.0,-50.63682809239404,True,R,2012_enacted,-47.67174978423207,3,-47.36449670426557,2,True,complete_core_expanded,-2.9650783081619707,-3.272331388128471,1,Daniel H. Boman,D,prior_winner_match+wikipedia_incumbent_annotation,0.9230769230769232,True,False,False,incumbent_running,3092.1563825326834,10907.11322189452,13999.269604427203,-55.8240326830365,0.1148720598439726,True,,,,,,,,,,,,,,,2014,"State House District 16 (2014), Alabama",43771,31077,0.1390875237029083,0.1319947227853396,0.1346712338967905,26858,acs_c15002h_white_nh_bachelors_plus_direct,96890.98,171889.42,-0.5710223888796842,500.0,True,True,1,1,1,0,-55.8240326830365,,0,20.09874947647714,-23.06382778463911,8.762252442775216,-11.727330750937186,18.48948832270089,-21.45456663086286,30,3.977559232011482,-28.502360183285234,-13.364156801296636
2014,house,17,4027.0,7854.0,11881.0,-32.21109334231125,True,R,2012_enacted,-45.003341058291205,3,-44.1466254987333,2,True,complete_core_expanded,12.792247715979954,11.935532156422047,1,Mike Millican,R,prior_winner_match,1.0,False,True,False,incumbent_running,3030.0070346699417,12557.26639300596,15587.2734276759,-61.12203909517583,0.0997692658948708,True,,,,,,,,,,,,,,,2014,"State House District 17 (2014), Alabama",45558,32251,0.073115588919619,0.1065393321137329,0.1066830777419247,30061,acs_c15002h_white_nh_bachelors_plus_direct,26243.72,73908.28,-1.0232675465443777,500.0,True,True,1,-1,0,1,-61.12203909517583,,0,9.535097859560649,3.2571498564193053,-0.05216794698877825,12.844415662968732,9.333078015572758,3.4591697004071964,30,3.2547544510130644,-2.6027140170962664,10.362738043809651
2014,house,18,6700.0,4559.0,11259.0,19.0158983923972,True,D,2012_enacted,-24.36728843385004,3,-24.97932222796201,2,True,complete_core_expanded,43.38318682624723,43.995220620359206,1,Johnny MacK Morrow,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,5773.833634362805,13050.47078373705,18824.30441809985,-38.65554332184326,0.4910109924756655,True,,,,,,,,,,,,,,,2014,"State House District 18 (2014), Alabama",44959,30544,0.1899286016148046,0.1204164484023048,0.1326818339835451,25889,acs_c15002h_white_nh_bachelors_plus_direct,71440.4,0.0,,500.0,True,False,0,1,1,0,-38.65554332184326,,0,17.11107597399345,26.272110852253782,8.351435181857603,35.03175164438963,18.487739386849885,24.895447439397348,30,3.820302377258525,18.362722627332893,32.76513043718375
