specification,test_cycle,mae
full_hybrid_cvap_ridge5,1998,18.55666634045689
full_hybrid_cvap_ridge5,2002,19.40455021319065
full_hybrid_cvap_ridge5,2006,24.079659399310778
full_hybrid_cvap_ridge5,2010,14.68213842384292
full_hybrid_cvap_ridge5,2014,16.18568341586692
full_hybrid_cvap_ridge5,2018,12.260830252898263
full_hybrid_cvap_ridge5,2022,7.853968922166174
full_total_ridge5,1998,18.55666634045689
full_total_ridge5,2002,19.40455021319065
full_total_ridge5,2006,24.079659399310778
full_total_ridge5,2010,14.793336349584992
full_total_ridge5,2014,16.192916773365976
full_total_ridge5,2018,12.26792668931164
full_total_ridge5,2022,8.023997966995552
hybrid_cvap_blend_25,1998,22.0387960885601
hybrid_cvap_blend_25,2002,26.667764930527824
hybrid_cvap_blend_25,2006,34.921219828735644
hybrid_cvap_blend_25,2010,18.259066646551897
hybrid_cvap_blend_25,2014,19.72242743016606
hybrid_cvap_blend_25,2018,11.663333967041302
hybrid_cvap_blend_25,2022,8.658605809336168
hybrid_cvap_blend_50,1998,20.384462600295368
hybrid_cvap_blend_50,2002,23.802690407154525
hybrid_cvap_blend_50,2006,30.541025568640336
hybrid_cvap_blend_50,2010,15.402707809562587
hybrid_cvap_blend_50,2014,17.993501553370972
hybrid_cvap_blend_50,2018,11.547830718088736
hybrid_cvap_blend_50,2022,8.082464644418314
hybrid_cvap_blend_75,1998,19.131790995773873
hybrid_cvap_blend_75,2002,21.334176129689006
hybrid_cvap_blend_75,2006,26.72087473844166
hybrid_cvap_blend_75,2010,14.055493503194402
hybrid_cvap_blend_75,2014,16.79619325993155
hybrid_cvap_blend_75,2018,11.722445320309504
hybrid_cvap_blend_75,2022,7.808005134875688
public_80_20_total_ridge,1998,24.025297789025853
public_80_20_total_ridge,2002,29.601688642557257
public_80_20_total_ridge,2006,39.31359263535273
public_80_20_total_ridge,2010,22.129142244028397
public_80_20_total_ridge,2014,21.736015895354953
public_80_20_total_ridge,2018,12.030235306714623
public_80_20_total_ridge,2022,9.578188079949948
stable_bayesian_blend_25,1998,23.446793727954606
stable_bayesian_blend_25,2002,28.646415487575023
stable_bayesian_blend_25,2006,38.27676438397406
stable_bayesian_blend_25,2010,21.076619923017837
stable_bayesian_blend_25,2014,21.1903895458585
stable_bayesian_blend_25,2018,11.819182994768356
stable_bayesian_blend_25,2022,8.64658795410502
stable_bayesian_blend_50,1998,22.926536827453447
stable_bayesian_blend_50,2002,27.691142332592793
stable_bayesian_blend_50,2006,37.31882910640372
stable_bayesian_blend_50,2010,20.07579408534562
stable_bayesian_blend_50,2014,20.644763196362053
stable_bayesian_blend_50,2018,11.694882902807988
stable_bayesian_blend_50,2022,8.061753649395513
stable_bayesian_cap_1,1998,23.524681104245083
stable_bayesian_cap_1,2002,28.98925065075958
stable_bayesian_cap_1,2006,38.78041263989991
stable_bayesian_cap_1,2010,21.35961517589138
stable_bayesian_cap_1,2014,21.446552328742428
stable_bayesian_cap_1,2018,11.831098714761481
stable_bayesian_cap_1,2022,9.026190005081006
stable_bayesian_cap_2,1998,23.15063046774767
stable_bayesian_cap_2,2002,28.40795347568125
stable_bayesian_cap_2,2006,38.289706816212394
stable_bayesian_cap_2,2010,20.695703125837344
stable_bayesian_cap_2,2014,21.09036470933726
stable_bayesian_cap_2,2018,11.783240224693635
stable_bayesian_cap_2,2022,8.609534007397635
stable_cvap_composition_elastic,1998,18.204881192429777
stable_cvap_composition_elastic,2002,17.530244691053717
stable_cvap_composition_elastic,2006,24.459514226129542
stable_cvap_composition_elastic,2010,13.97475515685194
stable_cvap_composition_elastic,2014,16.152524588343667
stable_cvap_composition_elastic,2018,12.456600123526421
stable_cvap_composition_elastic,2022,9.377104046616557
stable_hybrid_bayesian_35,1998,22.016816424267603
stable_hybrid_bayesian_35,2002,25.81496690406613
stable_hybrid_bayesian_35,2006,35.52060975118481
stable_hybrid_bayesian_35,2010,18.14495155356038
stable_hybrid_bayesian_35,2014,19.62047090000844
stable_hybrid_bayesian_35,2018,11.490784866216849
stable_hybrid_bayesian_35,2022,7.791542565523035
stable_hybrid_elastic10_35,1998,21.98742867811358
stable_hybrid_elastic10_35,2002,25.82104670772014
stable_hybrid_elastic10_35,2006,35.4120613685835
stable_hybrid_elastic10_35,2010,17.936917384919177
stable_hybrid_elastic10_35,2014,19.628349545376107
stable_hybrid_elastic10_35,2018,11.513029477503471
stable_hybrid_elastic10_35,2022,7.896048828284527
stable_total_elastic10_35,1998,21.98742867811358
stable_total_elastic10_35,2002,25.82104670772014
stable_total_elastic10_35,2006,35.4120613685835
stable_total_elastic10_35,2010,17.826854407818264
stable_total_elastic10_35,2014,19.420536318642956
stable_total_elastic10_35,2018,11.543351108245
stable_total_elastic10_35,2022,7.98221571165291
