cycle,chamber,districts,contested_dr_races,excluded_races,eligible_share
1994,house,104,54,50,0.5192307692307693
1994,senate,35,18,17,0.5142857142857142
1998,house,57,57,0,1.0
1998,senate,28,28,0,1.0
2002,house,104,51,53,0.49038461538461536
2002,senate,35,23,12,0.6571428571428571
2006,house,98,40,58,0.40816326530612246
2006,senate,34,22,12,0.6470588235294118
2010,house,105,42,63,0.4
2010,senate,35,21,14,0.6
2014,house,105,40,65,0.38095238095238093
2014,senate,35,16,19,0.45714285714285713
2018,house,105,49,56,0.4666666666666667
2018,senate,35,15,20,0.42857142857142855
2022,house,105,25,80,0.23809523809523808
2022,senate,35,8,27,0.22857142857142856
