test_cycle,chamber,specification,races,mae,bias
1998,all,no_environment,83,26.345106843967834,19.67493260344879
1998,house,no_environment,55,26.697398004115403,20.264069916942468
1998,senate,no_environment,28,25.65310635082083,18.517698594800493
1998,all,uniform_environment,83,33.26309577507943,29.858725603448793
1998,house,uniform_environment,55,33.82030253595807,30.44786291694247
1998,senate,uniform_environment,28,32.168582494782115,28.7014915948005
1998,all,post2008_step,83,26.345106843967834,19.67493260344879
1998,house,post2008_step,55,26.697398004115403,20.264069916942468
1998,senate,post2008_step,28,25.65310635082083,18.517698594800493
1998,all,post2016_step,83,26.345106843967834,19.67493260344879
1998,house,post2016_step,55,26.697398004115403,20.264069916942468
1998,senate,post2016_step,28,25.65310635082083,18.517698594800493
1998,all,two_step_environment,83,26.345106843967834,19.67493260344879
1998,house,two_step_environment,55,26.697398004115403,20.264069916942468
1998,senate,two_step_environment,28,25.65310635082083,18.517698594800493
2002,all,no_environment,67,32.24515684653531,26.49965343323956
2002,house,no_environment,46,32.07982356074272,26.11195014120809
2002,senate,no_environment,21,32.60731547255717,27.34890826340371
2002,all,uniform_environment,67,35.98913030161777,31.848560433239555
2002,house,uniform_environment,46,35.55623231053675,31.46085714120809
2002,senate,uniform_environment,21,36.93738304398575,32.69781526340372
2002,all,post2008_step,67,32.24515684653531,26.49965343323956
2002,house,post2008_step,46,32.07982356074272,26.11195014120809
2002,senate,post2008_step,21,32.60731547255717,27.34890826340371
2002,all,post2016_step,67,32.24515684653531,26.49965343323956
2002,house,post2016_step,46,32.07982356074272,26.11195014120809
2002,senate,post2016_step,21,32.60731547255717,27.34890826340371
2002,all,two_step_environment,67,32.24515684653531,26.49965343323956
2002,house,two_step_environment,46,32.07982356074272,26.11195014120809
2002,senate,two_step_environment,21,32.60731547255717,27.34890826340371
2006,all,no_environment,58,43.59862194558663,43.59862194558663
2006,house,no_environment,38,45.140667361146335,45.140667361146335
2006,senate,no_environment,20,40.668735656023195,40.668735656023195
2006,all,uniform_environment,58,34.15743352102945,32.64228194558663
2006,house,uniform_environment,38,35.64590138524444,34.18432736114634
2006,senate,uniform_environment,20,31.329344579020983,29.712395656023187
2006,all,post2008_step,58,43.59862194558663,43.59862194558663
2006,house,post2008_step,38,45.140667361146335,45.140667361146335
2006,senate,post2008_step,20,40.668735656023195,40.668735656023195
2006,all,post2016_step,58,43.59862194558663,43.59862194558663
2006,house,post2016_step,38,45.140667361146335,45.140667361146335
2006,senate,post2016_step,20,40.668735656023195,40.668735656023195
2006,all,two_step_environment,58,43.59862194558663,43.59862194558663
2006,house,two_step_environment,38,45.140667361146335,45.140667361146335
2006,senate,two_step_environment,20,40.668735656023195,40.668735656023195
