model,mean_mae_2020_2024,mean_rmse_2020_2024,mean_delta_vs_baseline,latest_2024_mae,latest_2024_delta,worst_cycle_delta,cycles_improved,guardrail_pass,selected
baseline_only,4.739470511301511,6.264251475969478,0.0,3.6199685707174605,0.0,0.0,0,False,True
ridge_recent_only,4.9565586099926415,6.573862585460421,0.21708809869113063,3.741807175975897,0.1218386052584366,0.3120569784980063,0,False,False
pooled_recent,4.984015122180495,6.621594173822136,0.2445446108789834,3.6269189090511578,0.006950338333697292,0.4938350867472021,0,False,False
ridge_half_life_4,6.172564623082255,7.480735984115007,1.4330941117807428,4.408501175492294,0.7885326047748333,2.2056821622078058,0,False,False
ridge_half_life_8,7.657720577258227,8.977901616167758,2.918250065956716,6.088795614021136,2.468827043303676,3.41339696749297,0,False,False
ridge_all_era,9.42713161134691,10.886794391477913,4.6876611000454,8.531992802855386,4.9120242321379255,4.9120242321379255,0,False,False
