cycle,chamber,district,canonical_name,normalized_candidate_name,canonical_party,candidate_direct_cmo,candidate_cycle_centered_cmo,candidate_quality_index,candidate_quality_low,candidate_quality_high,intrinsic_quality_index,quality_status,quality_identification,appearances
1998,house,18,Morrow,MORROW,D,11.908899710146917,-21.179802571422165,-7.0599341904740545,-27.244076147163675,13.124207766215564,-8.059934190474054,uncertain,pair_differential_only,1
1998,senate,18,Morrow,MORROW,D,20.681985260138543,-11.215964296564607,-3.7386547655215354,-23.922796722211153,16.445487191168084,-3.7386547655215354,uncertain,pair_differential_only,1
2002,house,32,"Boyd, Barbara Bigsby",BARBARA BIGSBY BOYD,D,30.072092051741855,12.971830649599365,2.262283644119445,-12.010060005887699,16.534627294126587,0.2622836441194438,uncertain,candidate_network,4
2006,house,32,BARBARA BIGSBY BOYD,BARBARA BIGSBY BOYD,D,12.602572420921753,-8.646447984948146,2.262283644119445,-12.010060005887699,16.534627294126587,0.2622836441194438,uncertain,candidate_network,4
2010,house,2,MIKE CURTIS,MIKE CURTIS,D,19.517575285189515,2.1896414169606118,3.541922170307291,-12.707855907079292,19.791700247693875,1.9863666147517351,uncertain,candidate_network,2
2010,house,32,BARBARA BIGSBY BOYD,BARBARA BIGSBY BOYD,D,19.83735894545703,2.5094250772281264,2.262283644119445,-12.010060005887699,16.534627294126587,0.2622836441194438,uncertain,candidate_network,4
2014,house,18,Johnny MacK Morrow,JOHNNY MACK MORROW,D,44.04059216936951,24.747988044492875,13.156199775826723,-3.8018714212612483,30.114270972914696,13.509140952297312,uncertain,candidate_network,2
2014,senate,1,Mike Curtis,MIKE CURTIS,D,10.533343615526729,-0.09320020418665109,3.541922170307291,-12.707855907079292,19.791700247693875,1.9863666147517351,uncertain,candidate_network,2
2018,house,2,Lora Kay Morrow,LORA KAY MORROW,D,1.0830087080344342,-0.6715273986067192,2.8580550876927457,-15.972466121634826,21.68857629702032,4.135832865470523,uncertain,candidate_network,1
2018,house,32,Barbara Bigsby Boyd,BARBARA BIGSBY BOYD,D,8.493430229478474,6.73889412283732,2.262283644119445,-12.010060005887699,16.534627294126587,0.2622836441194438,uncertain,candidate_network,4
2018,senate,6,Johnny Mack Morrow,JOHNNY MACK MORROW,D,31.834074638953584,27.8670927213015,13.156199775826723,-3.8018714212612483,30.114270972914696,13.509140952297312,uncertain,candidate_network,2
