cycle,eligible_races,complete_races,coverage_rate
1994,72,0,0.0
1998,85,64,0.7529411764705882
2002,74,43,0.581081081081081
2006,62,51,0.8225806451612904
2010,63,56,0.8888888888888888
2014,56,48,0.8571428571428571
2018,64,59,0.921875
2022,33,31,0.9393939393939394
