chamber,district,pres_2024_dem_votes,pres_2024_rep_votes,pres_2024_two_party_votes,pres_2024_dem_margin,pres_2024_fallback_share,pres_2024_source_complete,cycle_x,pres_2020_dem_margin,nonwhite_share,white_college_share,dem_incumbent_i,rep_incumbent_i,cycle_y,dem_candidate_spending,I_x,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,I_y,rep_finance_matched,finance_complete,baseline_2024_pres_dem_margin,poll_adjusted_dem_margin,polling_baseline_status,cycle,prior_pres_dem_margin,prior_pres_swing,pres_trend_available,predicted_dem_margin,margin_80_low,margin_80_high,margin_95_low,margin_95_high,predicted_winner,model_status
house,2,4303.580999333379,21626.52514867505,25930.106148008424,-66.8062986339613,0.0,True,2026,-54.99136089454826,0.12924074255967,0.2592184747042537,0,1,2026,2130.07,0.0,0.0,,500.0,True,False,False,False,-66.8062986339613,-62.919259608785744,catalist_yougov_demographic_transfer_selected,2026,-62.919259608785744,-11.814937739413047,1,-58.5848303599789,-95.6229713994966,-21.54668932046119,-100.0,-1.4740075998981865,R,experimental_not_release_calibrated
house,4,8012.517202648999,15989.62400935933,24002.14121200833,-33.23497989720752,0.0,True,2026,-34.36624985309761,0.273307260804298,0.4796546517480352,0,1,2026,0.0,0.0,7658.18,-2.7921682854433296,500.0,True,False,True,True,-33.23497989720752,-28.023826405642545,catalist_yougov_demographic_transfer_selected,2026,-28.023826405642545,1.1312699558900832,1,-36.84338049349623,-73.88152153301394,0.19476054602148452,-93.95420325357694,20.26744226658449,R,experimental_not_release_calibrated
house,5,6944.004027691828,18369.922743642157,25313.92677133398,-45.13688776602323,0.0,True,2026,-43.16219504055733,0.2450680744651292,0.314652738565782,0,1,2026,1966.32,0.0,2513.31,-0.2003119812184369,500.0,True,False,True,True,-45.13688776602323,-41.27076606038628,catalist_yougov_demographic_transfer_selected,2026,-41.27076606038628,-1.9746927254659,1,-42.38052490220601,-79.41866594172373,-5.342383862688301,-99.49134766228673,14.730297857874703,R,experimental_not_release_calibrated
house,8,6160.648168375148,11153.148740470522,17313.79690884567,-28.83538832285073,0.0,True,2026,-32.18766607570143,0.4097859980351117,0.2241055498168842,0,0,2026,0.0,0.0,38077.65,,500.0,False,False,True,False,-28.83538832285073,-25.955382488788725,catalist_yougov_demographic_transfer_selected,2026,-25.955382488788725,3.3522777528507,1,-13.214663124881444,-50.25280416439915,23.823477914636268,-70.32548588496216,43.89615963519927,R,experimental_not_release_calibrated
house,10,12093.340273342505,12080.34009670268,24173.680370045186,0.0537782267359446,0.0,True,2026,-6.224657818233817,0.3892641592389784,0.5099246787771378,1,0,2026,82963.44,0.0,0.0,,500.0,True,False,False,False,0.0537782267359446,5.355724496224367,catalist_yougov_demographic_transfer_selected,2026,5.355724496224367,6.278436044969762,1,5.3907646113804475,-31.647376428137264,42.42890565089816,-51.72005814870027,62.50158737146116,D,experimental_not_release_calibrated
house,15,10788.067243292742,14952.391925066298,25740.45916835904,-16.178128970179642,0.0,True,2026,-14.559675449978462,0.3799426579484747,0.4538136355459615,0,1,2026,3556.6600000000003,0.0,12890.96,-1.1942198774834905,500.0,True,False,True,True,-16.178128970179642,-11.495177628799947,catalist_yougov_demographic_transfer_selected,2026,-11.495177628799947,-1.6184535202011805,1,-22.19445503485609,-59.2325960743738,14.84368600466162,-79.30527779493681,34.916367725224625,R,experimental_not_release_calibrated
house,16,2683.097831441228,19992.72315938396,22675.820990825185,-76.33516482135902,0.0,True,2026,-48.13288017399185,0.1116061533005275,0.1696611642050391,0,1,2026,1358.78,0.0,12324.41,-1.9314300275590537,500.0,True,False,True,True,-76.33516482135902,-73.44535381335731,catalist_yougov_demographic_transfer_selected,2026,-73.44535381335731,-28.202284647367165,1,-61.80198302868208,-98.8401240681998,-24.76384198916437,-100.0,-4.691160268601365,R,experimental_not_release_calibrated
house,19,14843.804797490311,7585.010784803154,22428.815582293464,32.36369743223377,0.0,True,2026,19.591984120475825,0.620002621575567,0.3918608695652174,1,0,2026,20841.49,0.0,7.08,3.739739562278428,500.0,True,False,True,True,32.36369743223377,35.529953986839914,catalist_yougov_demographic_transfer_selected,2026,35.529953986839914,12.771713311757946,1,35.59513158535415,-1.4430094541635583,72.63327262487186,-21.515691174726562,92.70595434543486,D,experimental_not_release_calibrated
house,20,10701.321774745062,17769.03529253537,28470.35706728043,-24.824815161566345,0.0,True,2026,-17.740080031176152,0.145513948228198,0.6148116965124186,0,1,2026,0.0,0.0,386389.23,,500.0,False,False,True,False,-24.824815161566345,-17.92774398929053,catalist_yougov_demographic_transfer_selected,2026,-17.92774398929053,-7.084735130390193,1,-49.10295222443902,-86.14109326395673,-12.06481118492131,-100.0,8.007870535641693,R,experimental_not_release_calibrated
house,21,11563.279872064702,17159.157424063967,28722.43729612867,-19.48259994200945,0.0,True,2026,-18.409625857716573,0.2427039114614918,0.4422442244224422,0,1,2026,2993.67,0.0,10519.46,-1.1487100410823503,500.0,True,False,True,True,-19.48259994200945,-14.383748176754986,catalist_yougov_demographic_transfer_selected,2026,-14.383748176754986,-1.072974084292877,1,-38.228705958568675,-75.26684699808638,-1.1905649190509635,-95.33952871864939,18.88211680151204,R,experimental_not_release_calibrated
house,25,13262.47210673196,14759.440221188628,28021.91232792059,-5.342134030464131,0.0,True,2026,-6.012050934634805,0.3386267237669815,0.6176055434364173,0,1,2026,3969.71,0.0,8486.9,-0.6984444318672367,500.0,True,False,True,True,-5.342134030464131,0.3965321382926472,catalist_yougov_demographic_transfer_selected,2026,0.3965321382926472,0.6699169041706741,1,-24.713301869830257,-61.75144290934797,12.324839169687454,-81.82412462991097,32.39752089025046,R,experimental_not_release_calibrated
