model,test_cycle,train_cycles,races,mae,mean_adjustment
ridge,1998,1994,83,18.025032969919305,20.092064921504576
elastic_net,1998,1994,83,18.056041408256466,19.97691873348375
gradient_boosting,1998,1994,83,18.572550767725787,20.765746152374497
random_forest,1998,1994,83,20.141832183213022,18.525978705399886
extra_trees,1998,1994,83,18.383314677948256,19.22227177055598
ridge,2002,"1994,1998",67,18.872004473858947,15.906819746268509
elastic_net,2002,"1994,1998",67,18.630965728517825,16.852509023251386
gradient_boosting,2002,"1994,1998",67,16.845179555540813,22.912106835030908
random_forest,2002,"1994,1998",67,17.12346356104007,22.30077871076475
extra_trees,2002,"1994,1998",67,14.304692730501289,23.27402304074201
ridge,2006,"1994,1998,2002",58,24.95440088422841,20.76670733467598
elastic_net,2006,"1994,1998,2002",58,22.752318190003827,23.68900556309445
gradient_boosting,2006,"1994,1998,2002",58,22.12716352277453,24.914734042893173
random_forest,2006,"1994,1998,2002",58,20.483480791871866,26.765182559351818
extra_trees,2006,"1994,1998,2002",58,22.34858164675755,25.178590740800903
ridge,2010,"1994,1998,2002,2006",63,14.063745687337951,29.173761476846096
elastic_net,2010,"1994,1998,2002,2006",63,12.726309444233706,26.653045080658952
gradient_boosting,2010,"1994,1998,2002,2006",63,18.20564595488628,33.03779415153792
random_forest,2010,"1994,1998,2002,2006",63,17.973944109490326,32.7538235864402
extra_trees,2010,"1994,1998,2002,2006",63,15.148704871036937,27.37984543725368
ridge,2014,"1994,1998,2002,2006,2010",55,25.245458367918186,-3.730167744092393
elastic_net,2014,"1994,1998,2002,2006,2010",55,21.1520831285881,4.951954931143643
gradient_boosting,2014,"1994,1998,2002,2006,2010",55,18.881165425004156,17.86557458099744
random_forest,2014,"1994,1998,2002,2006,2010",55,19.696872336173648,17.14089348834271
extra_trees,2014,"1994,1998,2002,2006,2010",55,20.371775929077888,13.80347420041856
ridge,2018,"1994,1998,2002,2006,2010,2014",64,15.542981664260452,9.728552482046343
elastic_net,2018,"1994,1998,2002,2006,2010,2014",64,15.78387182236763,13.329218813518324
gradient_boosting,2018,"1994,1998,2002,2006,2010,2014",64,17.744835506653757,17.187132135885093
random_forest,2018,"1994,1998,2002,2006,2010,2014",64,17.340378914860935,15.088374330814641
extra_trees,2018,"1994,1998,2002,2006,2010,2014",64,17.938127229933865,17.334649589828544
ridge,2022,"1994,1998,2002,2006,2010,2014,2018",33,16.090392851857615,7.8968266575581705
elastic_net,2022,"1994,1998,2002,2006,2010,2014,2018",33,19.509372186165173,13.493081481298624
gradient_boosting,2022,"1994,1998,2002,2006,2010,2014,2018",33,17.365899274600483,11.282826772153658
random_forest,2022,"1994,1998,2002,2006,2010,2014,2018",33,16.21579734359267,9.869566337059592
extra_trees,2022,"1994,1998,2002,2006,2010,2014,2018",33,17.692527442077118,11.592251896677991
