cycle,chamber,district,candidate,candidate_code,party,votes
2014,house,1.0,Greg Burdine,Greg Burdine,D,4652.0
2014,house,1.0,Phillip Pettus,Phillip Pettus,R,4933.0
2014,house,2.0,"Andrew ""Andy"" Betterton","Andrew ""Andy"" Betterton",D,5224.0
2014,house,2.0,Lynn Greer,Lynn Greer,R,8561.0
2014,house,3.0,Marcel Black,Marcel Black,D,7993.0
2014,house,3.0,Fred Joly,Fred Joly,R,5357.0
2014,house,4.0,Micky Hammon,Micky Hammon,R,8473.0
2014,house,5.0,Henry A. White,Henry A. White,D,5520.0
2014,house,5.0,Dan Williams,Dan Williams,R,7132.0
2014,house,6.0,Phil Williams,Phil Williams,R,8325.0
2014,house,7.0,John (Jody) Letson,John (Jody) Letson,D,5553.0
2014,house,7.0,Ken Johnson,Ken Johnson,R,6072.0
2014,house,8.0,Rex Cheatham,Rex Cheatham,D,4195.0
2014,house,8.0,Terri Collins,Terri Collins,R,6270.0
2014,house,9.0,Ed Henry,Ed Henry,R,11646.0
2014,house,10.0,Means,Means,D,314.0
2014,house,10.0,Mike Ball,Mike Ball,R,9256.0
2014,house,11.0,Randall Shedd,Randall Shedd,R,8941.0
2014,house,12.0,Corey Harbison,Corey Harbison,R,9455.0
2014,house,13.0,Rowe,Rowe,R,9482.0
2014,house,14.0,Tim Wadsworth,Tim Wadsworth,R,9255.0
2014,house,15.0,Allen Farley,Allen Farley,R,10178.0
2014,house,16.0,Daniel H. Boman,Daniel H. Boman,D,3430.0
2014,house,16.0,Kyle South,Kyle South,R,10467.0
2014,house,17.0,Don Barnwell,Don Barnwell,D,4027.0
2014,house,17.0,Mike Millican,Mike Millican,R,7854.0
2014,house,18.0,Johnny MacK Morrow,Johnny MacK Morrow,D,6700.0
2014,house,18.0,Gerry Wallace,Gerry Wallace,R,4559.0
2014,house,19.0,Laura Hall,Laura Hall,D,7615.0
2014,house,20.0,Howard Sanderford,Howard Sanderford,R,12876.0
2014,house,21.0,C. Terry Jones,C. Terry Jones,D,4558.0
2014,house,21.0,Jim Patterson,Jim Patterson,R,9428.0
2014,house,22.0,Dennis W. Stephens,Dennis W. Stephens,D,2998.0
2014,house,22.0,Ritchie Whorton,Ritchie Whorton,R,8688.0
2014,house,23.0,John Robinson,John Robinson,D,4139.0
2014,house,23.0,"James T. ""Tommy"" Hanes Jr.","James T. ""Tommy"" Hanes Jr.",R,5493.0
2014,house,24.0,Beddingfield,Beddingfield,D,4338.0
2014,house,24.0,Ledbetter,Ledbetter,R,6877.0
2014,house,25.0,Mac McCutcheon,Mac McCutcheon,R,10432.0
2014,house,26.0,Kerry Rich,Kerry Rich,R,5679.0
2014,house,27.0,Jeff McLaughlin,Jeff McLaughlin,D,4856.0
2014,house,27.0,Will Ainsworth,Will Ainsworth,R,6996.0
2014,house,28.0,Craig Ford,Craig Ford,D,6827.0
2014,house,28.0,Doug Sherrod,Doug Sherrod,R,3704.0
2014,house,29.0,Michael J. Gladden,Michael J. Gladden,D,4476.0
2014,house,29.0,Becky Nordgren,Becky Nordgren,R,8785.0
2014,house,30.0,MacK N. Butler,MacK N. Butler,R,9360.0
2014,house,31.0,Mike Holmes,Mike Holmes,R,10944.0
2014,house,32.0,Barbara Bigsby Boyd,Barbara Bigsby Boyd,D,11115.0
2014,house,33.0,Anthony Zachero,Anthony Zachero,D,2748.0
2014,house,33.0,Ron Johnson,Ron Johnson,R,8343.0
2014,house,34.0,David Standridge,David Standridge,R,1336.0
2014,house,35.0,Steve Hurst,Steve Hurst,R,6945.0
2014,house,36.0,Randy Wood,Randy Wood,R,19591.0
2014,house,37.0,Josh Burns,Josh Burns,D,5518.0
2014,house,37.0,Bob Fincher,Bob Fincher,R,5949.0
2014,house,38.0,Isaac Whorton,Isaac Whorton,R,7279.0
2014,house,39.0,Richard Lindsey,Richard Lindsey,D,7786.0
2014,house,39.0,Heath Jones,Heath Jones,R,5928.0
2014,house,40.0,Copeland,Copeland,D,9105.0
2014,house,40.0,Brown,Brown,R,22356.0
2014,house,41.0,Mike Hill,Mike Hill,R,9223.0
2014,house,42.0,"James M. ""Jimmy"" Martin","James M. ""Jimmy"" Martin",R,9416.0
2014,house,43.0,Arnold Mooney,Arnold Mooney,R,11492.0
2014,house,44.0,Danny Garrett,Danny Garrett,R,10360.0
2014,house,45.0,Dickie Drake,Dickie Drake,R,9609.0
2014,house,46.0,David Faulkner,David Faulkner,R,10778.0
2014,house,47.0,Salvatore Bambinelli,Salvatore Bambinelli,D,2642.0
2014,house,47.0,Jack Williams,Jack Williams,R,7073.0
2014,house,48.0,Jim Carns,Jim Carns,R,11450.0
2014,house,49.0,April Weaver,April Weaver,R,7755.0
2014,house,50.0,Jim Hill,Jim Hill,R,9201.0
2014,house,51.0,Allen Treadaway,Allen Treadaway,R,10746.0
2014,house,52.0,John W. Rogers  Jr.,John W. Rogers  Jr.,D,7305.0
2014,house,52.0,Phillip Bahakel,Phillip Bahakel,R,2207.0
2014,house,53.0,Anthony Daniels,Anthony Daniels,D,4166.0
2014,house,53.0,Christopher Horn,Christopher Horn,R,1190.0
2014,house,54.0,Patricia A. Todd,Patricia A. Todd,D,7601.0
2014,house,55.0,"Roderick ""Rod"" Scott","Roderick ""Rod"" Scott",D,8453.0
2014,house,56.0,Louise Alexander,Louise Alexander,D,7960.0
2014,house,56.0,Darius Foster,Darius Foster,R,3680.0
2014,house,57.0,Merika Coleman,Merika Coleman,D,10184.0
2014,house,58.0,Oliver Robinson,Oliver Robinson,D,8287.0
2014,house,59.0,Mary Moore,Mary Moore,D,7949.0
2014,house,60.0,"Juandalynn ""Lele"" Givan","Juandalynn ""Lele"" Givan",D,9584.0
2014,house,61.0,Alan Harper,Alan Harper,R,9008.0
2014,house,62.0,Rich Wingo,Rich Wingo,R,8416.0
2014,house,63.0,Bill Poole,Bill Poole,R,6249.0
2014,house,64.0,Harry Shiver,Harry Shiver,R,8781.0
2014,house,65.0,Elaine Beech,Elaine Beech,D,8469.0
2014,house,66.0,Alan Baker,Alan Baker,R,7079.0
2014,house,67.0,Darrio Melton,Darrio Melton,D,9836.0
2014,house,68.0,"Thomas E ""Action"" Jackson","Thomas E ""Action"" Jackson",D,8998.0
2014,house,69.0,Kelvin J. Lawrence,Kelvin J. Lawrence,D,9396.0
2014,house,69.0,Loretta G. Grant,Loretta G. Grant,R,4340.0
2014,house,70.0,Christopher John England,Christopher John England,D,6799.0
2014,house,71.0,Artis (A.J.) McCampbell,Artis (A.J.) McCampbell,D,9942.0
2014,house,72.0,Ralph A. Howard,Ralph A. Howard,D,10435.0
2014,house,73.0,Matt Fridy,Matt Fridy,R,9183.0
2014,house,74.0,Zack Buckner,Zack Buckner,D,3621.0
2014,house,74.0,Dimitri Polizos,Dimitri Polizos,R,9481.0
2014,house,75.0,Reed Ingram,Reed Ingram,R,8338.0
2014,house,76.0,Thad McClammy,Thad McClammy,D,8342.0
2014,house,77.0,John Knight,John Knight,D,6891.0
2014,house,77.0,David Grimes,David Grimes,R,3775.0
2014,house,78.0,Alvin Holmes,Alvin Holmes,D,6998.0
2014,house,78.0,Tijuanna Adetunji,Tijuanna Adetunji,R,2637.0
2014,house,79.0,Shirley Scott-Harris,Shirley Scott-Harris,D,3535.0
2014,house,79.0,Mike Hubbard,Mike Hubbard,R,5136.0
2014,house,80.0,Tillman Pugh,Tillman Pugh,D,2240.0
2014,house,80.0,Lesley Vance,Lesley Vance,R,4702.0
2014,house,81.0,Dylan V. Oliver,Dylan V. Oliver,D,4352.0
2014,house,81.0,Mark M. Tuggle,Mark M. Tuggle,R,9119.0
2014,house,82.0,Pebblin W. Warren,Pebblin W. Warren,D,8455.0
2014,house,83.0,"George ""Tootie"" Bandy","George ""Tootie"" Bandy",D,5257.0
2014,house,83.0,Gary Head,Gary Head,R,2752.0
2014,house,84.0,Berry Forte,Berry Forte,D,7365.0
2014,house,84.0,Jerry A. McGilvray,Jerry A. McGilvray,R,4316.0
2014,house,85.0,Dexter Grimsley,Dexter Grimsley,D,5777.0
2014,house,85.0,Bobby Lewis,Bobby Lewis,R,3405.0
2014,house,86.0,Paul W. Lee,Paul W. Lee,R,9253.0
2014,house,87.0,Donnie Chesteen,Donnie Chesteen,R,10404.0
2014,house,88.0,Paul Beckman,Paul Beckman,R,8215.0
2014,house,89.0,Joel Lee Williams,Joel Lee Williams,D,5436.0
2014,house,89.0,Alan C. Boothe,Alan C. Boothe,R,5519.0
2014,house,90.0,Walton Hickman,Walton Hickman,D,5894.0
2014,house,90.0,Chris Sells,Chris Sells,R,7722.0
