cycle,party,candidates,matched,spending,match_rate,coverage_definition
2014,D,82,75,5007985.29,0.9146341463414634,candidate_name_matched_to_definitive_finance_source
2014,R,115,108,14100206.53,0.9391304347826088,candidate_name_matched_to_definitive_finance_source
2018,D,94,82,3521423.16,0.8723404255319149,candidate_name_matched_to_definitive_finance_source
2018,R,110,103,9813224.35,0.9363636363636364,candidate_name_matched_to_definitive_finance_source
2022,D,61,56,3603002.35,0.918032786885246,candidate_name_matched_to_definitive_finance_source
2022,R,112,102,7092916.03,0.9107142857142856,candidate_name_matched_to_definitive_finance_source
