cycle,chamber,precincts,direct_or_spatial_precincts,fallback_precincts,fallback_share,county_level_ballots,mean_weight_l1_change_vs_legacy,p95_weight_l1_change_vs_legacy,max_weight_l1_change_vs_legacy,precincts_l1_change_gt_0_10
2014,house,2291,1653,505,0.22042776080314272,133,0.45788860138175436,1.7817294281729428,2.0,889
2014,senate,2298,1829,336,0.1462140992167102,133,0.279452769319145,1.5133788714234768,2.0,640
2018,house,2240,1902,203,0.090625,135,0.33051232688277654,1.7763307932084405,2.0,620
2018,senate,2240,1999,106,0.04732142857142857,135,0.1861068009796111,1.393228442731591,2.0,390
2022,house,1939,1924,15,0.007735946364105209,0,0.35960339219469367,1.8531437438585727,2.0,548
2022,senate,1939,1931,8,0.0041258380608561115,0,0.2086685122688133,1.588016380103776,2.0,346
