canonical_party,candidates,mean_quality,median_quality,mean_se,positive,negative
D,440,-0.17853994084667907,-0.1851216851635156,9.994376745660599,7,2
R,444,0.24775100989341087,0.21589109364317483,10.000327505781504,4,2
