cycle,races,national_swing,optimal_nonnegative_weight,minimum_mae,baseline_mae
1994,67,-13.957256,0.0,27.594858613586208,27.594858613586208
1998,83,-10.183793,0.0,26.345106843967834,26.345106843967834
2002,67,-5.348907,0.0,32.24515684653531,32.24515684653531
2006,58,10.95634,3.0,23.373216354583096,43.59862194558663
2010,63,-14.354684,0.0,25.912239267901132,25.912239267901132
2014,55,-9.814902,0.0,26.887187303797198,26.887187303797198
2018,64,6.495625,0.7275,12.397159839667111,13.106621690402946
2022,33,-7.397496,1.2575,9.60912884370568,12.03204312936364
