finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
BOBBY LEWIS,BOBBY LEWIS,23120.42,91,1,2014,BOBBY LEWIS
BOBBY SINGLETON,BOBBY SINGLETON,98260.6,317,1,2014,BOBBY SINGLETON
BRAD MENDHEIM,BRAD MENDHEIM,2398.9700000000003,3,1,2014,BRAD MENDHEIM
BRADLEY BYRNE,BRADLEY BYRNE,888.74,1,1,2014,BRADLEY BYRNE
BRENDA STEDHAM,BRENDA STEDHAM,40227.74,46,1,2014,BRENDA STEDHAM
BRENT CRAIG,BRENT CRAIG,2390.35,4,1,2014,BRENT CRAIG
BRETT KING,BRETT KING,225864.8,141,1,2014,BRETT KING
BRIAN BROOKS,BRIAN BROOKS,649.33,34,1,2014,BRIAN BROOKS
BRIAN FOLEY,BRIAN FOLEY,9250.119999999999,8,1,2014,BRIAN FOLEY
BRUCE WHITLOCK,BRUCE WHITLOCK,23371.190000000002,27,1,2014,BRUCE WHITLOCK
BRYAN BENNETT,BRYAN BENNETT,7303.13,17,1,2014,BRYAN BENNETT
BRYAN MORGAN,BRYAN MORGAN,48491.229999999996,136,1,2014,BRYAN MORGAN
BRYAN TAYLOR,BRYAN TAYLOR,4160.8099999999995,22,1,2014,BRYAN TAYLOR
BUFORD MANN,BUFORD MANN,40996.04,76,1,2014,BUFORD MANN
C JONES,C. JONES,81356.79000000001,38,1,2014,C JONES
CAM WARD,CAM WARD,60726.51,68,1,2014,CAM WARD
CARL SHERROD,CARL SHERROD,51168.63,74,1,2014,CARL SHERROD
CARMEN BOSCH,CARMEN BOSCH,2662.98,6,1,2014,CARMEN BOSCH
CAROLYN WALLACE,CAROLYN WALLACE,13166.9,30,1,2014,CAROLYN WALLACE
CHAD FINCHER,CHAD FINCHER,8720.09,48,1,2014,CHAD FINCHER
CHAD LAQUA,CHAD LAQUA,2546.84,1,1,2014,CHAD LAQUA
CHARLES BOOHAKER,CHARLES BOOHAKER,20884.6,41,1,2014,CHARLES BOOHAKER
CHARLES BROCK,CHARLES BROCK,14381.1,48,1,2014,CHARLES BROCK
CHARLES ELLIS,CHARLES ELLIS,16396.57,83,1,2014,CHARLES ELLIS
CHARLES LANGHAM,CHARLES LANGHAM,2398.17,3,1,2014,CHARLES LANGHAM
CHARLES NEWTON,CHARLES NEWTON,102503.56999999999,46,1,2014,CHARLES NEWTON
CHARLIE STATEN,CHARLIE STATEN,28023.1,51,1,2014,CHARLIE STATEN
CHARLOTTE MEADOWS,CHARLOTTE MEADOWS,8926.05,3,1,2014,CHARLOTTE MEADOWS
CHERYL CIAMARRA,CHERYL CIAMARRA,21928.28,96,1,2014,CHERYL CIAMARRA
CHRIS CHIP BEEKER,"CHRIS ""CHIP"" BEEKER",591478.51,349,1,2014,CHRISTOPHER CHIP BEEKER
CHRIS PRINGLE,CHRIS PRINGLE,147072.41,115,1,2014,CHRISTOPHER PRINGLE
CHRIS SEIBERT,CHRIS SEIBERT,98477.56,92,1,2014,CHRISTOPHER SEIBERT
CHRIS SELLS,CHRIS SELLS,263838.08,87,1,2014,CHRISTOPHER SELLS
CHRISTOPHER BYRD,CHRISTOPHER BYRD,10448.25,17,1,2014,CHRISTOPHER BYRD
CHRISTOPHER ENGLAND,CHRISTOPHER ENGLAND,17468.06,38,1,2014,CHRISTOPHER ENGLAND
CHRISTOPHER HORN,CHRISTOPHER HORN,2015.78,8,1,2014,CHRISTOPHER HORN
CHRISTOPHER MCNEIL,CHRISTOPHER MCNEIL,19484.47,30,1,2014,CHRISTOPHER MCNEIL
CHUCK MALONE,CHUCK MALONE,2398.97,1,1,2014,CHUCK MALONE
CLAY SCOFIELD,CLAY SCOFIELD,18289.02,26,1,2014,CLAY SCOFIELD
CLYDE CHAMBLISS,CLYDE CHAMBLISS,547303.1,468,1,2014,CLYDE CHAMBLISS
COLLINS PETTAWAY,COLLINS PETTAWAY,1573.0,9,1,2014,COLLINS PETTAWAY
CONNIE ROWE,CONNIE ROWE,40016.56,71,1,2014,CONNIE ROWE
COREY HARBISON,COREY HARBISON,58085.630000000005,131,1,2014,COREY HARBISON
CURTIS HARVEY,CURTIS HARVEY,1362.99,10,1,2014,CURTIS HARVEY
CYNTHIA BELL,CYNTHIA BELL,37241.33,50,1,2014,CYNTHIA BELL
CYNTHIA MCCARTY,CYNTHIA MCCARTY,185756.27,44,1,2014,CYNTHIA MCCARTY
DALE STRONG,DALE STRONG,75.0,1,1,2014,DALE STRONG
DAN WILLIAMS,DAN WILLIAMS,183582.89,109,1,2014,DAN WILLIAMS
DANIEL BOMAN,DANIEL BOMAN,96890.98,195,1,2014,DANIEL BOMAN
DANIEL CROWSON,DANIEL CROWSON,69016.63,55,1,2014,DANIEL CROWSON
DANNY JOYNER,DANNY JOYNER,10819.22,15,1,2014,DANNY JOYNER
DARIUS FOSTER,DARIUS FOSTER,138717.54,555,1,2014,DARIUS FOSTER
DARREN FLOTT,DARREN FLOTT,18443.94,26,1,2014,DARREN FLOTT
DARRIO MELTON,DARRIO MELTON,14641.26,37,1,2014,DARRIO MELTON
DAVID BEDDINGFIELD,DAVID BEDDINGFIELD,68777.56999999999,118,1,2014,DAVID BEDDINGFIELD
DAVID BLAIR,DAVID BLAIR,28210.99,65,1,2014,DAVID BLAIR
DAVID COLSTON,DAVID COLSTON,18238.7,132,1,2014,DAVID COLSTON
DAVID COPELAND,DAVID COPELAND,5571.84,8,1,2014,DAVID COPELAND
DAVID FAULKNER,DAVID FAULKNER,135689.35,138,1,2014,DAVID FAULKNER
DAVID SESSIONS,DAVID SESSIONS,4359.07,7,1,2014,DAVID SESSIONS
DAVID STANDRIDGE,DAVID STANDRIDGE,32271.52,10,1,2014,DAVID STANDRIDGE
DAVID WHEELER,DAVID WHEELER,117967.97,66,1,2014,DAVID WHEELER
DAVID YOUNG,DAVID YOUNG,12215.130000000001,12,1,2014,DAVID YOUNG
DEBORAH BIGGERS,DEBORAH BIGGERS,8259.85,44,1,2014,DEBORAH BIGGERS
DEL MARSH,DEL MARSH,1443159.04,196,1,2014,DEL MARSH
DENISE HUMBURG,DENISE HUMBURG,3817.65,28,1,2014,DENISE HUMBURG
DENNIS MEEKS,DENNIS MEEKS,15972.400000000001,67,1,2014,DENNIS MEEKS
DENNIS STEPHENS,DENNIS STEPHENS,5467.24,24,1,2014,DENNIS STEPHENS
DICK BREWBAKER,DICK BREWBAKER,61521.47,8,1,2014,DICK BREWBAKER
DICKIE DRAKE,DICKIE DRAKE,7747.32,24,1,2014,DICKIE DRAKE
DIMITRI POLIZOS,DIMITRI POLIZOS,22004.86,8,1,2014,DIMITRI POLIZOS
DON WORD,DON WORD,2378.98,2,1,2014,DON WORD
DONALD BARNWELL,DONALD BARNWELL,26243.72,36,1,2014,DONALD BARNWELL
DONALD MITCHELL,DONALD MITCHELL,21769.75,36,1,2014,DONALD MITCHELL
DONALD MURPHY,DONALD MURPHY,14140.53,12,1,2014,DONALD MURPHY
DONALD RAINEY,DONALD RAINEY,124740.86,66,1,2014,DONALD RAINEY
DONNIE CHESTEEN,DONNIE CHESTEEN,14901.38,53,1,2014,DONNIE CHESTEEN
DOUGLAS CLARK,DOUGLAS CLARK,121533.7,42,1,2014,DOUGLAS CLARK
DOUGLAS NEIGHBORS,DOUGLAS NEIGHBORS,1153.4599999999998,11,1,2014,DOUGLAS NEIGHBORS
DYLAN OLIVER,DYLAN OLIVER,29644.05,23,1,2014,DYLAN OLIVER
EDWIN PRICE,EDWIN PRICE,19991.9,25,1,2014,EDWIN PRICE
ELAINE BEECH,ELAINE BEECH,12461.0,72,1,2014,ELAINE BEECH
ELIZABETH KELLUM,ELIZABETH KELLUM,10843.78,16,1,2014,ELIZABETH KELLUM
ELLENE BROWN,ELLENE BROWN,4699.2300000000005,30,1,2014,ELLENE BROWN
EUGENE REESE,EUGENE REESE,6853.719999999999,11,1,2014,EUGENE REESE
EVERETT WESS,EVERETT WESS,16029.8,30,1,2014,EVERETT WESS
FELIX MOORE,FELIX MOORE,347508.96,219,1,2014,FELIX MOORE
FRANK WILLIAMSON,FRANK WILLIAMSON,59192.83,286,1,2014,FRANK WILLIAMSON
FRANKLIN CHANDLER,FRANKLIN CHANDLER,5095.18,17,1,2014,FRANKLIN CHANDLER
FRED JOLY,FRED JOLY,19982.739999999998,68,1,2014,FRED JOLY
FRED TOOMER,FRED TOOMER,283307.63,39,1,2014,FRED TOOMER
GARRY MARCHMAN,GARRY MARCHMAN,24151.53,166,1,2014,GARRY MARCHMAN
GARY HEAD,GARY HEAD,17008.31,66,1,2014,GARY HEAD
GAYLE GEAR,GAYLE GEAR,43972.96,74,1,2014,GAYLE GEAR
GEORGE BANDY,GEORGE BANDY,34722.56,85,1,2014,GEORGE BANDY
GEORGE BARRY,GEORGE BARRY,102242.74,116,1,2014,GEORGE BARRY
