finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
CHRISTY EDWARDS,CHRISTY EDWARDS,325067.56,114,1,2018,CHRISTY EDWARDS
CHUANTAE BROWN,CHUANTAE BROWN,19896.82,61,1,2018,CHUANTAE BROWN
CILINA EVANS,CILINA EVANS,7874.38,8,1,2018,CILINA EVANS
CINDY MASSEY,CINDY MASSEY,25325.0,7,1,2018,CYNTHIA MASSEY
CINDY WIGLEY,CINDY WIGLEY,7376.0599999999995,21,1,2018,CYNTHIA WIGLEY
CLARE WEIL,CLARE WEIL,20899.27,46,1,2018,CLARE WEIL
CLARENCE LOWRY,CLARENCE LOWRY,21281.149999999998,51,1,2018,CLARENCE LOWRY
CLARKE WHITE,CLARKE WHITE,28647.559999999998,16,1,2018,CLARKE WHITE
CLAUDE HAMILTON,CLAUDE HAMILTON,2533.75,15,1,2018,CLAUDE HAMILTON
CLAUDE HUNDLEY,CLAUDE HUNDLEY,2378.9700000000003,2,1,2018,CLAUDE HUNDLEY
CLAUDIA MITCHELL,CLAUDIA MITCHELL,23005.32,100,1,2018,CLAUDIA MITCHELL
CLAY SCOFIELD,CLAY SCOFIELD,46430.14,34,1,2018,CLAY SCOFIELD
CLIFFORD GIDDENS,CLIFFORD GIDDENS,6615.0,9,1,2018,CLIFFORD GIDDENS
CLINTON BOYD,CLINTON BOYD,1235.31,2,1,2018,CLINTON BOYD
CLOTELE BRANTLEY,CLOTELE BRANTLEY,17931.89,30,2,2018,CLOTELE BRANTLEY
CLYDE CHAMBLISS,CLYDE CHAMBLISS,29840.8,76,1,2018,CLYDE CHAMBLISS
CLYDE JONES,CLYDE JONES,28166.11,93,2,2018,CLYDE JONES
CODY DOCKENS,CODY DOCKENS,4322.44,38,1,2018,CODY DOCKENS
CODY NUGENT,CODY NUGENT,8510.39,32,1,2018,CODY NUGENT
CODY ROBINSON,CODY ROBINSON,42396.32,100,1,2018,CODY ROBINSON
COLEMAN WALLACE,COLEMAN WALLACE,389.0,18,1,2018,COLEMAN WALLACE
COLLIN DALY,COLLIN DALY,33396.58,54,1,2018,COLLIN DALY
COLLINS PETTAWAY,COLLINS PETTAWAY,7392.469999999999,43,1,2018,COLLINS PETTAWAY
CONNIE HUDSON,CONNIE HUDSON,1398.84,9,1,2018,CONNIE HUDSON
CONNIE ROWE,CONNIE ROWE,12295.14,17,1,2018,CONNIE ROWE
CONSTANCE SWINDLE,CONSTANCE SWINDLE,7284.12,31,1,2018,CONSTANCE SWINDLE
COREY HARBISON,COREY HARBISON,88418.52,109,1,2018,COREY HARBISON
CORLEY ELLIS,CORLEY ELLIS,34623.4,94,1,2018,CORLEY ELLIS
CORY CREEL,CORY CREEL,4580.32,46,1,2018,CORY CREEL
COURTNEY KALNOSKE,COURTNEY KALNOSKE,1392.52,10,1,2018,COURTNEY KALNOSKE
CRAIG CARGILE,CRAIG CARGILE,10699.86,43,1,2018,CRAIG CARGILE
CRAIG HILL,CRAIG HILL,450.0,2,1,2018,CRAIG HILL
CRAIG INZER,CRAIG INZER,17115.46,27,1,2018,CRAIG INZER
CURLIE DERAMUS,CURLIE DERAMUS,1934.09,13,1,2018,CURLIE DERAMUS
CURTIS HARVEY,CURTIS HARVEY,600.0,1,1,2018,CURTIS HARVEY
CYNTHIA MCCARTY,CYNTHIA MCCARTY,2381.2,3,1,2018,CYNTHIA MCCARTY
D LINELL FINLEY,D'LINELL FINLEY,1069.93,7,1,2018,D LINELL FINLEY
DALE HOLT,DALE HOLT,812.78,9,1,2018,DALE HOLT
DALE STRONG,DALE STRONG,54.74,1,1,2018,DALE STRONG
DAMON WATSON,DAMON WATSON,2698.98,8,1,2018,DAMON WATSON
DANIEL BOMAN,DANIEL BOMAN,14625.02,51,2,2018,DANIEL BOMAN
DANIEL HARRIS,DANIEL HARRIS,21422.78,48,1,2018,DANIEL HARRIS
DANIEL ROBERTS,DANIEL ROBERTS,61102.950000000004,107,1,2018,DANIEL ROBERTS
DANIEL SUMLIN,DANIEL SUMLIN,24253.61,40,1,2018,DANIEL SUMLIN
DANNY BOND,DANNY BOND,9980.0,49,1,2018,DANNY BOND
DANNY CARR,DANNY CARR,93002.52,190,1,2018,DANNY CARR
DANNY CRAWFORD,DANNY CRAWFORD,30521.19,28,1,2018,DANNY CRAWFORD
DANNY DYAR,DANNY DYAR,2362.21,16,1,2018,DANNY DYAR
DANNY GOLDEN,DANNY GOLDEN,522.0,2,1,2018,DANNY GOLDEN
DANNY JACKSON,DANNY JACKSON,6246.37,10,1,2018,DANNY JACKSON
DANNY JENKINS,DANNY JENKINS,5203.68,17,1,2018,DANNY JENKINS
DANNY KELL,DANNY KELL,3534.76,14,1,2018,DANNY KELL
DANNY PETTUS,DANNY PETTUS,1.0,1,1,2018,DANNY PETTUS
DANNY SHEARS,DANNY SHEARS,9518.92,15,1,2018,DANNY SHEARS
DANNY TURNER,DANNY TURNER,14095.0,35,1,2018,DANNY TURNER
DARLA SPENCER,DARLA SPENCER,1534.5,6,1,2018,DARLA SPENCER
DARRELL CHILDERS,DARRELL CHILDERS,12718.98,34,1,2018,DARRELL CHILDERS
DARRELL JOHNSON,DARRELL JOHNSON,0.0,2,1,2018,DARRELL JOHNSON
DARYL SAMMET,DARYL SAMMET,7182.0,36,1,2018,DARYL SAMMET
DAVID ABSTON,DAVID ABSTON,5718.35,34,1,2018,DAVID ABSTON
DAVID BLACK,DAVID BLACK,13231.15,18,2,2018,DAVID BLACK
DAVID BURKETTE,DAVID BURKETTE,162248.96,377,1,2018,DAVID BURKETTE
DAVID CARPENTER,DAVID CARPENTER,7246.27,6,1,2018,DAVID CARPENTER
DAVID CLINKSCALES,DAVID CLINKSCALES,3775.17,6,1,2018,DAVID CLINKSCALES
DAVID DAVE SUTTON,DAVID (DAVE) SUTTON,9620.85,32,1,2018,DAVID DAVE SUTTON
DAVID EASTRIDGE,DAVID EASTRIDGE,328.5,1,1,2018,DAVID EASTRIDGE
DAVID ELROD,DAVID ELROD,-2.842170943040401e-14,6,1,2018,DAVID ELROD
DAVID FAULKNER,DAVID FAULKNER,127883.26,148,1,2018,DAVID FAULKNER
DAVID HALL,DAVID HALL,38083.96,87,1,2018,DAVID HALL
DAVID JACKSON,DAVID JACKSON,295.0,2,1,2018,DAVID JACKSON
DAVID JONES,DAVID JONES,6693.87,26,1,2018,DAVID JONES
DAVID KIMBERLEY,DAVID KIMBERLEY,85994.64,183,1,2018,DAVID KIMBERLEY
DAVID LAW,DAVID LAW,47845.5,57,1,2018,DAVID LAW
DAVID MILLER,DAVID MILLER,2367.56,15,1,2018,DAVID MILLER
DAVID NORTHCUTT,DAVID NORTHCUTT,420011.71,214,1,2018,DAVID NORTHCUTT
DAVID PATE,DAVID PATE,9236.92,27,1,2018,DAVID PATE
DAVID PORTER,DAVID PORTER,2900.0,4,1,2018,DAVID PORTER
DAVID REDDICK,DAVID REDDICK,7804.9,74,1,2018,DAVID REDDICK
DAVID ROBERTS,DAVID ROBERTS,1417.3500000000001,175,1,2018,DAVID ROBERTS
DAVID SADLER,DAVID SADLER,11244.07,65,1,2018,DAVID SADLER
DAVID SESSIONS,DAVID SESSIONS,18054.89,5,1,2018,DAVID SESSIONS
DAVID SHOUPE,DAVID SHOUPE,1006.06,3,1,2018,DAVID SHOUPE
DAVID STANDRIDGE,DAVID STANDRIDGE,4926.24,25,1,2018,DAVID STANDRIDGE
DAVID TURMAN,DAVID TURMAN,28824.91,124,1,2018,DAVID TURMAN
DAVID WALKER,DAVID WALKER,38409.19,69,2,2018,DAVID WALKER
DAVID WARREN,DAVID WARREN,5857.87,12,1,2018,DAVID WARREN
DAVID WHEELER,DAVID WHEELER,60976.770000000004,28,1,2018,DAVID WHEELER
DAVID YARBER,DAVID YARBER,0.0,6,1,2018,DAVID YARBER
DAVID YOUNG,DAVID YOUNG,17026.74,10,1,2018,DAVID YOUNG
DAYRON BRIDGES,DAYRON BRIDGES,3700.0,7,1,2018,DAYRON BRIDGES
DEANNA THOMAS,DEANNA THOMAS,10485.26,38,1,2018,DEANNA THOMAS
DEANO ORR,DEANO ORR,16899.76,28,1,2018,DEANO ORR
DEBBIE HESS,DEBBIE HESS,3975.85,24,1,2018,DEBBIE HESS
DEBBIE SWORDS,DEBBIE SWORDS,3802.23,193,1,2018,DEBBIE SWORDS
DEBBIE WOOD,DEBBIE WOOD,183219.58,180,1,2018,DEBBIE WOOD
DEBORAH BARROS,DEBORAH BARROS,9196.79,102,1,2018,DEBORAH BARROS
DEBORAH FOWLER,DEBORAH FOWLER,6436.81,27,1,2018,DEBORAH FOWLER
DEBRA BLACKMON,DEBRA BLACKMON,2829.41,8,1,2018,DEBRA BLACKMON
DEBRA JONES,DEBRA JONES,50883.25,381,1,2018,DEBRA JONES
DEBRA KIZER,DEBRA KIZER,2530.0299999999997,8,1,2018,DEBRA KIZER
DEBRA RILEY,DEBRA RILEY,2836.3,15,1,2018,DEBRA RILEY
DEBRA WESTON PICKENS,DEBRA WESTON-PICKENS,35354.39,142,1,2018,DEBRA WESTON PICKENS
DEENA WESTON,DEENA WESTON,25161.97,12,1,2018,DEENA WESTON
DEIDRA WILLIS,DEIDRA WILLIS,1851.07,17,1,2018,DEIDRA WILLIS
DEL MARSH,DEL MARSH,884387.01,77,1,2018,DEL MARSH
DELANA WEAVER,DELANA WEAVER,2801.82,6,1,2018,DELANA WEAVER
DELORES WOODHAM,DELORES WOODHAM,1400.0,3,1,2018,DELORES WOODHAM
DENISE JOHNSON,DENISE JOHNSON,5756.46,17,1,2018,DENISE JOHNSON
DENISE MIXON,DENISE MIXON,11105.199999999999,22,1,2018,DENISE MIXON
DENNIS DAVIS,DENNIS DAVIS,7920.0,15,2,2018,DENNIS DAVIS
DENNIS FULFORD,DENNIS FULFORD,1282.95,5,1,2018,DENNIS FULFORD
DENNIS GREEN,DENNIS GREEN,7650.0,21,1,2018,DENNIS GREEN
DENNIS HARGETT,DENNIS HARGETT,2249.61,13,1,2018,DENNIS HARGETT
DENNIS HILL,DENNIS HILL,947.6600000000001,11,1,2018,DENNIS HILL
DENNIS MEEKS,DENNIS MEEKS,29900.0,46,1,2018,DENNIS MEEKS
DENNIS O DELL,DENNIS O'DELL,36616.22,26,1,2018,DENNIS O DELL
DEREK ROBERTSON,DEREK ROBERTSON,5019.57,16,1,2018,DEREK ROBERTSON
DERRICK CUNNINGHAM,DERRICK CUNNINGHAM,2204.0,3,1,2018,DERRICK CUNNINGHAM
DERRICK WILLIAMS,DERRICK WILLIAMS,48526.26,30,1,2018,DERRICK WILLIAMS
DIANNE BRANCH,DIANNE BRANCH,7450.0,30,1,2018,DIANNE BRANCH
DICKIE DRAKE,DICKIE DRAKE,201406.53,166,1,2018,DICKIE DRAKE
DIERDRE HARKLESS,DIERDRE HARKLESS,4425.0,10,1,2018,DIERDRE HARKLESS
DIMITRI POLIZOS,DIMITRI POLIZOS,93327.53,17,1,2018,DIMITRI POLIZOS
DON LARKINS,DON LARKINS,3.78,1,1,2018,DON LARKINS
DONALD BEEBE,DONALD BEEBE,18500.0,3,1,2018,DONALD BEEBE
DONALD BLANKENSHIP,DONALD BLANKENSHIP,12249.89,11,1,2018,DONALD BLANKENSHIP
DONALD VALENZA,DONALD VALENZA,49895.26,37,1,2018,DONALD VALENZA
DONALD WHITEHEAD,DONALD WHITEHEAD,933.05,9,1,2018,DONALD WHITEHEAD
DONNA MATHEWS,DONNA MATHEWS,6347.5,28,1,2018,DONNA MATHEWS
DONNA PATE,DONNA PATE,2398.9700000000003,2,1,2018,DONNA PATE
DONNA SILCOX,DONNA SILCOX,23291.47,64,1,2018,DONNA SILCOX
DONNA SMALLEY,DONNA SMALLEY,73170.67,116,1,2018,DONNA SMALLEY
DONNA STRONG,DONNA STRONG,10241.48,21,1,2018,DONNA STRONG
DONNIE GRANT,DONNIE GRANT,13451.130000000001,19,1,2018,DONNIE GRANT
DOROTHY BANKS,DOROTHY BANKS,0.0,2,1,2018,DOROTHY BANKS
DORTHY ALEXANDER,DORTHY ALEXANDER,3556.1,14,1,2018,DORTHY ALEXANDER
DOUGLAS REYNOLDS,DOUGLAS REYNOLDS,4534.54,14,1,2018,DOUGLAS REYNOLDS
DOUGLAS VALESKA,DOUGLAS VALESKA,314.17,1,1,2018,DOUGLAS VALESKA
DR LEWIS BROOKS,DR. LEWIS BROOKS,36098.97,68,1,2018,DR LEWIS BROOKS
DURWARD MCDONALD,DURWARD MCDONALD,2650.07,73,1,2018,DURWARD MCDONALD
DUSTIN DEVAUGHN,DUSTIN DEVAUGHN,61896.76,128,1,2018,DUSTIN DEVAUGHN
DWAYNE AMOS,DWAYNE AMOS,690.98,3,1,2018,DWAYNE AMOS
DWIGHT GROSS,DWIGHT GROSS,9796.82,19,1,2018,DWIGHT GROSS
EARNEST DONALDSON,EARNEST DONALDSON,2535.0,56,1,2018,EARNEST DONALDSON
EARNEST EVANS,EARNEST EVANS,6782.36,26,1,2018,EARNEST EVANS
EDDIE BRITTON,EDDIE BRITTON,43357.590000000004,86,1,2018,EDDIE BRITTON
EDDIE BROWN,EDDIE BROWN,0.0,2,1,2018,EDDIE BROWN
EDDIE GARNER,EDDIE GARNER,5567.89,14,1,2018,EDDIE GARNER
EDDIE HARDAWAY,EDDIE HARDAWAY,5100.0,5,1,2018,EDDIE HARDAWAY
EDMOND BELL,EDMOND BELL,95.0,2,1,2018,EDMOND BELL
EDMOND NAMAN,EDMOND NAMAN,1319.48,2,1,2018,EDMOND NAMAN
EDMUND SEXTON,EDMUND SEXTON,148610.0,40,1,2018,EDMUND SEXTON
EDWARD BURKE,EDWARD BURKE,4269.53,23,1,2018,EDWARD BURKE
EDWARD HUFFMAN,EDWARD HUFFMAN,1692.5,4,1,2018,EDWARD HUFFMAN
EDWARD MARCH,EDWARD MARCH,45558.18,39,1,2018,EDWARD MARCH
EDWARD OLIVER,EDWARD OLIVER,86620.39,122,1,2018,EDWARD OLIVER
EDWARD WHITE,EDWARD WHITE,2000.0,66,1,2018,EDWARD WHITE
ELAINE BEECH,ELAINE BEECH,137014.78,291,1,2018,ELAINE BEECH
ELI HENDERSON,ELI HENDERSON,3690.76,7,1,2018,ELI HENDERSON
ELIJAH BOYD,ELIJAH BOYD,2380.01,24,1,2018,ELIJAH BOYD
ELISABETH FRENCH,ELISABETH FRENCH,397.0,4,1,2018,ELISABETH FRENCH
ELIZABETH HAMNER,ELIZABETH HAMNER,3824.6400000000003,5,1,2018,ELIZABETH HAMNER
ELIZABETH HANEY,ELIZABETH HANEY,43287.98,98,1,2018,ELIZABETH HANEY
ELIZABETH WATKINS,ELIZABETH WATKINS,5088.83,71,1,2018,ELIZABETH WATKINS
ELLIOTT LIPINSKY,ELLIOTT LIPINSKY,8601.74,23,1,2018,ELLIOTT LIPINSKY
ELMA AVERETT,ELMA AVERETT,1275.3899999999999,17,1,2018,ELMA AVERETT
ELZORA FLUKER,ELZORA FLUKER,444.8,1,1,2018,ELZORA FLUKER
EMILY MARCUM,EMILY MARCUM,5237.63,24,1,2018,EMILY MARCUM
EMILY STEELE,EMILY STEELE,32924.56,117,1,2018,EMILY STEELE
ERIC FANCHER,ERIC FANCHER,1001.79,2,1,2018,ERIC FANCHER
ERIC MAJOR,ERIC MAJOR,11286.29,14,1,2018,ERIC MAJOR
ERIC REDD,ERIC REDD,8210.84,9,1,2018,ERIC REDD
ERICA BROWN,ERICA BROWN,1623.21,8,1,2018,ERICA BROWN
ETHAN MILLER,ETHAN MILLER,5526.74,8,1,2018,ETHAN MILLER
EUGENE MARBUTT,EUGENE MARBUTT,719.0,4,1,2018,EUGENE MARBUTT
EVERETT WESS,EVERETT WESS,46657.8,89,1,2018,EVERETT WESS
EYRIKA PARKER,EYRIKA PARKER,4303.1,13,1,2018,EYRIKA PARKER
FELICIA STEWART,FELICIA STEWART,96641.07,346,1,2018,FELICIA STEWART
FLETCHER STEWART,FLETCHER STEWART,3892.38,32,1,2018,FLETCHER STEWART
FRANK CHESTNUT,FRANK CHESTNUT,200.0,1,1,2018,FRANK CHESTNUT
FRANK LEE,FRANK LEE,0.0,6,1,2018,FRANK LEE
FRANK TAPLEY,FRANK TAPLEY,2875.06,8,1,2018,FRANK TAPLEY
FRANK WILLIAMSON,FRANK WILLIAMSON,23160.12,154,2,2018,FRANK WILLIAMSON
FRANKIE INGRAM,FRANKIE INGRAM,1387.0,11,1,2018,FRANKIE INGRAM
FRANKIE SPENCER,FRANKIE SPENCER,355.02,2,1,2018,FRANKIE SPENCER
FRANKLIN BARGER,FRANKLIN BARGER,47009.2,92,1,2018,FRANKLIN BARGER
FRANKLIN DILLMAN,FRANKLIN DILLMAN,2942.25,29,1,2018,FRANKLIN DILLMAN
FRANKLIN FORTIER,FRANKLIN FORTIER,4496.7,10,1,2018,FRANKLIN FORTIER
FRANKLIN MCMILLION,FRANKLIN MCMILLION,2837.4,9,1,2018,FRANKLIN MCMILLION
FRED ARMSTEAD,FRED ARMSTEAD,596.02,1,1,2018,FRED ARMSTEAD
FRED HELMS,FRED HELMS,13002.8,35,1,2018,FRED HELMS
FRED TOOMER,FRED TOOMER,4.46,1,1,2018,FRED TOOMER
FRED WILSON,FRED WILSON,5016.66,20,1,2018,FRED WILSON
FREDERIC BOLLING,FREDERIC BOLLING,14175.83,36,1,2018,FREDERIC BOLLING
FREDRICK TURNER,FREDRICK TURNER,14358.380000000001,21,1,2018,FREDRICK TURNER
G LASHUN HUTSON,G. LASHUN HUTSON,100.0,15,1,2018,G LASHUN HUTSON
GARLAN GUDGER,GARLAN GUDGER,414906.51,223,1,2018,GARLAN GUDGER
GARRY MARCHMAN,GARRY MARCHMAN,28139.52,162,1,2018,GARRY MARCHMAN
GARY BRADFORD,GARY BRADFORD,4157.150000000001,18,1,2018,GARY BRADFORD
GARY MURPHREE,GARY MURPHREE,4730.51,13,1,2018,GARY MURPHREE
GARY OLSON,GARY OLSON,8962.41,30,1,2018,GARY OLSON
GARY RICHARDSON,GARY RICHARDSON,24604.42,9,1,2018,GARY RICHARDSON
GENE MITCHELL,GENE MITCHELL,23420.72,52,1,2018,GENE MITCHELL
GEORGE BOWMAN,GEORGE BOWMAN,55835.0,35,1,2018,GEORGE BOWMAN
GEORGE DAY,GEORGE DAY,4592.97,20,1,2018,GEORGE DAY
GEORGE DIAMOND,GEORGE DIAMOND,3246.63,10,1,2018,GEORGE DIAMOND
GEORGE LEWIS,GEORGE LEWIS,2091.0,9,1,2018,GEORGE LEWIS
GEORGE TUCKER,GEORGE TUCKER,2181.95,3,1,2018,GEORGE TUCKER
GEORGE ZOGHBY,GEORGE ZOGHBY,111542.51,52,1,2018,GEORGE ZOGHBY
GERALD ALLEN,GERALD ALLEN,164547.61,286,1,2018,GERALD ALLEN
GERALD BARNES,GERALD BARNES,396.16999999999996,4,1,2018,GERALD BARNES
GERALD DIAL,GERALD DIAL,551177.8099999999,76,1,2018,GERALD DIAL
GIL ISBELL,GIL ISBELL,69722.18,113,1,2018,GIL ISBELL
GINA ISHMAN,GINA ISHMAN,2831.9700000000003,12,1,2018,GINA ISHMAN
GINNY SHAVER,GINNY SHAVER,63004.66,162,1,2018,GINNY SHAVER
GLENDA FREEMAN,GLENDA FREEMAN,3193.52,38,1,2018,GLENDA FREEMAN
GLENN BRYANT,GLENN BRYANT,15156.03,48,1,2018,GLENN BRYANT
GLENN MCGRIFF,GLENN MCGRIFF,2166.9700000000003,14,1,2018,GLENN MCGRIFF
GLINDA COCHRAN,GLINDA COCHRAN,5984.1,15,1,2018,GLINDA COCHRAN
GLORIA COOPER,GLORIA COOPER,13954.890000000001,17,1,2018,GLORIA COOPER
GRACE STANFORD,GRACE STANFORD,500.0,15,1,2018,GRACE STANFORD
GREG CAIN,GREG CAIN,2093.6,2,1,2018,GREG CAIN
GREG GRIFFIN,GREG GRIFFIN,225.0,2,1,2018,GREG GRIFFIN
GREG LOWERY,GREG LOWERY,22665.7,93,1,2018,GREG LOWERY
GREG NORRIS,GREG NORRIS,500.0,1,1,2018,GREG NORRIS
GREG REED,GREG REED,92942.51,101,1,2018,GREG REED
GREG SHAW,GREG SHAW,982.35,3,1,2018,GREG SHAW
GREGORY ALBRITTON,GREGORY ALBRITTON,49475.49,59,1,2018,GREGORY ALBRITTON
GREGORY BURDINE,GREGORY BURDINE,4229.0,5,1,2018,GREGORY BURDINE
GREGORY COBB,GREGORY COBB,22720.75,40,1,2018,GREGORY COBB
GREGORY DUTTON,GREGORY DUTTON,25325.63,66,1,2018,GREGORY DUTTON
GREGORY HARRIS,GREGORY HARRIS,13463.7,66,1,2018,GREGORY HARRIS
GREGORY NICHOLAS,GREGORY NICHOLAS,2398.9700000000003,2,1,2018,GREGORY NICHOLAS
GREGORY RANDOLPH,GREGORY RANDOLPH,608.0,2,1,2018,GREGORY RANDOLPH
GREGORY WHITE,GREGORY WHITE,525.2,6,1,2018,GREGORY WHITE
GREGORY WILLIAMS,GREGORY WILLIAMS,2567.94,5,1,2018,GREGORY WILLIAMS
HAL ALLRED,HAL ALLRED,3561.8,13,1,2018,HAL ALLRED
HARRI ANNE SMITH,HARRI ANNE SMITH,200000.0,4,1,2018,HARRI ANNE SMITH
HARRY D OLIVE,HARRY D'OLIVE,23341.52,46,1,2018,HARRY D OLIVE
HARRY SATTERWHITE,HARRY SATTERWHITE,99406.07,64,1,2018,HARRY SATTERWHITE
HARRY SHIVER,HARRY SHIVER,91706.22,41,1,2018,HARRY SHIVER
HEATH BOACKLE,HEATH BOACKLE,43182.61,52,1,2018,HEATH BOACKLE
HEATH TAYLOR,HEATH TAYLOR,7741.06,29,1,2018,HEATH TAYLOR
HEATHER MILAM,HEATHER MILAM,79403.28,250,1,2018,HEATHER MILAM
HELEN MCRAND,HELEN MCRAND,13052.7,142,1,2018,HELEN MCRAND
HENRY HASEEB,HENRY HASEEB,4218.62,9,1,2018,HENRY HASEEB
HENRY LAMBERT,HENRY LAMBERT,9190.14,28,1,2018,HENRY LAMBERT
HENRY MCDONALD,HENRY MCDONALD,-180.0,11,1,2018,HENRY MCDONALD
HENRY SANDERS,HENRY SANDERS,45867.479999999996,119,1,2018,HENRY SANDERS
HENRY SONNY REAGAN,HENRY (SONNY) REAGAN,40685.18,29,1,2018,HENRY SONNY REAGAN
HERMAN THOMAS,HERMAN THOMAS,12257.26,31,1,2018,HERMAN THOMAS
HORACE KYNARD,HORACE KYNARD,11200.17,34,1,2018,HORACE KYNARD
HORACE THOMAS,HORACE THOMAS,1177.53,8,1,2018,HORACE THOMAS
HOWARD HATTON,HOWARD HATTON,1395.6399999999999,4,1,2018,HOWARD HATTON
HOYT ELLIOTT,HOYT ELLIOTT,2618.9700000000003,6,1,2018,HOYT ELLIOTT
HUEY MACK,HUEY MACK,8473.72,18,1,2018,HUEY MACK
HUGH FARRIS,HUGH FARRIS,2523.9700000000003,4,1,2018,HUGH FARRIS
HUMPHREY LEE,HUMPHREY LEE,54068.0,22,1,2018,HUMPHREY LEE
IDA MASHBURN MYRICK,IDA MASHBURN-MYRICK,45819.33,154,1,2018,IDA MASHBURN MYRICK
ISAIAH SANKEY,ISAIAH SANKEY,110.0,1,1,2018,ISAIAH SANKEY
IVAN SMITH,IVAN SMITH,24.0,1,1,2018,IVAN SMITH
IVOR BUCHANAN,IVOR BUCHANAN,2017.09,9,1,2018,IVOR BUCHANAN
J D HESS,J.D. HESS,8123.0,28,1,2018,JD HESS
J R GAINES,J.R. GAINES,375.0,4,1,2018,JR GAINES
J WALLS,J WALLS,48411.76,55,1,2018,J WALLS
JACK BAILEY,JACK BAILEY,790.0,5,1,2018,JACK BAILEY
JACK BREWER,JACK BREWER,1019.61,11,1,2018,JACK BREWER
JACK NELSON,JACK NELSON,-132.0,7,1,2018,JACK NELSON
JACK SWINFORD,JACK SWINFORD,40195.3,57,1,2018,JACK SWINFORD
JACK WEAVER,JACK WEAVER,5072.389999999999,8,1,2018,JACK WEAVER
JACK WILLIAMS,JACK WILLIAMS,31253.0,15,1,2018,JACK WILLIAMS
JACKIE ANDERSON SMITH,JACKIE ANDERSON-SMITH,55417.19,147,1,2018,JACKIE ANDERSON SMITH
JACKIE BATTLES,JACKIE BATTLES,1700.0,14,1,2018,JACKIE BATTLES
JACOB LANE,JACOB LANE,3055.74,10,1,2018,JACOB LANE
JACOB WARE,JACOB WARE,23125.0,3,1,2018,JACOB WARE
JACQUELINE GRAY MILLER,JACQUELINE GRAY MILLER,18247.66,194,1,2018,JACQUELINE GRAY MILLER
JACQUELINE HATCHER,JACQUELINE HATCHER,2419.37,2,1,2018,JACQUELINE HATCHER
JACQUELYN CARLISLE,JACQUELYN CARLISLE,2701.7,27,1,2018,JACQUELYN CARLISLE
JACQUELYN WIMBLEY,JACQUELYN WIMBLEY,744.13,7,1,2018,JACQUELYN WIMBLEY
JACQUELYN ZEIGLER,JACQUELYN ZEIGLER,68.41,1,1,2018,JACQUELYN ZEIGLER
JAMAAL HUNTER,JAMAAL HUNTER,3195.0,13,1,2018,JAMAAL HUNTER
JAMERIA MOORE,JAMERIA MOORE,31932.78,105,1,2018,JAMERIA MOORE
JAMES ANDERSON,JAMES ANDERSON,2386.0299999999997,8,1,2018,JAMES ANDERSON
JAMES BALL,JAMES BALL,19408.41,32,1,2018,JAMES BALL
JAMES BENEFIELD,JAMES BENEFIELD,5072.21,72,1,2018,JAMES BENEFIELD
JAMES BOWLING,JAMES BOWLING,5248.91,17,1,2018,JAMES BOWLING
JAMES BURKHALTER,JAMES BURKHALTER,5246.82,17,1,2018,JAMES BURKHALTER
JAMES BUSKEY,JAMES BUSKEY,3422.0,22,1,2018,JAMES BUSKEY
JAMES CALVIN,JAMES CALVIN,1163.5,2,1,2018,JAMES CALVIN
JAMES CARTER,JAMES CARTER,9682.79,97,1,2018,JAMES CARTER
JAMES CHAPMAN,JAMES CHAPMAN,30883.76,85,1,2018,JAMES CHAPMAN
JAMES CHESTEEN,JAMES CHESTEEN,86561.84,72,1,2018,JAMES CHESTEEN
JAMES CHRISTIE,JAMES CHRISTIE,283070.51,188,1,2018,JAMES CHRISTIE
JAMES COOPER,JAMES COOPER,13152.03,34,1,2018,JAMES COOPER
JAMES CROCKER,JAMES CROCKER,3393.65,5,1,2018,JAMES CROCKER
JAMES DECORTE,JAMES DECORTE,1120.0,3,1,2018,JAMES DECORTE
JAMES DOZIER,JAMES DOZIER,16973.11,23,1,2018,JAMES DOZIER
JAMES DURBIN,JAMES DURBIN,2768.9700000000003,12,1,2018,JAMES DURBIN
JAMES FIELDS,JAMES FIELDS,25535.79,127,1,2018,JAMES FIELDS
JAMES FOSTER,JAMES FOSTER,5465.15,5,1,2018,JAMES FOSTER
JAMES GAINES,JAMES GAINES,1100.0,12,1,2018,JAMES GAINES
JAMES GUNNELS,JAMES GUNNELS,1773.29,13,1,2018,JAMES GUNNELS
JAMES HALE,JAMES HALE,2776.46,4,1,2018,JAMES HALE
JAMES HANES,JAMES HANES,80239.98,63,1,2018,JAMES HANES
JAMES HARDIN,JAMES HARDIN,1522.08,5,1,2018,JAMES HARDIN
JAMES HEDGSPETH,JAMES HEDGSPETH,71846.59,167,1,2018,JAMES HEDGSPETH
JAMES HUTCHESON,JAMES HUTCHESON,1016.92,1,1,2018,JAMES HUTCHESON
JAMES JAY HENRY,JAMES(JAY) HENRY,32806.56,34,1,2018,JAMES JAY HENRY
JAMES JONES,JAMES JONES,2887.52,29,1,2018,JAMES JONES
JAMES JORDAN,JAMES JORDAN,687.0,6,1,2018,JAMES JORDAN
JAMES KILGORE,JAMES KILGORE,12309.25,14,1,2018,JAMES KILGORE
JAMES MALONE,JAMES MALONE,2378.9700000000003,2,1,2018,JAMES MALONE
JAMES MARTIN,JAMES MARTIN,114326.03,40,1,2018,JAMES MARTIN
