model,fold_type,folds,rows,mean_mae,mean_rmse,mean_bias,mean_winner_accuracy,mean_whole_precinct_rmse
baseline_only,forward_year,4,1227,14.206280980206152,19.65546682115382,9.419839267088228,0.8212935145503775,20.629098211824893
full_temporal,forward_year,4,1227,12.395084948525055,15.360150054596616,-7.037853464179859,0.8696915842800405,15.392718713927469
pooled_lag,forward_year,4,1227,13.609094098249875,17.486298330665665,0.6823075378627957,0.8136983641545539,17.774166156607162
portable_temporal,forward_year,4,1227,12.50254560549512,15.547956114311777,-6.780624133926228,0.8559842655015172,15.46509728981985
state_chamber_incumbency,forward_year,4,1227,12.365053284494978,15.46849962922329,0.8548098975079501,0.8734547499708798,15.863254424055757
state_chamber_lag,forward_year,4,1227,13.641735450532156,17.37818408905609,0.05712027414263021,0.8212629296066802,17.019034205828856
symmetric_incumbency,forward_year,4,1227,12.181723147891677,15.510182931906844,1.5734526526582904,0.868925684484102,16.65461541554422
baseline_only,leave_state_out,10,1805,18.901484214950603,23.363908287640594,15.129443901310689,0.7968778508981346,24.338844010309327
full_temporal,leave_state_out,10,1805,12.834751745949907,15.963881350503367,0.4454377837719375,0.8483549835560916,14.607796250130832
pooled_lag,leave_state_out,10,1805,16.46560036477635,20.267796162530516,5.248825713648108,0.7995294084035077,20.85046013341315
portable_temporal,leave_state_out,10,1805,12.075483215846836,15.218853449369362,2.180326717767159,0.8509153385757372,14.026886723758338
state_chamber_incumbency,leave_state_out,10,1805,15.171016770512917,18.378994409301033,0.45431614755675787,0.8345913039392071,17.517422601955325
state_chamber_lag,leave_state_out,10,1805,16.64454450745492,20.201875148132064,0.45552418723811383,0.7897779380938814,20.387210840355852
symmetric_incumbency,leave_state_out,10,1805,15.072430332862902,18.390873009042785,5.068603096932049,0.8408055093338639,17.884428695146582
