specification,cycle,races,mae,rmse,r2,mean_error
baseline_ensemble_margin,1994,72,20.5536066616748,28.237007705376765,0.35761910682815257,16.796638437817087
baseline_ensemble_margin,1998,85,16.944041525806085,20.879529396387767,0.5270877646129496,7.781451677036691
baseline_ensemble_margin,2002,74,24.778210461613593,29.670910506735158,0.20723884217406252,18.26781537700918
baseline_ensemble_margin,2006,62,24.987732935861118,31.018027567385417,0.0810955816151564,20.266358550648793
baseline_ensemble_margin,2010,63,15.339897796115439,19.432147388644633,0.39934386812711997,10.25524297099752
baseline_ensemble_margin,2014,56,15.077623304013539,20.247047385391976,0.6498986777061309,7.621995083848279
baseline_ensemble_margin,2018,64,5.353382355052291,7.222003194092663,0.9199886555140425,-1.4310013974967584
baseline_ensemble_margin,2022,33,5.2499453540391166,7.842658821411161,0.9476062818871428,3.460811478250158
expected_margin_context,1994,72,15.80329338293864,23.31970736782989,0.5618715422655415,1.9236260710063569
expected_margin_context,1998,85,16.249830652265253,20.073689932694304,0.5628871621358404,-7.262839512530013
expected_margin_context,2002,74,18.845084229319205,23.19231532732711,0.5156393757343141,7.124061116229846
expected_margin_context,2006,62,20.12275987679382,25.736714937758965,0.3673722923751188,11.999091727275465
expected_margin_context,2010,63,11.867244517974834,15.639637780891139,0.6109210777750732,-1.1639338144485498
expected_margin_context,2014,56,12.920789613304022,16.650917185231467,0.763219096089054,-3.758158526547043
expected_margin_context,2018,64,12.521333988253652,14.00547576881805,0.6990932369611431,-9.769909261255997
expected_margin_context,2022,33,9.38149445501142,11.10979966090643,0.8948607125066242,-3.264856841124128
expected_margin_context_huber,1994,72,15.858699915573933,23.38368071838417,0.559464394477206,1.562585291251365
expected_margin_context_huber,1998,85,16.01508833530543,19.742962406452033,0.5771719641083054,-6.736915876053612
expected_margin_context_huber,2002,74,19.24588135650869,23.611229318210224,0.4979837047717378,8.085184718757333
expected_margin_context_huber,2006,62,20.70600719648394,26.72302339301395,0.31795478216189155,13.273377204930318
expected_margin_context_huber,2010,63,11.955171689158936,15.744379339003839,0.6056921591231446,1.2940404412724735
expected_margin_context_huber,2014,56,12.732557175844331,16.5057533223195,0.767329644644271,-2.2591753981067044
expected_margin_context_huber,2018,64,11.343447713622403,12.778993158863315,0.7494874480115366,-7.691673058448822
expected_margin_context_huber,2022,33,8.707607061636393,10.583689067196106,0.9045827887316145,-1.4299793561613534
expected_margin_context_logit,1994,72,15.855045086797585,23.344385009059298,0.5609437692444468,2.2554797296846547
expected_margin_context_logit,1998,85,15.972256181421244,20.32596306170161,0.5518314233928671,-6.628776593064961
expected_margin_context_logit,2002,74,18.41043361599477,22.820793727120716,0.5310331907586476,6.786324872331454
expected_margin_context_logit,2006,62,19.935785636966102,25.691797953726173,0.36957855160014574,12.234481870777406
expected_margin_context_logit,2010,63,11.791641655321392,15.547584921765583,0.615487733868149,-0.9304804615881475
expected_margin_context_logit,2014,56,12.568021896201637,16.41444151702129,0.769896844493731,-3.1175732554630717
expected_margin_context_logit,2018,64,11.8589887876294,13.331901928429643,0.7273406240331157,-9.039338824506288
expected_margin_context_logit,2022,33,8.2587030533103,10.246195087503198,0.9105711150670587,-1.944474194077891
expected_margin_predictive,1994,72,18.302564476391368,25.620528975284106,0.47115128360315317,11.610738646879408
expected_margin_predictive,1998,85,13.986712263813065,17.51963613837794,0.667042115924283,-9.63079946851461
expected_margin_predictive,2002,74,12.989627442245824,17.082835170078038,0.7372150331493781,2.5303550977684783
expected_margin_predictive,2006,62,15.205587277246416,19.924959194478205,0.6208274704865555,5.941489494965938
expected_margin_predictive,2010,63,13.816250332288345,17.475939059527324,0.5141912121743522,-7.96518932010861
expected_margin_predictive,2014,56,12.002508695471318,15.39979798193862,0.7974648528159607,0.9609244813060388
expected_margin_predictive,2018,64,8.383217284539665,10.290198924918174,0.837563450079361,-2.3596384889051265
expected_margin_predictive,2022,33,6.733457245921704,9.290472104839278,0.9264761666758295,-1.3627738035328045
expected_margin_nested_forward,1994,72,20.5536066616748,28.237007705376765,0.35761910682815257,16.796638437817087
expected_margin_nested_forward,1998,85,16.944041525806085,20.879529396387767,0.5270877646129496,7.781451677036691
expected_margin_nested_forward,2002,74,17.2874074235168,22.03771376345,0.5626655473535883,2.8368737785919373
expected_margin_nested_forward,2006,62,20.525557760629574,25.567874747712196,0.3756455021323134,11.18664626284871
expected_margin_nested_forward,2010,63,13.457622029967474,17.411208100564313,0.5177834230338945,-6.837191910388178
expected_margin_nested_forward,2014,56,12.938561493984869,16.69389780289977,0.7619951245564803,-4.958442037593994
expected_margin_nested_forward,2018,64,12.563401421239881,14.17979401056829,0.691556189522579,-9.434196393257821
expected_margin_nested_forward,2022,33,8.2587030533103,10.246195087503198,0.9105711150670587,-1.944474194077891
