cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,fallback_votes,pres_2012_fallback_share,pres_2012_source_counties,pres_2012_source_complete,pres_2012_source_note,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_allocation_method,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_allocation_method,pres_swing_2016_2020,acs_vintage,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,white_college_method,dem_candidate_spending,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,rep_finance_matched,finance_complete,incumbency_advantage_d,dem_incumbent_i,rep_incumbent_i,prior_pres_dem_margin,prior_pres_swing,pres_trend_available,expected_raw_overperformance_oof,war_residual_oof,expected_raw_overperformance_loco,war_residual_loco,expected_raw_overperformance_final,war_residual_final,selected_ridge_alpha,war_model_se,war_final_ci_low,war_final_ci_high,high_absolute_war,high_2012_fallback,finance_incomplete,baseline_incomplete,cycle_shift_risk,review_flag_count,review_reasons
2014,house,18,6700.0,4559.0,11259.0,19.0158983923972,True,D,2012_enacted,-24.36728843385004,3,-24.97932222796201,2,True,complete_core_expanded,43.38318682624723,43.995220620359206,1,Johnny MacK Morrow,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,5773.833634362805,13050.47078373705,18824.30441809985,-38.65554332184326,9242.940394995265,0.4910109924756655,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 18 (2014), Alabama",44959,30544,0.1899286016148046,0.1204164484023048,0.1326818339835451,25889,acs_c15002h_white_nh_bachelors_plus_direct,71440.4,0.0,,500.0,True,False,0,1,1,0,-38.65554332184326,,0,17.184329362612633,26.1988574636346,9.7047934494654,33.678393376781834,18.65413085505585,24.72905597119138,30,3.720335785068923,17.94918525506599,32.076183698375075,True,False,True,False,True,3,high_absolute_war | finance_incomplete | cycle_shift_risk
2014,house,39,8280.0,6421.0,14701.0,12.645398272226378,True,D,2012_enacted,-44.31059471500836,3,-42.550518167881215,2,True,complete_core_expanded,56.95599298723474,55.1959164401076,1,Richard Lindsey,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,3721.856564648812,13973.359524747611,17695.216089396425,-57.93375400621328,5598.926774641228,0.3164090648204231,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 39 (2014), Alabama",44810,31728,0.1094398571747378,0.1219427634896621,0.1225848971521731,28829,acs_c15002h_white_nh_bachelors_plus_direct,125059.08,2469.0,3.744551208991027,500.0,True,True,1,1,1,0,-57.93375400621328,,0,21.932941998403223,35.023050988831514,15.91372815821396,41.04226482902078,26.11706182739779,30.838931159836942,30,5.563233217148086,20.755020833985636,42.698042167612336,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,27,5139.0,7600.0,12739.0,-19.31862783577989,True,R,2012_enacted,-58.06292976553478,3,-57.72304867445741,2,True,complete_core_expanded,38.7443019297549,38.40442083867752,0,,,,,False,False,True,open,431.1447200867542,1721.5214528638148,2152.666172950569,-59.9431880795709,431.8579934636196,0.2006154037677333,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 27 (2014), Alabama",45863,32211,0.0683775592525565,0.1845642792834746,0.1858523436986391,30422,acs_c15002h_white_nh_bachelors_plus_direct,40150.4,331338.36,-2.099639306844352,500.0,True,True,1,0,0,0,-59.9431880795709,,0,7.818757483422477,30.92554444633242,1.4387378044564108,37.30556412529849,9.342785437407755,29.40151649234714,30,2.959783565079501,24.08924350402528,35.53341955097559,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,5,5520.0,7132.0,12652.0,-12.74106860575403,True,R,2012_enacted,-44.76018183706217,3,-44.869789761332704,2,True,complete_core_expanded,32.01911323130814,32.128721155578674,1,Dan Williams,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,4789.9054191775895,12630.10860168813,17420.01402086572,-45.00687067828725,5760.147770300518,0.3306626368613138,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 5 (2014), Alabama",49802,32804,0.2309144211075861,0.2157358858675771,0.2322466228963851,26502,acs_c15002h_white_nh_bachelors_plus_direct,18907.73,183582.89,-2.2497147049836848,500.0,True,True,1,-1,0,1,-45.00687067828725,,0,3.7470431995681377,28.27207003174,-1.9815221558539933,34.000635387162134,3.9801921452182656,28.038921086089875,30,2.4402568483676608,23.3806909228609,32.67770808768707,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,7,5553.0,6072.0,11625.0,-4.464516129032258,True,R,2012_enacted,-37.81096601916638,3,-38.37126816270015,2,True,complete_core_expanded,33.346449890134124,33.906752033667885,1,Ken Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,5340.708215677897,12240.233773442524,17580.94198912042,-39.24434516668246,7784.754358331175,0.4427950654264487,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 7 (2014), Alabama",45064,30831,0.1505414521569323,0.1200739515422788,0.1148548026805659,26860,acs_c15002h_white_nh_bachelors_plus_direct,32575.7,177937.53,-1.685439694178181,500.0,True,True,1,-1,0,1,-39.24434516668246,,0,6.519478608909876,26.82697128122425,-0.3344935690786199,33.68094345921274,7.510244291006376,25.836205599127748,30,2.685661779587903,20.356342175988992,31.515319003852586,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,74,3621.0,9481.0,13102.0,-44.72599603114028,True,R,2012_enacted,-22.126576567098507,3,-17.70120345930871,2,True,complete_core_expanded,-22.599419464041777,-27.02479257183157,0,,,,,False,False,True,open,11992.666718723154,14236.7482549144,26229.414973637555,-8.555591264413284,5629.585530346674,0.2146287111628228,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 74 (2014), Alabama",45637,31418,0.3418936389333217,0.3791775415366987,0.3753561565773901,22813,acs_c15002h_white_nh_bachelors_plus_direct,4189.66,22004.86,-1.5683712007249204,500.0,True,True,1,0,0,0,-8.555591264413284,,0,2.9449711063084605,-25.54439057035024,-1.628518562258727,-20.97090090178305,1.7331215375097837,-24.33254100155156,30,2.3567245820169607,-28.92347747139334,-19.878304182975487,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,78,6998.0,2637.0,9635.0,45.26206538661131,True,D,2012_enacted,62.51597656464245,3,64.43775999458164,2,True,complete_core_expanded,-17.25391117803114,-19.17569460797033,1,Alvin Holmes,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,9179.403934996551,2738.766305692322,11918.170240688873,54.04049027019066,2557.9815181781623,0.2146287111628228,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 78 (2014), Alabama",45829,27436,0.7737895219184359,0.1838095932351654,0.2302168208810937,7241,acs_c15002h_white_nh_bachelors_plus_direct,22704.42,27452.13,-0.1861506264433414,500.0,True,True,1,1,1,0,54.04049027019066,,0,8.308090184063582,-25.56200136209472,4.266343713753417,-21.52025489178456,6.899702085774383,-24.15361326380552,30,3.3150396592092983,-31.283837058853905,-18.76263313097399,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,33,3370.0,11961.0,15331.0,-56.03678820690105,True,R,2012_enacted,-28.038256257143377,3,-25.862159765415992,2,True,complete_core_expanded,-27.99853194975768,-30.17462844148506,1,Ron Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6193.72883349941,11750.105044682306,17943.833878181715,-30.965379243390185,702.8239019799217,0.0391679897814089,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 33 (2014), Alabama",45329,31363,0.2662092700037504,0.1102573095685999,0.1274284520576561,23935,acs_c15002h_white_nh_bachelors_plus_direct,444.21,27406.46,-3.3862648831939737,500.0,True,True,1,-1,0,1,-30.965379243390185,,0,4.756797916005024,-32.755329865762704,-3.326118109181494,-24.672413840576187,3.283900004443879,-31.28243195420156,30,2.7711976123358286,-36.881697384628055,-26.27913015507845,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,senate,30,6060.0,31390.0,37450.0,-67.63684913217624,True,R,2012_enacted,-35.08094970428336,3,-31.28134255282768,2,True,complete_core_expanded,-32.555899427892875,-36.35550657934856,0,,,,,False,False,True,open,16714.98216042552,40819.9256169582,57534.90777738372,-41.896205951698846,19233.558179347703,0.3342937170207507,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State Senate District 30 (2014), Alabama",136155,91085,0.2803789798391539,0.181939946204095,0.2054438638443598,67746,acs_c15002h_white_nh_bachelors_plus_direct,547303.1,547303.1,0.0,500.0,True,True,1,0,0,0,-41.896205951698846,,0,9.849135307235535,-42.40503473512841,3.59729381693123,-36.1531932448241,8.136616178604767,-40.69251560649764,30,2.865365850486583,-45.20269591142699,-34.55168007463391,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,10,628.0,9845.0,10473.0,-88.00725675546644,True,R,2012_enacted,-39.80111583691231,3,-39.39957656384585,2,True,complete_core_expanded,-48.20614091855413,-48.6076801916206,1,Mike Ball,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6075.911982062566,10643.466178815394,16719.37816087796,-27.318923902568027,2662.165253238819,0.1592263317225563,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 10 (2014), Alabama",48216,32753,0.301269288203086,0.4528745458431288,0.4753039190682649,23526,acs_c15002h_white_nh_bachelors_plus_direct,256283.34,13784.18,2.889080063156914,500.0,True,True,1,-1,0,1,-27.318923902568027,,0,9.266359796931733,-57.47250071548586,2.2831060178890707,-50.4892469364432,5.248773167870457,-53.45491408642458,30,4.704146208960257,-60.84588188652989,-42.90120631030321,True,False,False,False,True,2,high_absolute_war | cycle_shift_risk
2014,house,47,2642.0,7073.0,9715.0,-45.609881626351005,True,R,2012_enacted,-41.24418483856137,3,-40.01457995024652,2,True,complete_core_expanded,-4.365696787789638,-5.595301676104484,1,Jack Williams,R,wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6317.033115220484,5220.543257467994,11537.576372688478,9.503641166337829,8846.576372688478,0.7667621073027017,63.0,False,"Bullock, Butler, Hale, and Wilcox precinct results unavailable",,,,,,,,,,,,,2014,"State House District 47 (2014), Alabama",45875,31793,0.3876403269754768,0.502123108860441,0.5625290778821996,21494,acs_c15002h_white_nh_bachelors_plus_direct,0.0,430371.18,,500.0,False,True,0,-1,0,1,9.503641166337829,,0,-2.816167813615543,-1.5495289741740947,-3.765422580812956,-0.6002742069766818,-2.9421084739250496,-1.4235883138645882,30,2.9068503293089263,-6.834789920245738,4.27347530964308,False,True,True,False,True,3,high_2012_fallback | finance_incomplete | cycle_shift_risk
