state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
AL,2010,house,1,D,"burdine, greg",1.475644699140401,-11.600757455228996,13.076402154369397,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,1,R,"hanson, quinton",-1.475644699140401,11.600757455228996,-13.076402154369397,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,2,D,"curtis, mike",-9.472016134841173,-6.974766449167795,-2.4972496856733777,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,2,R,"greer, lynn 1",9.472016134841173,6.974766449167795,2.4972496856733777,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,4,D,"goodwin, vaughn",-39.71374374892223,-44.810848363159835,5.097104614237608,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,4,R,"hammon, micky",39.71374374892223,44.810848363159835,-5.097104614237608,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,-1.0
AL,2010,house,5,D,"white, henry a 3",-23.96368498838764,-13.03798548047682,-10.92569950791082,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,5,R,"williams, dan 2",23.96368498838764,13.03798548047682,10.92569950791082,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,D,"letson, john (jody)",-1.320768187334904,-1.119052567024589,-0.20171562031031498,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,7,R,"johnson, ken",1.320768187334904,1.119052567024589,0.20171562031031498,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,1.0
AL,2010,house,8,D,breland,-12.17472911867588,-11.205760225178135,-0.9689688934977454,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,8,R,"collins, terri",12.17472911867588,11.205760225178135,0.9689688934977454,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
AL,2010,house,9,D,"goodwin, kathy w",-45.29587871838971,-37.83043460822489,-7.4654441101648175,portable_temporal,leave_state_out,AL,includes_turnout_share_allocation,0.0
