chamber,dem_modeled_seats,probability,draws
house,6,0.0006,50000
house,7,0.0079,50000
house,8,0.09284,50000
house,9,0.60506,50000
house,10,0.2664,50000
house,11,0.02462,50000
house,12,0.00238,50000
house,13,0.00018,50000
house,14,2e-05,50000
senate,0,2e-05,50000
senate,1,0.00256,50000
senate,2,0.13564,50000
senate,3,0.79682,50000
senate,4,0.0649,50000
senate,5,6e-05,50000
