chamber,district,specification,predicted_dem_margin,adjustment_vs_basic_100,forecast_view,dem_win_probability,rep_win_probability,probability_family,probability_scale,probability_df
house,8,cmo_expectation__blend100,-17.787380451929852,2.0132357653037687,fundamentals_plus,0.0015155638439172173,0.9984844361560827,normal,6.0,
house,10,cmo_expectation__blend100,5.444129567532011,-3.6444207648210414,fundamentals_plus,0.8178904319563267,0.1821095680436733,normal,6.0,
house,15,cmo_expectation__blend100,-9.193151915341062,-2.049795050778528,fundamentals_plus,0.06273753279581613,0.9372624672041838,normal,6.0,
house,16,cmo_expectation__blend100,-62.67675220873654,4.623640507005367,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,19,cmo_expectation__blend100,40.019450396713054,-1.3790191411378243,fundamentals_plus,0.999999,1.0000000000287557e-06,normal,6.0,
house,20,cmo_expectation__blend100,-20.99745308502688,-5.207410029077643,fundamentals_plus,0.00023299979578034595,0.9997670002042196,normal,6.0,
house,21,cmo_expectation__blend100,-12.605072401436296,-2.1572445650439533,fundamentals_plus,0.017827269812047065,0.9821727301879529,normal,6.0,
house,25,cmo_expectation__blend100,-1.7041841591884372,-5.396822234341414,fundamentals_plus,0.3881934295423859,0.6118065704576141,normal,6.0,
house,28,cmo_expectation__blend100,-15.284104255058692,2.7802084210164395,fundamentals_plus,0.005427214285997819,0.9945727857140022,normal,6.0,
house,32,cmo_expectation__blend100,12.37782072599726,1.752439664816535,fundamentals_plus,0.98044226646869,0.019557733531309962,normal,6.0,
house,37,cmo_expectation__blend100,-35.44610078853424,1.5367140749907795,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,38,cmo_expectation__blend100,-30.481361463946374,3.985932224241571,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,40,cmo_expectation__blend100,-51.46734153864037,2.36689624218738,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,41,cmo_expectation__blend100,-36.666038628326746,1.1972395002083651,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,43,cmo_expectation__blend100,-40.44379936237031,-6.155059564104008,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,45,cmo_expectation__blend100,-36.76191013542389,-2.0007572004438536,fundamentals_plus,1e-06,0.999999,normal,6.0,
house,47,cmo_expectation__blend100,-10.049861535502608,-3.1016707277929285,fundamentals_plus,0.0469693798072474,0.9530306201927526,normal,6.0,
