family,validation,mean_brier,mean_log_loss,mean_calibration_mae
logistic,forward_cycle,0.03098122259609438,0.10274057660268497,0.02307992949360324
logistic,leave_state_out,0.03307496035640706,0.1241587707336139,0.02751630715860566
normal,forward_cycle,0.031016449810616253,0.10314847565858905,0.02978901522151425
normal,leave_state_out,0.03315795066698635,0.1286741772862984,0.040458347601859464
student_t,forward_cycle,0.031035673726101276,0.10537300654796666,0.023740927480651614
student_t,leave_state_out,0.03301068800606466,0.11808918241071045,0.025883642982256653
