stage,specification,parameter,races,mean_cycle_mae,oof_mae,oof_rmse,pairs,pearson,pearson_p,spearman,spearman_p,future_mae_using_prior,future_mae_zero,mae,zero_baseline_mae,rmse
structural,predetermined_lag,10.0,508.0,15.500810742917343,16.25285857817666,22.260356526984243,,,,,,,,,,
structural,predetermined_lag,30.0,508.0,15.488327075747485,16.242701525487558,22.25818869503582,,,,,,,,,,
structural,predetermined_lag,100.0,508.0,15.457524592883733,16.219020719868304,22.25293424764907,,,,,,,,,,
structural,lag_demographics,10.0,508.0,15.434189973168845,15.977081205108638,21.83420541209667,,,,,,,,,,
structural,lag_demographics,30.0,508.0,15.37160008196771,15.933361653654998,21.807063751289064,,,,,,,,,,
structural,lag_demographics,100.0,508.0,15.248821326396051,15.851219313438854,21.76543080460027,,,,,,,,,,
construct,direct_cmo,,,,,,139.0,0.6083051673246881,1.9799971658454403e-15,0.6180258277849769,5.26858968788501e-16,21.60233557520443,24.611883864428933,,,
construct,cycle_centered,,,,,,139.0,0.45522067238170616,1.7991597029069625e-08,0.35992671701148393,1.3495222821903077e-05,17.212351972917926,15.230759933870385,,,
construct,structural_residual_predetermined_lag_alpha_10,,,,,,137.0,0.4367830101098142,9.498866130246269e-08,0.33063266563369237,7.944595894538743e-05,16.851846585141992,14.822040632898831,,,
construct,structural_residual_predetermined_lag_alpha_30,,,,,,137.0,0.43733472047745425,9.113487593680167e-08,0.3315567420240073,7.565552236662476e-05,16.850811336820765,14.82184058580041,,,
construct,structural_residual_predetermined_lag_alpha_100,,,,,,137.0,0.43894945646583666,8.069681375397433e-08,0.3326768346183284,7.128778565246992e-05,16.84783625763388,14.821551520431399,,,
construct,structural_residual_lag_demographics_alpha_10,,,,,,137.0,0.40986873364275944,6.567747241612743e-07,0.32457949857188195,0.00010901424492930725,17.111086183475933,14.504024558468846,,,
construct,structural_residual_lag_demographics_alpha_30,,,,,,137.0,0.41157886590968434,5.837199739421459e-07,0.3238654395430022,0.0001131107087340931,17.072414596029606,14.495132184069593,,,
construct,structural_residual_lag_demographics_alpha_100,,,,,,137.0,0.4161678911707529,4.240044545068123e-07,0.32090652827300387,0.00013166393539276988,17.00451882144289,14.479062989851018,,,
quality,all,1.0,437.0,,,,,0.26075505516538044,3.178109130654985e-08,,,,,15.5118549951062,16.0385804702437,21.219074309668073
quality,seen_candidate,1.0,129.0,,,,,0.5249074974452236,1.706198949736582e-10,,,,,13.140492930625339,14.924826516943842,17.404206801963678
quality,all,3.0,437.0,,,,,0.2549714421924094,6.503509155804972e-08,,,,,15.593667776503437,16.0385804702437,21.36345636276417
quality,seen_candidate,3.0,129.0,,,,,0.5122902628186157,5.44187552543244e-10,,,,,13.417641655203578,14.924826516943842,17.99260623525915
quality,all,10.0,437.0,,,,,0.24761449881932043,1.5771648704616983e-07,,,,,15.770457531535447,16.0385804702437,21.65237647835436
quality,seen_candidate,10.0,129.0,,,,,0.4967910055029086,2.123393633743318e-09,,,,,14.016534081164734,14.924826516943842,19.12682424294112
quality,all,30.0,437.0,,,,,0.2435255891320995,2.5498087884817504e-07,,,,,15.912488774744448,16.0385804702437,21.841459289658243
quality,seen_candidate,30.0,129.0,,,,,0.48821889044994876,4.381180979543989e-09,,,,,14.497678680252582,14.924826516943842,19.8417435782485
quality,all,100.0,437.0,,,,,0.241675697640553,3.1599831963245945e-07,,,,,15.993333886918858,16.0385804702437,21.932271892592503
quality,seen_candidate,100.0,129.0,,,,,0.48433577503107283,6.043097174804238e-09,,,,,14.771549331572102,14.924826516943842,20.178235436540714
