model,mean_mae,mean_rmse,delta_vs_baseline,latest_delta,worst_delta,cycles_improved,guardrail_pass,selected
baseline,4.751298274792252,6.279726205083154,0.0,0.0,0.0,0,False,True
demographics_incumbency,5.5906278665100535,7.349023557971539,0.8393295917178012,0.3493579981284789,2.2768552420414485,1,False,False
demographics_incumbency_prior_quality,5.629559686363706,7.4575154260524235,0.8782614115714535,0.2596978052410197,2.483310894489864,1,False,False
demographics,6.030773467628567,7.907871140269809,1.2794751928363144,0.48333748980557,3.119026379651146,0,False,False
