cycle,chamber,district,canonical_party,canonical_votes,canonical_name,canonical_source,person_id,canonical_candidate_id,incumbent,winner,normalized_candidate_name,identity_collision_split,candidate_effect_id,identity_status,headline_cmo,state_ticket_cmo,federal_ticket_cmo,presidential_ticket_cmo,headline_cmo_low,headline_cmo_high,baseline_source_v3,baseline_reliability,contest_tier,candidate_headline_cmo,candidate_state_ticket_cmo,candidate_federal_ticket_cmo,candidate_presidential_ticket_cmo,candidate_headline_cmo_low,candidate_headline_cmo_high,career_cmo_mean,appearances,career_reliability,career_cmo_partial_pooled
1994,house,1,D,7385.0,Starkey,alabama_sos,ALPERSON-STARKEY,AL-1994-house-1-D-STARKEY,0,1,STARKEY,False,UNRESOLVED-AL-1994-house-1-D-STARKEY,surname_only_unresolved_race_specific,30.474125379332747,30.474125379332747,39.96750859467612,19.755939711793566,10.654668671347412,50.293582087318086,state_ticket_vote_weighted,1.0,meaningful,30.474125379332747,30.474125379332747,39.96750859467612,19.755939711793566,10.654668671347412,50.293582087318086,30.474125379332747,1,0.3333333333333333,10.158041793110915
1994,house,1,R,4946.0,Phillips,alabama_sos,ALPERSON-PHILLIPS,AL-1994-house-1-R-PHILLIPS,0,0,PHILLIPS,False,UNRESOLVED-AL-1994-house-1-R-PHILLIPS,surname_only_unresolved_race_specific,30.474125379332747,30.474125379332747,39.96750859467612,19.755939711793566,10.654668671347412,50.293582087318086,state_ticket_vote_weighted,1.0,meaningful,-30.474125379332747,-30.474125379332747,-39.96750859467612,-19.755939711793566,-50.293582087318086,-10.654668671347412,-30.474125379332747,1,0.3333333333333333,-10.158041793110915
1994,house,3,D,7723.0,Black,alabama_sos,ALPERSON-BLACK,AL-1994-house-3-D-BLACK,0,1,BLACK,True,UNRESOLVED-AL-1994-house-3-D-BLACK,surname_only_unresolved_race_specific,21.791263058258828,21.791263058258828,20.701936041195637,14.473939098707763,14.053282962193723,29.529243154323932,state_ticket_vote_weighted,1.0,meaningful,21.791263058258828,21.791263058258828,20.701936041195637,14.473939098707763,14.053282962193723,29.529243154323932,21.791263058258828,1,0.3333333333333333,7.263754352752942
1994,house,3,R,3821.0,Smallwood,alabama_sos,ALPERSON-SMALLWOOD,AL-1994-house-3-R-SMALLWOOD,0,0,SMALLWOOD,False,UNRESOLVED-AL-1994-house-3-R-SMALLWOOD,surname_only_unresolved_race_specific,21.791263058258828,21.791263058258828,20.701936041195637,14.473939098707763,14.053282962193723,29.529243154323932,state_ticket_vote_weighted,1.0,meaningful,-21.791263058258828,-21.791263058258828,-20.701936041195637,-14.473939098707763,-29.529243154323932,-14.053282962193723,-21.791263058258828,1,0.3333333333333333,-7.263754352752942
1994,house,4,D,5012.0,Smith,alabama_sos,ALPERSON-SMITH,AL-1994-house-4-D-SMITH,0,0,SMITH,True,UNRESOLVED-AL-1994-house-4-D-SMITH,surname_only_unresolved_race_specific,-1.3256463547890114,-1.3256463547890114,-16.37785463820417,-13.871644835610994,-17.132778815212696,14.481486105634671,state_ticket_vote_weighted,1.0,meaningful,-1.3256463547890114,-1.3256463547890114,-16.37785463820417,-13.871644835610994,-17.132778815212696,14.481486105634671,-1.3256463547890114,1,0.3333333333333333,-0.4418821182630038
1994,house,4,R,9236.0,Papucci,alabama_sos,ALPERSON-PAPUCCI,AL-1994-house-4-R-PAPUCCI,0,1,PAPUCCI,False,UNRESOLVED-AL-1994-house-4-R-PAPUCCI,surname_only_unresolved_race_specific,-1.3256463547890114,-1.3256463547890114,-16.37785463820417,-13.871644835610994,-17.132778815212696,14.481486105634671,state_ticket_vote_weighted,1.0,meaningful,1.3256463547890114,1.3256463547890114,16.37785463820417,13.871644835610994,-14.481486105634671,17.132778815212696,1.3256463547890114,1,0.3333333333333333,0.4418821182630038
1994,house,6,D,6409.0,Schmitz,alabama_sos,ALPERSON-SCHMITZ,AL-1994-house-6-D-SCHMITZ,0,0,SCHMITZ,False,UNRESOLVED-AL-1994-house-6-D-SCHMITZ,surname_only_unresolved_race_specific,21.709223814421527,21.709223814421527,7.757056296230493,20.316080604225892,6.647100580413515,36.77134704842954,state_ticket_vote_weighted,1.0,meaningful,21.709223814421527,21.709223814421527,7.757056296230493,20.316080604225892,6.647100580413515,36.77134704842954,21.709223814421527,1,0.3333333333333333,7.236407938140509
1994,house,6,R,6770.0,Jorgensen,alabama_sos,ALPERSON-JORGENSEN,AL-1994-house-6-R-JORGENSEN,0,1,JORGENSEN,False,UNRESOLVED-AL-1994-house-6-R-JORGENSEN,surname_only_unresolved_race_specific,21.709223814421527,21.709223814421527,7.757056296230493,20.316080604225892,6.647100580413515,36.77134704842954,state_ticket_vote_weighted,1.0,meaningful,-21.709223814421527,-21.709223814421527,-7.757056296230493,-20.316080604225892,-36.77134704842954,-6.647100580413515,-21.709223814421527,1,0.3333333333333333,-7.236407938140509
1994,house,7,D,6188.0,Letson,alabama_sos,ALPERSON-LETSON,AL-1994-house-7-D-LETSON,0,1,LETSON,False,UNRESOLVED-AL-1994-house-7-D-LETSON,surname_only_unresolved_race_specific,-2.9254723025280347,-2.9254723025280347,-46.72712276059982,-11.170017250825545,-48.54805887374194,42.697114268685866,state_ticket_vote_weighted,1.0,meaningful,-2.9254723025280347,-2.9254723025280347,-46.72712276059982,-11.170017250825545,-48.54805887374194,42.697114268685866,-2.9254723025280347,1,0.3333333333333333,-0.9751574341760115
1994,house,7,R,5641.0,Randolph,alabama_sos,ALPERSON-RANDOLPH,AL-1994-house-7-R-RANDOLPH,0,0,RANDOLPH,False,UNRESOLVED-AL-1994-house-7-R-RANDOLPH,surname_only_unresolved_race_specific,-2.9254723025280347,-2.9254723025280347,-46.72712276059982,-11.170017250825545,-48.54805887374194,42.697114268685866,state_ticket_vote_weighted,1.0,meaningful,2.9254723025280347,2.9254723025280347,46.72712276059982,11.170017250825545,-42.697114268685866,48.54805887374194,2.9254723025280347,1,0.3333333333333333,0.9751574341760115
