specification,train_cycle,test_cycle,train_races,test_races,mae,rmse,mean_error,winner_accuracy,brier,mae_improvement_vs_generic_ballot
generic_ballot_baseline,post2016_before_2022,2022,2037,33,7.073410990280289,9.26565407336953,0.13836807318722752,0.9696969696969697,0.023872973678427348,0.0
generic_war_structural,post2016_before_2022,2022,2037,33,9.558900865178801,11.242093192945239,-1.1901489738792,0.9393939393939394,0.04052841418378221,-2.485489874898512
