expected_dem_margin,dem_win_probability,rep_win_probability
-50.0,1e-06,0.999999
-49.75,1e-06,0.999999
-49.5,1e-06,0.999999
-49.25,1e-06,0.999999
-49.0,1e-06,0.999999
-48.75,1e-06,0.999999
-48.5,1e-06,0.999999
-48.25,1e-06,0.999999
-48.0,1e-06,0.999999
-47.75,1e-06,0.999999
-47.5,1e-06,0.999999
-47.25,1e-06,0.999999
-47.0,1e-06,0.999999
-46.75,1e-06,0.999999
-46.5,1e-06,0.999999
-46.25,1e-06,0.999999
-46.0,1e-06,0.999999
-45.75,1e-06,0.999999
-45.5,1e-06,0.999999
-45.25,1e-06,0.999999
-45.0,1e-06,0.999999
-44.75,1e-06,0.999999
-44.5,1e-06,0.999999
-44.25,1e-06,0.999999
-44.0,1e-06,0.999999
-43.75,1e-06,0.999999
-43.5,1e-06,0.999999
-43.25,1e-06,0.999999
-43.0,1e-06,0.999999
-42.75,1e-06,0.999999
-42.5,1e-06,0.999999
-42.25,1e-06,0.999999
-42.0,1e-06,0.999999
-41.75,1e-06,0.999999
-41.5,1e-06,0.999999
-41.25,1e-06,0.999999
-41.0,1e-06,0.999999
-40.75,1e-06,0.999999
-40.5,1e-06,0.999999
-40.25,1e-06,0.999999
-40.0,1e-06,0.999999
-39.75,1e-06,0.999999
-39.5,1e-06,0.999999
-39.25,1e-06,0.999999
-39.0,1e-06,0.999999
-38.75,1e-06,0.999999
-38.5,1e-06,0.999999
-38.25,1e-06,0.999999
-38.0,1e-06,0.999999
-37.75,1e-06,0.999999
-37.5,1e-06,0.999999
-37.25,1e-06,0.999999
-37.0,1e-06,0.999999
-36.75,1e-06,0.999999
-36.5,1e-06,0.999999
-36.25,1e-06,0.999999
-36.0,1e-06,0.999999
-35.75,1e-06,0.999999
-35.5,1e-06,0.999999
-35.25,1e-06,0.999999
-35.0,1e-06,0.999999
-34.75,1e-06,0.999999
-34.5,1e-06,0.999999
-34.25,1e-06,0.999999
-34.0,1e-06,0.999999
-33.75,1e-06,0.999999
-33.5,1e-06,0.999999
-33.25,1e-06,0.999999
-33.0,1e-06,0.999999
-32.75,1e-06,0.999999
-32.5,1e-06,0.999999
-32.25,1e-06,0.999999
-32.0,1e-06,0.999999
-31.75,1e-06,0.999999
-31.5,1e-06,0.999999
-31.25,1e-06,0.999999
-31.0,1e-06,0.999999
-30.75,1e-06,0.999999
-30.5,1e-06,0.999999
-30.25,1e-06,0.999999
-30.0,1e-06,0.999999
-29.75,1e-06,0.999999
-29.5,1e-06,0.999999
-29.25,1e-06,0.999999
-29.0,1e-06,0.999999
-28.75,1e-06,0.999999
-28.5,1.0170832425687032e-06,0.9999989829167575
-28.25,1.2487522544491924e-06,0.9999987512477455
-28.0,1.530626736531063e-06,0.9999984693732634
-27.75,1.8729920055567056e-06,0.9999981270079944
-27.5,2.2881082869581217e-06,0.999997711891713
-27.25,2.7905618825791427e-06,0.9999972094381174
-27.0,3.397673124730054e-06,0.9999966023268753
-26.75,4.129969217481764e-06,0.9999958700307825
-26.5,5.0117310256713134e-06,0.9999949882689744
-26.25,6.071623911330599e-06,0.9999939283760887
-26.0,7.343423836894691e-06,0.9999926565761631
-25.75,8.866851154095982e-06,0.9999911331488459
-25.5,1.0688525774934402e-05,0.9999893114742251
-25.25,1.2863058772829856e-05,0.9999871369412272
-25.0,1.5454296882295967e-05,0.9999845457031177
-24.75,1.8536737846201994e-05,0.9999814632621538
-24.5,2.219713609028335e-05,0.9999778028639097
-24.25,2.653631977147731e-05,0.9999734636802285
-24.0,3.167124183311986e-05,0.9999683287581669
-23.75,3.7737289285755176e-05,0.9999622627107142
-23.5,4.489087649316913e-05,0.9999551091235068
-23.25,5.3312349751096256e-05,0.9999466876502489
-23.0,6.320923186840251e-05,0.9999367907681316
-22.75,7.481983676049958e-05,0.9999251801632395
-22.5,8.841728520080377e-05,0.9999115827147992
-22.25,0.00010431395380211126,0.9998956860461979
-22.0,0.00012286638996515217,0.9998771336100348
-21.75,0.00014448072588123552,0.9998555192741188
-21.5,0.00016961862465061854,0.9998303813753494
-21.25,0.00019880379111501993,0.999801196208885
-21.0,0.00023262907903552502,0.9997673709209645
-20.75,0.00027176422470728503,0.9997282357752927
-20.5,0.00031696423491976906,0.9996830357650802
-20.25,0.0003690784542750669,0.999630921545725
-20.0,0.0004290603331968372,0.9995709396668032
-19.75,0.0004979779134308807,0.9995020220865691
-19.5,0.0005770250423907659,0.9994229749576092
-19.25,0.000667533321279556,0.9993324666787204
-19.0,0.0007709847844699759,0.99922901521553
-18.75,0.0008890252991084321,0.9991109747008916
-18.5,0.0010234786642925806,0.9989765213357075
-18.25,0.0011763613784413574,0.9988236386215587
-18.0,0.001349898031630093,0.9986501019683699
-17.75,0.0015465372667201546,0.9984534627332798
-17.5,0.0017689682391110525,0.9982310317608889
-17.25,0.0020201374899460017,0.997979862510054
-17.0,0.0023032661316958825,0.9976967338683042
-16.75,0.0026218672283457806,0.9973781327716542
-16.5,0.0029797632350545547,0.9970202367649454
-16.25,0.003381103344322903,0.996618896655677
-16.0,0.0038303805675897365,0.9961696194324102
-15.75,0.004332448363012557,0.9956675516369874
-15.5,0.004892536602234979,0.995107463397765
-15.25,0.005516266651492899,0.9944837333485071
-15.0,0.006209665325776132,0.9937903346742238
-14.75,0.006979177459283755,0.9930208225407162
-14.5,0.007831676821448795,0.9921683231785512
-14.25,0.00877447509573836,0.9912255249042616
-14.0,0.009815328628645334,0.9901846713713547
-13.75,0.010962442649170888,0.9890375573508291
-13.5,0.012224472655044696,0.9877755273449553
-13.25,0.013610522661325635,0.9863894773386743
-13.0,0.015130140010235814,0.9848698599897642
-12.75,0.016793306448448803,0.9832066935515512
-12.5,0.018610425189886332,0.9813895748101137
-12.25,0.020592303698643854,0.9794076963013562
-12.0,0.0227501319481792,0.9772498680518208
-11.75,0.02509545593951502,0.974904544060485
-11.5,0.027640146293010384,0.9723598537069896
-11.25,0.030396361765261375,0.9696036382347386
-11.0,0.03337650758481726,0.9666234924151828
-10.75,0.03659318854748909,0.963406811452511
-10.5,0.040059156863817086,0.9599408431361829
-10.25,0.04378725480739974,0.9562127451926002
-10.0,0.0477903522728147,0.9522096477271853
-9.75,0.05208127941521953,0.9479187205847804
-9.5,0.056672754609762926,0.943327245390237
-9.25,0.06157730803690938,0.9384226919630906
-9.0,0.06680720126885806,0.9331927987311419
-8.75,0.07237434330149779,0.9276256566985022
-8.5,0.07829020354481737,0.9217097964551826
-8.25,0.08456572235133569,0.9154342776486644
-8.0,0.09121121972586788,0.9087887802741321
-7.75,0.09823630291969482,0.9017636970803051
-7.5,0.10564977366685535,0.8943502263331446
-7.25,0.11345953586873964,0.8865404641312604
-7.0,0.12167250457438122,0.8783274954256188
-6.75,0.13029451713680879,0.8697054828631912
-6.5,0.13933024744962208,0.8606697525503779
-6.25,0.148783124181752,0.851216875818248
-6.0,0.15865525393145707,0.8413447460685429
-5.75,0.1689473502124051,0.831052649787595
-5.5,0.17965866916478535,0.8203413308352147
-5.25,0.19078695285251068,0.8092130471474893
-5.0,0.20232838096364308,0.7976716190363569
-4.75,0.2142775316753095,0.7857224683246905
-4.5,0.2266273523768682,0.7733726476231317
-4.25,0.23936914086644995,0.76063085913355
-4.0,0.2524925375469229,0.7475074624530771
-3.75,0.26598552904870054,0.7340144709512995
-3.5,0.27983446359970576,0.7201655364002942
-3.25,0.29402407834845057,0.7059759216515494
-3.0,0.3085375387259869,0.6914624612740131
-2.75,0.32335648980795006,0.6766435101920499
-2.5,0.33846111951068963,0.6615388804893103
-2.25,0.3538302333272762,0.6461697666727237
-2.0,0.36944134018176367,0.6305586598182363
-1.75,0.3852707488552771,0.6147292511447229
-1.5,0.4012936743170763,0.5987063256829237
-1.25,0.4174843531794775,0.5825156468205225
-1.0,0.43381616738909634,0.5661838326109037
-0.75,0.4502617751698871,0.5497382248301129
-0.5,0.4667932481473777,0.5332067518526222
-0.25,0.4833822135096366,0.5166177864903634
0.0,0.5,0.5
0.25,0.5166177864903634,0.4833822135096366
0.5,0.5332067518526223,0.46679324814737766
0.75,0.5497382248301129,0.4502617751698871
1.0,0.5661838326109037,0.43381616738909634
1.25,0.5825156468205225,0.4174843531794775
1.5,0.5987063256829237,0.4012936743170763
1.75,0.6147292511447229,0.3852707488552771
2.0,0.6305586598182363,0.36944134018176367
2.25,0.6461697666727237,0.35383023332727626
2.5,0.6615388804893103,0.3384611195106897
2.75,0.6766435101920499,0.32335648980795006
3.0,0.6914624612740131,0.3085375387259869
3.25,0.7059759216515494,0.29402407834845057
3.5,0.7201655364002942,0.27983446359970576
3.75,0.7340144709512995,0.26598552904870054
4.0,0.7475074624530771,0.2524925375469229
4.25,0.76063085913355,0.23936914086645
4.5,0.7733726476231317,0.22662735237686826
4.75,0.7857224683246905,0.2142775316753095
5.0,0.7976716190363569,0.20232838096364314
5.25,0.8092130471474893,0.19078695285251068
5.5,0.8203413308352147,0.17965866916478535
5.75,0.831052649787595,0.16894735021240503
6.0,0.8413447460685429,0.15865525393145707
6.25,0.851216875818248,0.148783124181752
6.5,0.8606697525503779,0.13933024744962208
6.75,0.8697054828631912,0.13029451713680884
7.0,0.8783274954256188,0.12167250457438117
7.25,0.8865404641312604,0.11345953586873958
7.5,0.8943502263331446,0.10564977366685535
7.75,0.9017636970803051,0.09823630291969487
8.0,0.9087887802741321,0.09121121972586788
8.25,0.9154342776486644,0.08456572235133564
8.5,0.9217097964551826,0.07829020354481742
8.75,0.9276256566985022,0.07237434330149783
9.0,0.9331927987311419,0.06680720126885809
9.25,0.9384226919630906,0.06157730803690942
9.5,0.943327245390237,0.056672754609762954
9.75,0.9479187205847804,0.05208127941521956
10.0,0.9522096477271853,0.047790352272814696
10.25,0.9562127451926002,0.043787254807399756
10.5,0.9599408431361829,0.040059156863817114
10.75,0.963406811452511,0.03659318854748905
11.0,0.9666234924151828,0.03337650758481725
11.25,0.9696036382347386,0.030396361765261393
11.5,0.9723598537069896,0.02764014629301037
11.75,0.974904544060485,0.02509545593951501
12.0,0.9772498680518208,0.02275013194817921
12.25,0.9794076963013562,0.020592303698643843
12.5,0.9813895748101137,0.018610425189886315
12.75,0.9832066935515512,0.016793306448448786
13.0,0.9848698599897642,0.015130140010235826
13.25,0.9863894773386743,0.013610522661325675
13.5,0.9877755273449553,0.012224472655044671
13.75,0.9890375573508291,0.0109624426491709
14.0,0.9901846713713547,0.009815328628645315
14.25,0.9912255249042616,0.008774475095738365
14.5,0.9921683231785512,0.007831676821448808
14.75,0.9930208225407162,0.006979177459283781
15.0,0.9937903346742238,0.006209665325776159
15.25,0.9944837333485071,0.0055162666514928516
