record_type,name,sha256
input,canonical_cmo_features.csv,9e214f35ef06b71fc0b5508f251a495da52f56589529f8941ff346c41c14ba25
input,canonical_cmo_candidates.csv,2249ee245aa84a35e293399af36f8824cd73c922051b08eed4a973613e85fac4
input,canonical_cmo_district_office_baselines.csv,752e23782a02e282f0490eaf8955563df31c525c5e8940206c8ddf951c65021d
input,historical_federal_district_baselines.csv,06b4d0d943762144540daa69e66c47969b11b2fa2d35c9fc83297bb4c452584c
input,cmo_v2_races.csv,623c830d2a87feeff6bde6cbcd0facf41a552c32fd78d47635683c836be15097
code,scripts/rebuild_cmo_direct_estimand.py,5f2654597cbf210cb6b2c8bcd3a1adb4cc1bb0ef4a152b9f4434403b1946a9e4
config,headline_estimand,direct_source_aware_ticket_residual
config,modern_federal_weight,0.30
output,cmo_v3_races.csv,ac7ce9033d822af66ee9e68ff40958105c4170f88a58ab99ead8dd9ef76a9396
output,cmo_v3_candidates.csv,6123d19f0180bfc601e0f8188092a31c5a9d2b41512f3d91c44c3e61194fcce1
output,cmo_v3_baseline_tournament.csv,a27fa928556f68b8bcf4ccef33a2a4d04b0136e6a7c6c72f3dad2647807a4155
output,cmo_v3_context_pathology_audit.csv,065ae1718b66bc48f9201c2f271300f9fd8817586f62e703e63099a092ec5108
run,build_run_id,4e85b0e818ed790eb527a108598dbcffaf5ff2572eea3eb1b528da2199e37410
