cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,contest_status,dem_incumbent,rep_incumbent,core_index_margin,core_index_offices,baseline_fallback_share,baseline_allocation_method,core_index_complete,statewide_index_margin,raw_overperformance,historical_extension,model_tier,model_eligible,nonwhite_share,white_college_share,demographic_reference_year,demographic_age_years,demographics_method,log_spending_ratio_d_to_r,finance_complete,log_fundraising_ratio_d_to_r,ftm_finance_complete,pres_2008_dem_votes,pres_2008_rep_votes,pres_2008_two_party_votes,pres_2008_dem_margin,pres_2008_fallback_share,pres_2008_source_complete,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,college_share,demographics_method_historical,pres_1992_dem_margin,pres_1992_fallback_share,pres_1992_source_complete,college_share_extended,incumbency_complete,log_resource_ratio_d_to_r,prior_presidential_year,prior_pres_dem_margin,prior_pres_fallback_share,prior_pres_source_complete,readiness_status,state_dem_votes,state_rep_votes,statewide_offices,office_fallback_share,state_ticket_margin_weighted,federal_index_margin,federal_contested_coverage,federal_components,prior_pres_dem_margin_v2,federal_available_v2,federal_weight_v2,baseline_state_margin_v2,baseline_ensemble_margin,baseline_source_v2,state_federal_gap,raw_ticket_overperformance,dem_prior_overperformance,dem_prior_winner,rep_prior_overperformance,rep_prior_winner,chamber_house,prior_pres_available_v2,demographics_available_v2,dem_incumbent_i,rep_incumbent_i,open_seat_i,ftm_finance_complete_i,finance_complete_i,losing_party_vote_share,contest_tier,headline_fit_eligible,expected_margin_context,expected_margin_context_huber,expected_margin_context_logit,expected_margin_predictive,expected_margin_nested_forward,context_cmo,within_cycle_cmo,predictive_residual,context_cmo_huber,context_cmo_logit,specification_sd,cmo_uncertainty_radius,context_cmo_low,context_cmo_high
1994,house,1,7385.0,4946.0,12331.0,19.779417727678208,True,contested_two_party,False,False,-10.834593825712002,2,0.0,legislative_activity_provisional,True,-10.834593825712002,30.61401155339021,True,sensitivity_1994,True,0.184473259507423,0.2102270558024268,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1950022915149304,1990_sf3_tract_area_interpolation_provisional,0.0234780158846421,0.780555830981541,True,,,,,,,,,18455.472751808273,22875.72334308967,2,0.0,-10.69470765165454,-20.18809086699791,1.0,1.0,0.0234780158846421,1,0.0,-10.69470765165454,-10.69470765165454,state_ticket_vote_weighted,-9.493383215343371,30.474125379332747,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.40110291136160897,meaningful,True,0.10644365096243469,0.8965830426025949,0.29259764136166666,-8.86177495493709,-10.69470765165454,19.672974076715775,22.634740673151875,28.641192682615298,18.882834685075615,19.48682008631654,5.573505322461004,10.924070432023568,8.748903644692207,30.597044508739344
1994,house,3,7723.0,3821.0,11544.0,33.8011088011088,True,contested_two_party,False,False,11.9938709758761,2,0.0,legislative_activity_provisional,True,11.9938709758761,21.807237825232704,True,sensitivity_1994,True,0.2004661393016312,0.1403785701537749,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1307948778752715,1990_sf3_tract_area_interpolation_provisional,19.32716970240104,0.2732876374574683,True,,,,,,,,,13004.294442244223,10215.618693069307,2,0.0,12.009845742849976,13.099172759913168,1.0,1.0,19.32716970240104,1,0.0,12.009845742849976,12.009845742849976,state_ticket_vote_weighted,1.0893270170631926,21.791263058258828,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.330994455994456,meaningful,True,28.261611693076894,30.390407474051926,28.163930630602408,13.681579526849085,12.009845742849976,5.5394971080319095,8.50126370446801,20.11952927425972,3.410701327056877,5.637178170506395,8.526517053764646,16.711973425378705,-11.172476317346796,22.251470533410615
1994,house,4,5012.0,9236.0,14248.0,-29.646266142616508,True,contested_two_party,False,False,-28.359739287255685,2,0.0,legislative_activity_provisional,True,-28.359739287255685,-1.2865268553608225,True,sensitivity_1994,True,0.1320992624834559,0.2958540377176548,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2780032203978591,1990_sf3_tract_area_interpolation_provisional,-15.774621307005514,0.6013639631772824,True,,,,,,,,,10498.154650995317,18793.824771596097,2,0.0,-28.320619787827496,-13.268411504412336,1.0,1.0,-15.774621307005514,1,0.0,-28.320619787827496,-28.320619787827496,state_ticket_vote_weighted,15.05220828341516,-1.3256463547890114,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.35176866928691747,meaningful,True,-18.457917944603857,-17.77956556285818,-18.923720508509163,-23.057957875283428,-28.320619787827496,-11.188348198012651,-8.22658160157655,-6.58830826733308,-11.866700579758326,-10.722545634107345,4.988943211490638,9.778328694521651,-20.966676892534302,-1.4100195034910001
1994,house,6,6409.0,6770.0,13179.0,-2.73920631307383,True,contested_two_party,False,False,-24.48941040537565,2,0.0,legislative_activity_provisional,True,-24.48941040537565,21.750204092301825,True,sensitivity_1994,True,0.1877725393293048,0.312181783404524,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3083142437032766,1990_sf3_tract_area_interpolation_provisional,-23.05528691729972,0.3739742086752637,True,,,,,,,,,10204.118462908047,16808.20829649028,2,0.0,-24.448430127495357,-10.496262609304322,1.0,1.0,-23.05528691729972,1,0.0,-24.448430127495357,-24.448430127495357,state_ticket_vote_weighted,13.952167518191034,21.709223814421527,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.48630396843463086,meaningful,True,-16.09870575487988,-16.19437769254474,-16.29948476652092,-18.841579460572007,-24.448430127495357,13.35949944180605,16.32126603824215,16.102373147498177,13.455171379470912,13.56027845344709,4.126268512246485,8.087486284003111,5.27201315780294,21.446985725809164
1994,house,7,6188.0,5641.0,11829.0,4.624228590751543,True,contested_two_party,False,False,7.499153168575934,2,0.0,legislative_activity_provisional,True,7.499153168575934,-2.874924577824391,True,sensitivity_1994,True,0.1762094449035579,0.0658173304771097,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0662185430995035,1990_sf3_tract_area_interpolation_provisional,15.794245841577087,0.4058138392073735,True,,,,,,,,,12847.495049504952,11043.775577557755,2,0.0,7.549700893279578,51.35135135135136,0.1387591069770931,1.0,15.794245841577087,0,0.0,7.549700893279578,7.549700893279578,state_ticket_vote_weighted,0.0,-2.9254723025280347,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.4768788570462423,meaningful,True,34.627968064377534,36.91024877761919,34.76355260980836,16.01969775824993,7.549700893279578,-30.00373947362599,-27.04197287718989,-11.395469167498387,-32.286020186867646,-30.139324019056815,13.981247986639895,27.403246053814193,-57.406985527440185,-2.600493419811798
1994,house,8,8391.0,2602.0,10993.0,52.66078413535887,True,contested_two_party,False,False,-23.45072452452538,2,0.0,legislative_activity_provisional,True,-23.45072452452538,76.11150865988425,True,sensitivity_1994,True,0.1806253194264251,0.1657186974971238,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1517954500875523,1990_sf3_tract_area_interpolation_provisional,-16.541311801791835,1.0000000000000002,True,,,,,,,,,8951.813406536665,14433.006074255947,2,0.0,-23.439106178353526,-5.491965982866193,1.0,1.0,-16.541311801791835,1,0.0,-23.439106178353526,-23.439106178353526,state_ticket_vote_weighted,17.947140195487332,76.0998903137124,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.2366960793232057,meaningful,True,-6.886466320533888,-6.481961081623368,-6.601263739671396,-16.096567853704247,-23.439106178353526,59.54725045589275,62.50901705232885,68.75735198906311,59.142745216982235,59.26204787503026,8.392987113302679,16.450254742073252,43.096995713819496,75.997505197966
1994,house,12,7159.0,6564.0,13723.0,4.335786635575311,True,contested_two_party,False,False,-12.6491004727303,2,0.0,legislative_activity_provisional,True,-12.6491004727303,16.98488710830561,True,sensitivity_1994,True,0.0173608084819821,0.0791158540824709,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786753080464049,1990_sf3_tract_area_interpolation_provisional,-15.310655898706926,0.6314053575738074,True,,,,,,,,,11861.442788797842,15308.458216203038,2,0.0,-12.686889903539722,,,,-15.310655898706926,0,0.0,-12.686889903539722,-12.686889903539722,state_ticket_vote_weighted,0.0,17.022676539115032,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.47832106682212344,meaningful,True,13.875184089961373,15.08862601028752,14.94887665041773,-0.3711875469046415,-12.686889903539722,-9.539397454386062,-6.577630857949961,4.706974182479953,-10.75283937471221,-10.61309001484242,13.672976507916077,26.79903395551551,-36.338431409901574,17.25963650112945
1994,house,15,4363.0,10300.0,14663.0,-40.48966787151333,True,contested_two_party,False,False,-42.72065515490464,2,0.0,legislative_activity_provisional,True,-42.72065515490464,2.2309872833913005,True,sensitivity_1994,True,0.0872444375637471,0.1968951334726563,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1909302649361781,1990_sf3_tract_area_interpolation_provisional,-18.043910357655257,0.6070087473288176,True,,,,,,,,,8565.985493900658,21340.257355837675,2,0.0,-42.714398883605625,-58.175997366622376,1.0000000000000002,1.0,-18.043910357655257,1,0.0,-42.714398883605625,-42.714398883605625,state_ticket_vote_weighted,-15.46159848301675,2.224731012092292,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.2975516606424333,meaningful,True,-31.965166703973566,-31.911504296165724,-33.53724110555791,-38.98578253718812,-42.714398883605625,-8.524501167539768,-5.562734571103666,-1.5038853343252114,-8.57816357534761,-6.952426765955423,5.1767594960047045,10.146448612169221,-18.67094977970899,1.6219474446294537
1994,house,17,8535.0,5183.0,13718.0,24.43504884093891,True,contested_two_party,False,False,6.516887913170951,2,0.0,legislative_activity_provisional,True,6.516887913170951,17.91816092776796,True,sensitivity_1994,True,0.0279939132868289,0.0593673790027331,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0594004084432883,1990_sf3_tract_area_interpolation_provisional,-5.164061471836247,0.9475331963647688,True,,,,,,,,,14658.821782178218,12836.920792079207,2,0.0,6.626120335461465,,,,-5.164061471836247,0,0.0,6.626120335461465,6.626120335461465,state_ticket_vote_weighted,0.0,17.808928505477446,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.37782475579530544,meaningful,True,34.38846450369331,36.16941333288096,34.29272562837542,18.01410123092809,6.626120335461465,-9.953415662754395,-6.991649066318294,6.4209476100108205,-11.734364491942046,-9.85767678743651,14.1883105192423,27.80908861771491,-37.7625042804693,17.855672954960514
1994,house,19,7314.0,1030.0,8344.0,75.31160115052732,True,contested_two_party,False,False,49.71640690257392,2,0.0,legislative_activity_provisional,True,49.71640690257392,25.59519424795341,True,sensitivity_1994,True,0.5822432722233701,0.2491430513328904,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230979885100513,1990_sf3_tract_area_interpolation_provisional,23.6438976760469,0.3739742086752637,True,,,,,,,,,13346.883602140202,4478.992083996347,2,0.0,49.747298109122056,54.55746800811351,1.0000000000000002,1.0,23.6438976760469,1,0.0,49.747298109122056,49.747298109122056,state_ticket_vote_weighted,4.810169898991454,25.564303041405267,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0,0.12344199424736338,meaningful,True,58.80275793351119,59.248352780621275,57.015142536222186,48.766893500893445,49.747298109122056,16.508843217016135,19.470609813452235,26.544707649633878,16.06324836990605,18.296458614305138,4.410917390318387,8.645398085024038,7.863445131992098,25.154241302040173
