canonical_party,candidates,mean_quality,median_quality,mean_se,positive,negative
D,440,-0.16981337267842558,-0.23622058701622953,9.891033455487467,6,2
R,444,0.24352927034794378,0.3311708263399731,9.89692268389453,4,2
