scenario,cycle,chamber,district,polling_federal_margin,generic_downballot_lag,incumbency_adjustment,fundraising_adjustment,expected_cmo_adjustment,adjustment_weight,predicted_dem_margin,dem_win_probability,finance_complete,finance_model_applied,model_used,fundraising_treatment,dem_fundraising,rep_fundraising,fundraising_gap_log50,fundraising_gap_structural_expectation,fundraising_gap_residualized,fundraising_gap_within_cycle_expectation,fundraising_gap_within_cycle_residualized,dem_finance_status,rep_finance_status,incumbency_balance,current_national_poll_margin,current_national_pollsters,poll_average_as_of,source_scenario,polling_error_adjustment,environment_baseline_margin,headline_dem_margin,selected_model
headline,2026,house,2,-57.7715265283442,1.8580715582535217,-8.70411237227359,6.563894322362167,-0.282146491657901,1.0,-58.053673020002094,8.163316046730787e-05,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,4433.57,57843.26,-0.6836978175524621,-1.280251288383375,0.5965534708309129,-1.5318196069332772,0.8481217893808152,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-57.7715265283442,-58.053673020002094,post2016_polling_cmo_within_cycle_finance
headline,2026,house,4,-24.20020779159042,1.8580715582535217,-8.70411237227359,4.67922843574346,-2.166812378276608,1.0,-26.367020169867025,0.0029587045931002234,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,19323.3,102782.88,-0.7902367595474207,-0.905152795465415,0.1149160359179943,-1.3948405814468814,0.6046038218994607,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-24.20020779159042,-26.367020169867025,post2016_polling_cmo_within_cycle_finance
headline,2026,house,5,-36.10211566040613,1.8580715582535217,-8.70411237227359,2.234055214906128,-4.61198559911394,1.0,-40.71410125952006,0.0004347967426202216,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,4547.92,123091.47,-1.1547406016976214,-1.038134991948319,-0.1166056097493024,-1.4434032177282612,0.2886626160306398,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-36.10211566040613,-40.71410125952006,post2016_polling_cmo_within_cycle_finance
headline,2026,house,8,-19.800616217233625,1.8580715582535217,0.0,-2.757438354344538,-0.8993667960910163,1.0,-20.69998301332464,0.007771652662644043,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,0.0,79275.0,-0.9499189128541392,-0.3907208953943446,-0.5591980174597945,-0.5936298813219608,-0.3562890315321783,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-19.800616217233625,-20.69998301332464,post2016_polling_cmo_within_cycle_finance
headline,2026,house,10,9.08855033235305,1.8580715582535217,8.70411237227359,8.428859137281439,18.99104306780855,1.0,28.0795934001616,0.9977302468171435,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,316793.05,28796.0,1.5379355583932934,0.4610885967876812,1.0768469616056122,0.4488413800188089,1.0890941783744843,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,9.08855033235305,28.0795934001616,post2016_polling_cmo_within_cycle_finance
headline,2026,house,15,-7.143356864562538,1.8580715582535217,-8.70411237227359,1.1687776080504628,-5.677263205969605,1.0,-12.820620070532144,0.038098159054660824,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,10047.43,144291.84,-1.174226608647971,-0.7145734760522054,-0.4596531325957654,-1.3252445421559649,0.1510179335079937,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-7.143356864562538,-12.820620070532144,post2016_polling_cmo_within_cycle_finance
headline,2026,house,16,-67.3003927157419,1.8580715582535217,-8.70411237227359,2.7113318287363377,-4.13470898528373,1.0,-71.43510170102564,2.9948125414023637e-05,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,2310.29,127250.0,-1.2203680641720198,-1.38671905553119,0.1663509913591703,-1.570699664478083,0.3503316003060632,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-67.3003927157419,-71.43510170102564,post2016_polling_cmo_within_cycle_finance
headline,2026,house,19,41.39846953785087,1.8580715582535217,8.70411237227359,1.4219849936985405,11.984168924225653,1.0,53.38263846207653,0.9998780765163392,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,132809.76,1500.0,1.2668642416099754,1.0487292121594312,0.2181350294505442,1.0831293430727515,0.1837348985372238,single_official_state_record_with_activity,single_official_state_record_with_activity,1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,41.39846953785087,53.38263846207653,post2016_polling_cmo_within_cycle_finance
headline,2026,house,20,-15.79004305594924,1.8580715582535217,-8.70411237227359,-7.828855649742407,-14.674896463762476,1.0,-30.46493951971172,0.001598320923153765,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,8030.92,572080.0,-2.3720927298864853,-0.8111844845310849,-1.5609082453554004,-1.3605250939111786,-1.0115676359753067,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-15.79004305594924,-30.46493951971172,post2016_polling_cmo_within_cycle_finance
headline,2026,house,21,-10.447827836392346,1.8580715582535217,-8.70411237227359,-5.483464005512391,-12.32950481953246,1.0,-22.777332655924805,0.005364586602042868,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,2397.56,355900.0,-2.0472467984875298,-0.7514949354427031,-1.2957518630448268,-1.338727575605401,-0.7085192228821291,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-10.447827836392346,-22.777332655924805,post2016_polling_cmo_within_cycle_finance
headline,2026,house,25,3.692638075152973,1.8580715582535217,-8.70411237227359,0.1394557457883101,-6.706585068231758,1.0,-3.0139469930787848,0.3112806292753769,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,6257.2,137827.0,-1.2055872935150738,-0.5675991339283106,-0.6379881595867631,-1.2236063917590037,0.0180190982439298,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,3.692638075152973,-3.0139469930787848,post2016_polling_cmo_within_cycle_finance
