historical_war_run_id,state_code,cycle,chamber,geometry_source_id,geometry_sha256,geometry_features,matched_races,unmatched_races,unscored_features,duplicate_keys,invalid_geometries,unsimplified_features,dem_votes_before,dem_votes_after,rep_votes_before,rep_votes_after
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2016,upper,CENSUS-CB-2016-FL-SLDU-500K,89a4b7fb244ac532ee21e8b4203255a49c9ab06ad19c49373ab02c63e5f5e1ef,40,17,0,23,0,0,0,1837822,1837822,1876357,1876357
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2018,lower,CENSUS-CB-2018-FL-SLDL-500K,3deb2341a61f2d764936b1ad1f4e8ab0e90687ffbeb6f8ed622451b9d894efe2,120,77,0,43,0,0,0,2381779,2381779,3043369,3043369
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2018,upper,CENSUS-CB-2018-FL-SLDU-500K,0a7799ff71b35628c03b49826db4ca2920a27385cc7fa245db89c86fb28b1c80,40,17,0,23,0,0,0,1474870,1474870,2044409,2044409
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2020,lower,CENSUS-CB-2020-FL-SLDL-500K,2f0bd3c62a440bb947a799544713c4fdf9208afe1fbe96ce8b64cf59ae400591,120,95,0,25,0,0,0,3746770,3746770,5075572,5075572
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2020,upper,CENSUS-CB-2020-FL-SLDU-500K,2368ebc102d1d1dfd7aba02471b70cc50fa261f3885f1cda2462764dfba46d4d,40,18,0,22,0,0,0,2279029,2279029,2663066,2663066
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2022,lower,CENSUS-CB-2022-FL-SLDL-500K,2e431c4ef4596e2633d570d7d6cb41feac62f0416fc10f022b981ff0a75cc9e3,120,67,0,53,0,0,0,1870647,1870647,2428134,2428134
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2022,upper,CENSUS-CB-2022-FL-SLDU-500K,80ad8d923666a9fe02e60226459a18587c58c2790ae9ad1f52f3d745b86bcf3a,40,23,0,17,0,0,0,1813976,1813976,2485366,2485366
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2024,lower,CENSUS-CB-2024-FL-SLDL-500K,09d986b41401cafa09ad6e7e7911d2158dadc612ff9e4a12eb00f389745b95dc,120,86,0,34,0,0,0,3079298,3079298,4753168,4753168
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,FL,2024,upper,CENSUS-CB-2024-FL-SLDU-500K,a2f162dd413b8f6849aa2085fed078e98eb6d10314355ca69d24e7d3db3f17ac,40,17,0,23,0,0,0,1842050,1842050,2877697,2877697
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,GA,2016,lower,CENSUS-CB-2016-GA-SLDL-500K,ac704c7b570b8bb8b8472696a4a1856c53069727759506163296f909c8f3e10b,180,31,0,149,0,0,0,311957,311957,373763,373763
