historical_war_run_id,cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,selected_ticket_margin,selected_ticket_source,raw_gap,prior_presidential_margin,incumbency_balance,lag_context_available,fitted_structural_nonlag_expected_gap,fitted_lag_component,fitted_structural_expected_gap,war,scoring_scope,backcast_extrapolation_years,modern_backcast_structural_expected_gap,modern_backcast_war,state_ticket_cmo,federal_ticket_cmo,presidential_ticket_cmo,contest_tier,model_tier,baseline_fallback_share,prior_pres_fallback_share,prior_pres_source_complete,war_definition
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,1,7385.0,4946.0,12331.0,19.779417727678208,-20.18809086699791,same_cycle_federal,39.96750859467612,0.0234780158846421,0.0,True,-0.2155847332527967,5.3546113426619195,5.139026609409123,34.828481985267,post2016_southern_model_backcast,24,5.139026609409123,34.828481985267,30.474125379332747,39.96750859467612,19.75593971179357,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,3,7723.0,3821.0,11544.0,33.8011088011088,13.099172759913168,same_cycle_federal,20.70193604119564,19.32716970240104,0.0,True,-4.790944126443788,3.087699195414888,-1.7032449310289004,22.405180972224542,post2016_southern_model_backcast,24,-1.7032449310289004,22.405180972224542,21.791263058258828,20.70193604119564,14.473939098707763,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,4,5012.0,9236.0,14248.0,-29.646266142616508,-13.268411504412336,same_cycle_federal,-16.37785463820417,-15.774621307005514,0.0,True,-1.3753103058030436,-1.8376457852360972,-3.212956091039141,-13.164898547165029,post2016_southern_model_backcast,24,-3.212956091039141,-13.164898547165029,-1.3256463547890114,-16.37785463820417,-13.871644835610994,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,6,6409.0,6770.0,13179.0,-2.73920631307383,-10.496262609304322,same_cycle_federal,7.757056296230493,-23.05528691729972,0.0,True,-1.8091987362328736,-5.041853227733588,-6.851051963966461,14.608108260196953,post2016_southern_model_backcast,24,-6.851051963966461,14.608108260196953,21.709223814421527,7.757056296230493,20.31608060422589,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,7,6188.0,5641.0,11829.0,4.624228590751543,7.549700893279578,same_cycle_state_fallback,-2.9254723025280347,15.794245841577087,0.0,True,-6.891431946513539,3.3588560255495015,-3.532575920964038,0.6071036184360032,post2016_southern_model_backcast,24,-3.532575920964038,0.6071036184360032,-2.9254723025280347,-46.72712276059982,-11.170017250825545,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,8,8391.0,2602.0,10993.0,52.66078413535887,-5.491965982866193,same_cycle_federal,58.15275011822506,-16.541311801791835,0.0,True,-2.5479619820541375,-4.157278241970955,-6.705240224025093,64.85799034225015,post2016_southern_model_backcast,24,-6.705240224025093,64.85799034225015,76.0998903137124,58.15275011822506,69.2020959371507,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,12,7159.0,6564.0,13723.0,4.335786635575311,-12.686889903539722,same_cycle_state_fallback,17.022676539115032,-15.310655898706926,0.0,True,-4.155055538502154,-1.8342527240474054,-5.989308262549559,23.011984801664592,post2016_southern_model_backcast,24,-5.989308262549559,23.011984801664592,17.022676539115032,,19.64644253428224,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,15,4363.0,10300.0,14663.0,-40.48966787151333,-58.175997366622376,same_cycle_federal,17.686329495109042,-18.043910357655257,0.0,True,8.101613581267657,9.285875562761444,17.3874891440291,0.2988403510799422,post2016_southern_model_backcast,24,17.3874891440291,0.2988403510799422,2.224731012092292,17.686329495109042,-22.44575751385808,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,17,8535.0,5183.0,13718.0,24.43504884093891,6.626120335461465,same_cycle_state_fallback,17.808928505477446,-5.164061471836247,0.0,True,-6.786940183749091,-3.5068236211189836,-10.293763804868075,28.10269231034552,post2016_southern_model_backcast,24,-10.293763804868075,28.10269231034552,17.808928505477446,,29.59911031277516,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,19,7314.0,1030.0,8344.0,75.31160115052732,54.55746800811351,same_cycle_federal,20.754133142413814,23.6438976760469,0.0,True,-6.9463737504746925,-6.427695626127352,-13.374069376602044,34.12820251901586,post2016_southern_model_backcast,24,-13.374069376602044,34.12820251901586,25.564303041405267,20.754133142413814,51.66770347448042,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,26,5881.0,4171.0,10052.0,17.011539992041385,-4.089825638698969,same_cycle_state_fallback,21.101365630740357,-6.321686525113438,0.0,True,-5.43195435275658,-1.061529419578772,-6.493483772335352,27.59484940307571,post2016_southern_model_backcast,24,-6.493483772335352,27.59484940307571,21.101365630740357,,23.333226517154824,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,27,6807.0,5746.0,12553.0,8.452162829602486,-18.289039157100177,same_cycle_state_fallback,26.741201986702663,-24.093608103388053,0.0,True,-3.232034227271324,-3.330261044417667,-6.562295271688991,33.30349725839165,post2016_southern_model_backcast,24,-6.562295271688991,33.30349725839165,26.741201986702663,,32.545770932990536,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,28,7532.0,3711.0,11243.0,33.98559103442142,13.47390024365177,same_cycle_state_fallback,20.51169079076965,8.37462221263277,0.0,True,-7.515299085872376,-0.727288171404278,-8.242587257276654,28.754278048046302,post2016_southern_model_backcast,24,-8.242587257276654,28.754278048046302,20.51169079076965,,25.61096882178865,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,29,7064.0,2464.0,9528.0,48.27875734676742,13.807665897314592,same_cycle_state_fallback,34.47109144945283,14.816197418308027,0.0,True,-7.5480592558802,1.3696754176898125,-6.1783838381903875,40.64947528764321,post2016_southern_model_backcast,24,-6.1783838381903875,40.64947528764321,34.47109144945283,,33.46255992845939,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,30,7026.0,5912.0,12938.0,8.610295254289689,-7.220986115244472,same_cycle_state_fallback,15.83128136953416,-21.84224415232079,0.0,True,-4.986459542765899,-5.497747715247891,-10.48420725801379,26.31548862754795,post2016_southern_model_backcast,24,-10.48420725801379,26.31548862754795,15.83128136953416,-6.554114028686731,30.45253940661048,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,32,4541.0,2241.0,6782.0,33.91329991153052,66.67618659202898,same_cycle_federal,-32.76288668049846,16.849555134393572,0.0,True,-6.834069039521211,-11.942274317429671,-18.776343356950882,-13.98654332354758,post2016_southern_model_backcast,24,-18.776343356950882,-13.98654332354758,-15.38879062088278,-32.76288668049846,17.06374477713695,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
AL-HIST-WAR-V1-2CD9D5044B91015A3749,1994,house,33,5981.0,3621.0,9602.0,24.578212872318268,27.445054669448734,same_cycle_federal,-2.8668417971304656,,0.0,False,-5.981499203628934,0.0,-5.981499203628934,3.114657406498468,post2016_southern_model_backcast,24,-5.981499203628934,3.114657406498468,34.034442123114594,-2.8668417971304656,,meaningful,sensitivity_1994,0.0,,,raw_gap_minus_fitted_structural_expected_gap
