specification,forward_cycles,mean_mae,latest_mae,mean_rmse,post2016_mean_mae,promoted,selection_rule
incumbency,7,24.85295834485876,9.377397231275802,29.86873158158546,14.550032608432524,False,improve_all_cycle_post2016_and_latest_forward_mae
national_environment_post2016_ramp,7,25.320076385270593,9.774371997840314,31.310355502944194,11.12611124455302,True,improve_all_cycle_post2016_and_latest_forward_mae
finance_scenario,7,25.53342215739309,10.67205081876225,30.401248262711764,15.993895128169687,False,improve_all_cycle_post2016_and_latest_forward_mae
incumbency_demographics,7,25.602396327770602,10.79757540796141,30.755943247342277,16.94936442922441,False,improve_all_cycle_post2016_and_latest_forward_mae
baseline,7,25.73242528965067,12.03204312936364,31.471911978357983,12.569332409883293,True,improve_all_cycle_post2016_and_latest_forward_mae
national_environment,7,27.660375033937292,9.774371997840314,34.0020811842081,11.120535667531726,False,improve_all_cycle_post2016_and_latest_forward_mae
national_environment_finance,7,28.062861310443513,13.522188627708664,33.156779754179354,14.459075948812224,False,improve_all_cycle_post2016_and_latest_forward_mae
federal_realign_finance,7,28.535155584197746,13.265485932683559,34.435216130457086,14.53648146650368,False,improve_all_cycle_post2016_and_latest_forward_mae
national_environment_demographics,7,32.051442548051455,14.410548598615975,36.95040627711501,16.50227618303951,False,improve_all_cycle_post2016_and_latest_forward_mae
