chamber,district,conditional_dem_probability,full_uncertainty_dem_probability,margin_80_low,margin_80_high,margin_95_low,margin_95_high,draws
house,2,0.0004486289351314269,0.0,-66.63380091356228,-49.409625947031756,-71.2138629963873,-44.788891924015616,50000
house,4,0.008035447777631457,2e-05,-38.00358409639273,-20.836021678135076,-42.71984494439809,-16.291095557872012,50000
house,5,0.002373350289125971,0.0,-48.48855600944805,-31.34012656675862,-53.08100380898293,-26.792713562740307,50000
house,8,0.032749331881136594,0.00176,-27.99867818393675,-10.825438361786338,-32.62377174110054,-6.3052345901643685,50000
house,10,0.9207094975638017,0.97762,5.030673661439916,22.19559935201486,0.3152516447009046,26.720970059123697,50000
house,15,0.07605179758027635,0.01796,-22.60688862051664,-5.404318991476627,-27.128042611919856,-0.9702301904355161,50000
house,16,0.00025243812368487924,0.0,-74.34154242642184,-57.07698197928624,-78.87109180086505,-52.566701963784766,50000
house,19,0.9987294969562635,1.0,37.46883658853133,54.615004368658276,32.95806441542364,59.05891772447085,50000
house,20,0.02266980870599954,0.00032,-30.556643411811407,-13.356343063903635,-35.144655291666794,-8.774218333316824,50000
house,21,0.047274043055365804,0.00598,-25.575086423708623,-8.37284553842775,-30.20300217835617,-3.74986833770586,50000
house,25,0.33495467359822495,0.2855,-12.398206699226968,4.755153644132945,-16.841420963885643,9.23025611698778,50000
house,28,0.016866888265534688,6e-05,-32.571605304133506,-15.287531481328969,-37.28069297328317,-10.83234578532851,50000
house,32,0.8384759799251936,0.91174,0.45847593581911633,17.628436348129096,-4.050775348836257,22.15632245340066,50000
house,37,0.004311493860433435,0.0,-43.10491647132456,-25.91015916344328,-47.613830365417876,-21.483496174646987,50000
house,38,0.002763413692617344,0.0,-47.0767319266193,-29.83239652063696,-51.65664719201326,-25.326417120431675,50000
house,40,0.000582786608935743,0.0,-63.4487476313426,-46.217333757882805,-67.856849881584,-41.523653940749995,50000
house,41,0.0020243924315645804,0.0,-50.063936288589616,-32.81030935166494,-54.54558377701762,-28.293215569581253,50000
house,43,0.002810490069678561,0.0,-46.934116209072954,-29.736657774989173,-51.438744900444384,-25.1733662786366,50000
house,45,0.0026879652231531384,0.0,-47.27921398470139,-30.17997265869205,-51.83546625664591,-25.5320366554858,50000
house,47,0.07823725378018356,0.0192,-22.370728311283507,-5.198873374608591,-26.872842117973796,-0.704487568855725,50000
house,50,0.0012023815471148174,0.0,-55.23821882896304,-38.06082361938168,-59.86311663534679,-33.39317860578213,50000
house,63,0.06542735837014094,0.0127,-23.505234101768536,-6.294221292351192,-27.98169259071209,-1.851016642606907,50000
house,68,0.9248855435723323,0.98078,5.398965640041528,22.62676718714947,0.734600760127217,26.98752645094467,50000
house,69,0.9767563043812549,0.99914,13.075555280783638,30.260852722639065,8.632795345545846,34.937144857989715,50000
house,70,0.9993212886470082,1.0,44.38251043463097,61.606206514940624,39.942642266689475,66.15947978405588,50000
house,74,0.99674689969667,1.0,28.33426132344526,45.469344271843134,23.703425993425544,50.001921284913024,50000
house,75,0.015060841006130298,8e-05,-33.34922000736166,-16.221546602597286,-37.87346503759919,-11.635139917296609,50000
house,80,0.007001445257105197,0.0,-39.11581347412175,-21.970410342840673,-43.59967188514341,-17.45143343170183,50000
house,82,0.9985737361734073,1.0,36.3281189962536,53.45742799794798,31.788330776715597,57.98551620678395,50000
house,85,0.018462122739829785,0.00028,-31.882075590310986,-14.711529523496706,-36.32672046797921,-10.093031642603606,50000
house,96,0.00455696103037503,0.0,-42.56006755405407,-25.552394397866564,-47.16546485640588,-20.77716472347678,50000
house,99,0.9981187073940014,1.0,33.411368556634535,50.672660993416955,28.852759492499114,55.10782388739061,50000
house,101,0.012592157556334497,2e-05,-34.69916614350869,-17.410964435405166,-39.18975892813104,-12.835749136708209,50000
senate,2,0.7923875132722795,0.8622,-1.2354653853736122,15.954206956175527,-5.686317386287539,20.62156374453098,50000
senate,3,0.003786369609228323,0.0,-44.25753130650465,-27.091057768925143,-48.74114930821987,-22.55242029881978,50000
senate,6,0.00111916701398637,0.0,-56.03422041246719,-38.87196980651795,-60.517533885094295,-34.32232020221257,50000
senate,7,0.1398234466145588,0.06904,-18.5993386378768,-1.384781307105599,-22.995982998201857,3.259059463365544,50000
senate,8,0.0010661692755863101,0.0,-56.52486867847963,-39.31693986057914,-61.104367728191654,-34.83719932606285,50000
senate,11,0.0014966149790820462,0.0,-53.00297335962258,-35.81739647064582,-57.638608024801165,-31.228003316408405,50000
senate,13,0.001743451006375513,0.0,-51.45509026800201,-34.33953342448288,-55.97718398379442,-29.810892406363607,50000
senate,14,0.0026036852076180717,0.0,-47.564197656511354,-30.48992551591112,-52.11146149921573,-25.942826407461038,50000
senate,16,0.02115081525511933,0.00032,-30.952409617886143,-13.701296387065401,-35.50222676920485,-9.137684451919478,50000
senate,22,0.0012221801332256016,0.0,-55.01681418409964,-37.891991532009726,-59.675129766204,-33.37306065985925,50000
senate,23,0.9659031613793838,0.99786,10.521266374510157,27.729150852726395,5.9110903481854615,32.33582148803783,50000
senate,25,0.013256653857052577,2e-05,-34.219918344013614,-16.99123872684405,-38.67073424656961,-12.30074644976151,50000
senate,28,0.9559303622577588,0.99476,8.841627007583861,25.985516679477424,4.209335241655124,30.60364112363066,50000
senate,29,0.0007625529685194589,0.0,-60.235954092833865,-43.04086252092264,-64.68132317359793,-38.54060635928193,50000
senate,32,0.0010794871192670043,0.0,-56.3861056851578,-39.234230630999896,-60.92223558117362,-34.537300211972685,50000
