baseline,races,mean_absolute_gap,median_gap,p95_absolute_gap
state_ticket,509,17.019303790907315,6.8048053686092675,47.03764745619256
selected_source_aware,509,16.953939801775174,6.876838883552555,47.03764745619256
state_80_federal_20,449,17.17140627707565,7.176989776434912,49.38047237568441
state_70_federal_30,449,17.707994760105993,9.148036848002413,51.19009009070096
prior_presidential,488,26.31759418853273,18.732747081962373,64.29321556424766
