cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,feature_method,geography_validation
2026,2022,house,25,"State House District 25 (2022), Alabama",48803,33542,0.3386267237669815,0.5712241369029873,0.6176055434364173,23379,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,26,"State House District 26 (2022), Alabama",48039,30105,0.3101022086221612,0.1784753363228699,0.1999407457569729,23627,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,27,"State House District 27 (2022), Alabama",49884,34890,0.1117793280410552,0.2450558899398108,0.2483152377386746,32052,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,28,"State House District 28 (2022), Alabama",49959,34915,0.3978862667387257,0.1562938565086639,0.1833050589412327,22989,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,29,"State House District 29 (2022), Alabama",48344,34639,0.0978404765844779,0.1741678454920754,0.1771844660194174,31724,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,30,"State House District 30 (2022), Alabama",42730,30588,0.102504095483267,0.1692166862822021,0.1661593554162936,27925,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,31,"State House District 31 (2022), Alabama",48120,34121,0.281691604322527,0.1584947686175669,0.1821824181004006,25458,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,32,"State House District 32 (2022), Alabama",43312,30448,0.6237994089397858,0.1257882291119285,0.1418976298926889,12953,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,33,"State House District 33 (2022), Alabama",45021,32725,0.3341773838875191,0.1412987012987013,0.1721792890262751,22645,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,34,"State House District 34 (2022), Alabama",45389,31474,0.1479433342880434,0.1458664294338184,0.1568128916741271,27925,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,35,"State House District 35 (2022), Alabama",48600,33700,0.2407201646090535,0.1595845697329377,0.1567032056352883,26547,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,36,"State House District 36 (2022), Alabama",51800,36078,0.2306756756756757,0.2323853872165862,0.2470052128283909,28967,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,37,"State House District 37 (2022), Alabama",46539,33773,0.2993188508562711,0.2367571728895863,0.2788341255941956,23982,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,38,"State House District 38 (2022), Alabama",49584,33318,0.3479146498870603,0.1671168737619305,0.1815276729838888,22531,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,39,"State House District 39 (2022), Alabama",47310,33177,0.1836609596279856,0.1235193055429966,0.1343418222191381,28822,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
