specification,test_cycle,mae
all_plus_candidate_history__ridge100__blend10,2002,30.933678917458387
all_plus_candidate_history__ridge100__blend10,2006,41.39875214164567
all_plus_candidate_history__ridge100__blend10,2010,24.025177863367812
all_plus_candidate_history__ridge100__blend10,2014,22.636644218305825
all_plus_candidate_history__ridge100__blend10,2018,12.356250996750754
all_plus_candidate_history__ridge100__blend10,2022,10.2110037124176
all_plus_candidate_history__ridge100__blend20,2002,29.760522162450687
all_plus_candidate_history__ridge100__blend20,2006,39.85822027490859
all_plus_candidate_history__ridge100__blend20,2010,23.43604879171065
all_plus_candidate_history__ridge100__blend20,2014,22.304009855873723
all_plus_candidate_history__ridge100__blend20,2018,12.561788557281835
all_plus_candidate_history__ridge100__blend20,2022,10.923886996777147
all_plus_candidate_history__ridge20__blend10,2002,30.86315710246245
all_plus_candidate_history__ridge20__blend10,2006,41.393261958453394
all_plus_candidate_history__ridge20__blend10,2010,23.9203574972477
all_plus_candidate_history__ridge20__blend10,2014,22.58688764152506
all_plus_candidate_history__ridge20__blend10,2018,12.241777533228817
all_plus_candidate_history__ridge20__blend10,2022,9.966911878067066
all_plus_candidate_history__ridge20__blend20,2002,29.743221827095546
all_plus_candidate_history__ridge20__blend20,2006,39.92343910731401
all_plus_candidate_history__ridge20__blend20,2010,23.43604879171065
all_plus_candidate_history__ridge20__blend20,2014,22.252044760290737
all_plus_candidate_history__ridge20__blend20,2018,12.286399940890483
all_plus_candidate_history__ridge20__blend20,2022,10.563191908174248
basic_polling_100,2002,32.24515684653531
basic_polling_100,2006,43.598621945586636
basic_polling_100,2010,25.91223926790113
basic_polling_100,2014,23.583294204908917
basic_polling_100,2018,12.47307344344572
basic_polling_100,2022,9.857008882273425
cmo_expectation__blend100,2002,29.762667171899455
cmo_expectation__blend100,2006,39.85822027490859
cmo_expectation__blend100,2010,23.43604879171065
cmo_expectation__blend100,2014,22.304009855873723
cmo_expectation__blend100,2018,12.564266220364082
cmo_expectation__blend100,2022,9.161906071810211
cmo_expectation__blend20,2002,29.804196424185694
cmo_expectation__blend20,2006,39.85822027490859
cmo_expectation__blend20,2010,23.43604879171065
cmo_expectation__blend20,2014,22.25380649164475
cmo_expectation__blend20,2018,12.41623785386118
cmo_expectation__blend20,2022,9.535119758546584
demographics__ridge100__blend10,2002,30.95392961410376
demographics__ridge100__blend10,2006,41.39940964062882
demographics__ridge100__blend10,2010,24.05192638271254
demographics__ridge100__blend10,2014,22.647458638700943
demographics__ridge100__blend10,2018,12.407195274453558
demographics__ridge100__blend10,2022,10.381255516739007
demographics__ridge100__blend20,2002,29.801049362994984
demographics__ridge100__blend20,2006,39.85822027490859
demographics__ridge100__blend20,2010,23.43604879171065
demographics__ridge100__blend20,2014,22.304009855873723
demographics__ridge100__blend20,2018,12.564266220364082
demographics__ridge100__blend20,2022,10.969306287596812
demographics__ridge20__blend10,2002,30.95549051594067
demographics__ridge20__blend10,2006,41.39730878070482
demographics__ridge20__blend10,2010,24.02457038247479
demographics__ridge20__blend10,2014,22.622904448577916
demographics__ridge20__blend10,2018,12.388889881677771
demographics__ridge20__blend10,2022,10.533433259087632
demographics__ridge20__blend20,2002,29.804196424185694
demographics__ridge20__blend20,2006,39.85822027490859
demographics__ridge20__blend20,2010,23.43604879171065
demographics__ridge20__blend20,2014,22.29960957907953
demographics__ridge20__blend20,2018,12.49276849197329
