candidate_effect_id,partial_pooled_effect,appearances,attribution_reliability
ALNAME-ABEL-DAVID-C,-0.3388094129292792,1,0.3333333333333333
ALNAME-ACKER-JOE-D,-0.2119120847771151,1,0.3333333333333333
ALNAME-ADLINE-C-CLARKE,-0.48683359795322806,1,0.3333333333333333
ALNAME-AL-WIGGINS,-1.1745313946006979,1,0.3333333333333333
ALNAME-ALAN-BAKER,0.9782483167494612,2,0.5
ALNAME-ALAN-C-BOOTHE,-0.43695263134963047,1,0.3333333333333333
ALNAME-ALAN-HARPER,3.2133869499111576,2,0.5
ALNAME-ALBRITTON-GREG,-0.28108584875126025,1,0.3333333333333333
ALNAME-ALLEN-CATON,-1.571949195266875,1,0.3333333333333333
ALNAME-ALLEN-FARLEY,0.38633708089223256,1,0.3333333333333333
ALNAME-ALLEN-GERALD,0.1305746041626509,1,0.3333333333333333
ALNAME-ALLEN-TREADAWAY,0.9399300852416728,1,0.3333333333333333
ALNAME-ALLI-SUMMERFORD,0.7513840145898442,1,0.3333333333333333
ALNAME-ALVIN-HOLMES,-0.6947922176178802,1,0.3333333333333333
ALNAME-AMBER-SELMAN-LYNN,-0.7083746065042609,1,0.3333333333333333
ALNAME-AMY-BECKERLE-SMITH,-0.46028058455140286,1,0.3333333333333333
ALNAME-AMY-WASYLUKA,0.04638326369178444,1,0.3333333333333333
ALNAME-ANDREW-ANDY-BETTERTON,0.2121952388401904,1,0.3333333333333333
ALNAME-ANDREW-SORRELL,0.18493808558643365,1,0.3333333333333333
ALNAME-ANDREWS-STEVE,-1.1207049563739502,1,0.3333333333333333
ALNAME-ANGELO-DOC-MANCUSO,-0.7205001856488555,1,0.3333333333333333
ALNAME-ANN-SKELTON,-0.8754282780040227,1,0.3333333333333333
ALNAME-ANTHONY-DANIELS,0.49990837112972797,1,0.3333333333333333
ALNAME-ANTHONY-ZACHERO,-1.596376314889456,1,0.3333333333333333
ALNAME-ARLENE-CUNNINGHAM-EASLEY,-0.8532863790687913,1,0.3333333333333333
ALNAME-ARNOLD-G-MOONEY,-0.041290859843283165,1,0.3333333333333333
ALNAME-ARTHUR-ORR,0.545033501514137,1,0.3333333333333333
ALNAME-ARTHUR-PAYNE,0.2551992141994135,1,0.3333333333333333
ALNAME-B-CRAIG-LIPSCOMB,0.8284446995485552,1,0.3333333333333333
ALNAME-BAKER-LOCY-SUNNY,0.8277549763981362,1,0.3333333333333333
ALNAME-BALL-MIKE,0.3426457135950259,1,0.3333333333333333
ALNAME-BARBARA-A-DRUMMOND,-0.10110209836059426,1,0.3333333333333333
ALNAME-BARBARA-BIGSBY-BOYD,-0.29526149552698056,3,0.6
ALNAME-BARNES-STEVEN-C,-0.5470898807166602,1,0.3333333333333333
ALNAME-BARRON-LOWELL,0.2364901294997762,1,0.3333333333333333
ALNAME-BARRY-MOORE,0.48647016006400445,1,0.3333333333333333
ALNAME-BARTON-JIM,1.297155882615108,1,0.3333333333333333
ALNAME-BEAU-DOOLITTLE,-0.728592013333301,1,0.3333333333333333
ALNAME-BECK-WARREN-HARRIS,0.5853374237992037,1,0.3333333333333333
ALNAME-BECKY-NORDGREN,1.1290532148960442,3,0.6
ALNAME-BEDFORD-ROGER,0.26818487917600814,1,0.3333333333333333
ALNAME-BEN-BROOKS,0.5613315260118525,2,0.5
ALNAME-BEN-LITTLE,0.25692269754623936,1,0.3333333333333333
ALNAME-BENTLEY-ROBERT,0.09372171024032817,1,0.3333333333333333
ALNAME-BERRY-FORTE,-0.870236621388494,2,0.5
ALNAME-BESHEARS-MITCHELL,-1.7441781928246767,1,0.3333333333333333
ALNAME-BETTY-CAROL-GRAHAM,-0.16492788817391932,1,0.3333333333333333
ALNAME-BIDDLE-JACK,2.000134695921901,1,0.3333333333333333
ALNAME-BILL-HIGHTOWER,0.728592013333301,1,0.3333333333333333
ALNAME-BILL-HOLTZCLAW,-0.27177809815251347,1,0.3333333333333333
ALNAME-BILL-INGRAM,-1.442442386729137,1,0.3333333333333333
ALNAME-BILL-JONES,-0.8003372243489985,1,0.3333333333333333
ALNAME-BILL-POOLE,0.07255949173760565,1,0.3333333333333333
ALNAME-BILL-ROBERTS,0.34233848654093235,1,0.3333333333333333
ALNAME-BILLY-BEASLEY,0.9054411648480645,2,0.5
ALNAME-BILLY-DIXON,-1.2486329849889437,1,0.3333333333333333
ALNAME-BILLY-JACKSON,-0.5773581484490141,1,0.3333333333333333
ALNAME-BLACK-MARCEL,0.5470898807166602,1,0.3333333333333333
ALNAME-BLAINE-GALLIHER,0.5298405940250521,1,0.3333333333333333
ALNAME-BOB-DUKE,0.3762962018919316,1,0.3333333333333333
ALNAME-BOB-FINCHER,0.1519069297016915,3,0.6
ALNAME-BOBBY-DAY,-0.545033501514137,1,0.3333333333333333
ALNAME-BOBBY-LEWIS,-1.16517361568064,1,0.3333333333333333
ALNAME-BOYD-BARBARA-BIGSBY,0.40393662500060235,1,0.3333333333333333
ALNAME-BRAD-MOSER,-0.12406280729870185,1,0.3333333333333333
ALNAME-BRADFORD-RALPH,-0.9868665629565242,1,0.3333333333333333
ALNAME-BRETT-EASTERBROOK,-0.3071734103683732,1,0.3333333333333333
ALNAME-BRETT-WADSWORTH,-1.4040195907831654,1,0.3333333333333333
ALNAME-BRIAN-D-WILLIAMS,-0.801776059328117,1,0.3333333333333333
ALNAME-BRIAN-MCGEE,-0.6260056125732107,1,0.3333333333333333
ALNAME-BRIDGES-DUWAYNE,0.8943815910297606,1,0.3333333333333333
ALNAME-BROOKS-PETE,-0.43001396299367767,1,0.3333333333333333
ALNAME-BROXTON-ROGER,-2.350102356737402,1,0.3333333333333333
ALNAME-BRYAN-BENNETT,-0.41787292062697584,1,0.3333333333333333
ALNAME-BRYAN-TAYLOR,0.5152811979857694,1,0.3333333333333333
ALNAME-BUTCH-TAYLOR,-0.14599107396162816,1,0.3333333333333333
ALNAME-BUTLER-TOM,1.1207049563739502,1,0.3333333333333333
ALNAME-C-TERRY-JONES,-0.13359385138469648,1,0.3333333333333333
ALNAME-CALLAHAN-GEORGE-M,-0.21836003043227245,1,0.3333333333333333
ALNAME-CAM-WARD,0.7437490116609043,1,0.3333333333333333
ALNAME-CARIN-MAYO,0.041290859843283165,1,0.3333333333333333
ALNAME-CARL-CARTER,-0.8441582968913804,1,0.3333333333333333
ALNAME-CAROLINE-SELF,-0.6021639812286259,1,0.3333333333333333
ALNAME-CAROLYN-ELLIS,0.49230307991575833,1,0.3333333333333333
ALNAME-CARTER-TOMMY,0.6804249468714764,1,0.3333333333333333
ALNAME-CATON-ALLEN,-1.396456861463492,1,0.3333333333333333
ALNAME-CHAD-FINCHER,1.4134616528960484,1,0.3333333333333333
ALNAME-CHAD-YOUNG,-0.18493808558643365,1,0.3333333333333333
ALNAME-CHANDLER-WAYNE,-1.1771589088149894,1,0.3333333333333333
ALNAME-CHARLENE-CANNON,-0.8387346790453024,1,0.3333333333333333
ALNAME-CHARLES-BISHOP,0.23930243995723274,1,0.3333333333333333
ALNAME-CHARLES-NEWTON,0.2586307246394552,1,0.3333333333333333
ALNAME-CHARLES-W-TALBERT,0.39117760250062544,1,0.3333333333333333
ALNAME-CHARLOTTE-A-CLARK-FRIESON,-0.9926376806246315,1,0.3333333333333333
ALNAME-CHERYL-BASWELL-GUTHRIE,-1.4410722047967794,1,0.3333333333333333
ALNAME-CHRIS-E-BLACKSHEAR,1.156365953841955,1,0.3333333333333333
ALNAME-CHRIS-ELLIOTT,0.39369069577144855,1,0.3333333333333333
ALNAME-CHRIS-SELLS,1.4573910603151239,2,0.5
ALNAME-CHRISTOPHER-F-APOSTLE-DAVIS,-1.156365953841955,1,0.3333333333333333
ALNAME-CHRISTOPHER-HORN,-0.49990837112972797,1,0.3333333333333333
ALNAME-CHRISTOPHER-P-WORD,-0.9148918190246381,1,0.3333333333333333
ALNAME-CINDY-BELL,-0.008351023068349318,1,0.3333333333333333
ALNAME-CINDY-DUNN-IRVIN,-0.5662498677204045,1,0.3333333333333333
ALNAME-CLARA-L-CURTIS,-1.7675539603559542,1,0.3333333333333333
ALNAME-CLAY-SCOFIELD,0.06215979283445155,1,0.3333333333333333
ALNAME-CODY-ROBINSON,-0.19512497449296326,1,0.3333333333333333
ALNAME-COFFMAN-RONNIE-G,-0.6804249468714764,1,0.3333333333333333
ALNAME-COLEY-ROY,-0.7276703474674505,1,0.3333333333333333
ALNAME-COMBS-TOMMY,-0.8851559008259573,1,0.3333333333333333
ALNAME-CORLEY-ELLIS,0.6223391961367506,1,0.3333333333333333
ALNAME-CORY-CREEL,-0.7214211955948797,1,0.3333333333333333
ALNAME-COX-HOBSON,-0.8714857281734617,1,0.3333333333333333
ALNAME-CRAIG-FORD,1.3359737913537004,2,0.5
ALNAME-CREED-WAYNE-J,-2.297911577529751,1,0.3333333333333333
ALNAME-CURTIS-CLARA,-1.356988785473416,1,0.3333333333333333
ALNAME-D-J-JOHNSON,-0.5272954388089687,1,0.3333333333333333
ALNAME-DAN-WILLIAMS,-0.8938817184661078,2,0.5
ALNAME-DANIEL-H-BOMAN,-1.5276234162229345,2,0.5
ALNAME-DANIELLE-MASHBURN-MYRICK,0.07953921985535582,1,0.3333333333333333
ALNAME-DANNY-B-JOYNER,-1.0155868600339246,1,0.3333333333333333
ALNAME-DANNY-F-CRAWFORD,0.801776059328117,1,0.3333333333333333
ALNAME-DARIUS-FOSTER,0.6561996972321146,1,0.3333333333333333
ALNAME-DARRELL-TURNER,-1.1063172878888108,2,0.5
ALNAME-DAVID-A-SADLER,-0.5318923360310392,1,0.3333333333333333
ALNAME-DAVID-COACH-BURKETTE,0.5272954388089687,1,0.3333333333333333
ALNAME-DAVID-FAULKNER,-0.5545794972827347,1,0.3333333333333333
ALNAME-DAVID-GRIMES,-0.7824937547230947,3,0.6
ALNAME-DAVID-S-DARBY,-0.9206005426105744,1,0.3333333333333333
ALNAME-DAVID-SESSIONS,0.7642670988058967,1,0.3333333333333333
ALNAME-DAVID-WHEELER,-0.4057557436418723,1,0.3333333333333333
ALNAME-DAY-SHELDON-A,-0.20814958040679757,1,0.3333333333333333
ALNAME-DEBBIE-HAMBY-WOOD,0.6260056125732107,1,0.3333333333333333
ALNAME-DEBORAH-BARROS,-0.4209820001084784,1,0.3333333333333333
ALNAME-DEL-MARSH,0.40158191841738955,3,0.6
ALNAME-DENNIS-W-STEPHENS,-0.5381339718447499,1,0.3333333333333333
ALNAME-DENTON-BOBBY,0.6423375840385768,1,0.3333333333333333
ALNAME-DEXTER-GRIMSLEY,0.7073549097056298,3,0.6
ALNAME-DICK-L-BREWBAKER,1.2048475119870998,1,0.3333333333333333
ALNAME-DICKIE-DRAKE,0.03280643976675324,1,0.3333333333333333
ALNAME-DIMITRI-POLIZOS,1.6554314154735261,2,0.5
ALNAME-DIXON-LARRY,0.8714857281734617,1,0.3333333333333333
ALNAME-DOLBARE-JEFF,0.5164620660206728,1,0.3333333333333333
ALNAME-DON-BARNWELL,-0.324202123574947,1,0.3333333333333333
ALNAME-DON-STOUT,0.7587345255396558,1,0.3333333333333333
ALNAME-DOUG-SHERROD,-0.4210819723290624,1,0.3333333333333333
ALNAME-DOUG-SMITTY-SMITH,-1.2048475119870998,1,0.3333333333333333
ALNAME-DRAMA-BRELAND,-0.15964947258852272,1,0.3333333333333333
ALNAME-DUGAN-JERRY,-0.009122913837852978,1,0.3333333333333333
ALNAME-DUKES-BILL-J,1.9371481560254227,1,0.3333333333333333
ALNAME-DUTTON-JOHN-RANDALL,-0.6439982404934106,1,0.3333333333333333
ALNAME-DUWAYNE-BRIDGES,0.0808312085478934,2,0.5
ALNAME-DWIGHT-ADAMS,-1.7636806089533836,1,0.3333333333333333
ALNAME-DYLAN-V-OLIVER,-0.4470665441452886,1,0.3333333333333333
ALNAME-ED-HENRY,0.5188841091620501,1,0.3333333333333333
ALNAME-ED-OLIVER,0.6896252175760098,1,0.3333333333333333
ALNAME-EDDIE-BRITTON,-0.7585877205707553,1,0.3333333333333333
ALNAME-EDMONDS-DORIS,-0.5801151973617041,1,0.3333333333333333
ALNAME-ELAINE-BEECH,0.3071734103683732,1,0.3333333333333333
ALNAME-ELLIOT-D-DICK-WEAVER,-0.13463206619623105,1,0.3333333333333333
ALNAME-ELWYN-THOMAS,-0.45864563623109433,1,0.3333333333333333
ALNAME-EMILY-ANNE-MARCUM,-0.6223391961367506,1,0.3333333333333333
ALNAME-ENFINGER-JEFF,1.058907244515139,1,0.3333333333333333
ALNAME-F-P-SKIPPY-WHITE,-0.13100940058567476,1,0.3333333333333333
ALNAME-FARGERSON-SHAWN,-0.6048382714408553,1,0.3333333333333333
ALNAME-FELICIA-STEWART,0.5545794972827347,1,0.3333333333333333
ALNAME-FITE-LEA,0.43001396299367767,1,0.3333333333333333
ALNAME-FORD-CRAIG,0.3388094129292792,1,0.3333333333333333
ALNAME-FRANK-CAMP,-0.605078181017677,1,0.3333333333333333
ALNAME-FRANK-CHANDLER,-3.2133869499111576,2,0.5
ALNAME-FRANK-MCDANIEL,1.487000394546494,1,0.3333333333333333
ALNAME-FRAZIER-BETTY,-0.26818487917600814,1,0.3333333333333333
ALNAME-FRAZIER-ED,-0.5196608332186672,1,0.3333333333333333
ALNAME-FRED-JOLY,-0.5161687847727882,1,0.3333333333333333
ALNAME-FRENCH-STEVE,1.4787492858680442,1,0.3333333333333333
ALNAME-GARNER-RAY,-0.24104588550775163,1,0.3333333333333333
ALNAME-GARRY-BEARDEN,-1.2464236106854742,1,0.3333333333333333
ALNAME-GARY-HEAD,0.17902060152670848,1,0.3333333333333333
ALNAME-GARY-JOHNSON,-1.4134616528960484,1,0.3333333333333333
ALNAME-GARY-TANNER,0.04838503498692775,1,0.3333333333333333
ALNAME-GENE-PONDER,-0.828951975597919,1,0.3333333333333333
ALNAME-GEORGE-M-MARC-KEAHEY,2.063461703319985,1,0.3333333333333333
ALNAME-GEORGE-TOOTIE-BANDY,-0.17902060152670848,1,0.3333333333333333
ALNAME-GERALD-ALLEN,0.787803800517662,4,0.6666666666666666
ALNAME-GERALD-DIAL,-0.04018284554532947,2,0.5
ALNAME-GERRY-WALLACE,-1.0944229560918253,1,0.3333333333333333
ALNAME-GIL-F-ISBELL,0.7231933565189093,1,0.3333333333333333
ALNAME-GLENN-L-ALLEN,-0.8696919840447503,1,0.3333333333333333
ALNAME-GRAHAM-BETTY-CAROL,2.183205367445966,1,0.3333333333333333
ALNAME-GRANT-TANNER,-0.01459350965934773,1,0.3333333333333333
ALNAME-GRANTLAND-RONALD,0.7276703474674505,1,0.3333333333333333
ALNAME-GRAY-PRESTON-R,-0.7545200674432002,1,0.3333333333333333
ALNAME-GREER-LYNN,0.575131071473742,1,0.3333333333333333
ALNAME-GREESON-TODD,1.4015895807332621,1,0.3333333333333333
ALNAME-GREG-ALBRITTON,0.3466493263765606,1,0.3333333333333333
ALNAME-GREG-BURDINE,0.3931934740735513,2,0.5
ALNAME-GREG-REED,1.4040195907831654,1,0.3333333333333333
ALNAME-GREG-VARNER,0.36071960598544206,1,0.3333333333333333
ALNAME-GREG-WREN,0.8696919840447503,1,0.3333333333333333
ALNAME-GUIN-KEN,0.5196608332186672,1,0.3333333333333333
ALNAME-H-MAC-GIPSON,0.735048956871435,1,0.3333333333333333
ALNAME-HALL-ALBERT,1.0861489382564586,1,0.3333333333333333
ALNAME-HAMMETT-SETH,2.350102356737402,1,0.3333333333333333
ALNAME-HAMMON-MICKY,-0.25658903515232934,1,0.3333333333333333
ALNAME-HAMMONDS-DAVID,-0.2364901294997762,1,0.3333333333333333
ALNAME-HANK-SANDERS,-0.3762962018919316,1,0.3333333333333333
ALNAME-HANSBERRY-CATHY,0.25658903515232934,1,0.3333333333333333
ALNAME-HANSON-QUINTON,-0.6423375840385768,1,0.3333333333333333
