cycle,chamber,district,D,R,context_cmo,candidate_pair_component,unattributed_race_residual
1994,house,1,UNRESOLVED-AL-1994-house-1-D-STARKEY,UNRESOLVED-AL-1994-house-1-R-PHILLIPS,19.672974076715775,1.7884521887923428,17.884521887923434
1994,house,3,UNRESOLVED-AL-1994-house-3-D-BLACK,UNRESOLVED-AL-1994-house-3-R-SMALLWOOD,5.5394971080319095,0.503590646184719,5.0359064618471905
1994,house,4,UNRESOLVED-AL-1994-house-4-D-SMITH,UNRESOLVED-AL-1994-house-4-R-PAPUCCI,-11.188348198012651,-1.0171225634556953,-10.171225634556956
1994,house,6,UNRESOLVED-AL-1994-house-6-D-SCHMITZ,UNRESOLVED-AL-1994-house-6-R-JORGENSEN,13.35949944180605,1.2144999492550952,12.144999492550955
1994,house,7,UNRESOLVED-AL-1994-house-7-D-LETSON,UNRESOLVED-AL-1994-house-7-R-RANDOLPH,-30.00373947362599,-2.7276126794205444,-27.276126794205446
1994,house,8,UNRESOLVED-AL-1994-house-8-D-DUKES,UNRESOLVED-AL-1994-house-8-R-NEW,59.54725045589275,5.413386405081158,54.133864050811596
1994,house,12,UNRESOLVED-AL-1994-house-12-D-MORRISON,UNRESOLVED-AL-1994-house-12-R-BOWLING,-9.539397454386062,-0.8672179503987328,-8.67217950398733
1994,house,15,UNRESOLVED-AL-1994-house-15-D-SHARP,UNRESOLVED-AL-1994-house-15-R-CURRY,-8.524501167539768,-0.7749546515945241,-7.7495465159452435
1994,house,17,UNRESOLVED-AL-1994-house-17-D-MILLICAN,UNRESOLVED-AL-1994-house-17-R-HARPER,-9.953415662754395,-0.9048559693413085,-9.048559693413086
1994,house,19,UNRESOLVED-AL-1994-house-19-D-HALL,UNRESOLVED-AL-1994-house-19-R-ANDERSON,16.508843217016135,1.5008039288196484,15.008039288196487
1994,house,26,UNRESOLVED-AL-1994-house-26-D-MCDANIEL,UNRESOLVED-AL-1994-house-26-R-HOLCOMB,-5.023064423566176,-0.45664222032419766,-4.566422203241978
1994,house,27,UNRESOLVED-AL-1994-house-27-D-MURPHREE,UNRESOLVED-AL-1994-house-27-R-MARTIN,0.033136075526527975,0.0030123705024116335,0.03012370502411634
1994,house,28,UNRESOLVED-AL-1994-house-28-D-FORD,UNRESOLVED-AL-1994-house-28-R-O-BARR,-5.583791476781101,-0.5076174069801,-5.076174069801001
