state_code,cycle,chamber,strict_races,presidential_context_complete,demographics_complete,model_eligible,scored_war,model_run_id,code_version
FL,2022,lower,67,67,67,67,67,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
FL,2022,upper,23,23,23,23,23,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2018,lower,68,68,68,68,68,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2018,upper,23,23,23,23,23,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2020,lower,86,86,86,86,86,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2020,upper,28,28,28,28,28,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2022,lower,86,86,86,86,86,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
GA,2022,upper,26,26,26,26,26,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2018,lower,85,85,85,85,85,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2018,upper,16,16,16,16,16,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2020,lower,60,60,60,60,60,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2020,upper,8,8,8,8,8,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2022,lower,46,46,46,46,46,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
KY,2022,upper,8,8,8,8,8,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
LA,2019,lower,15,15,15,15,15,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
LA,2019,upper,4,4,4,4,4,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2018,lower,117,117,117,117,117,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2018,upper,16,16,16,16,16,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2020,lower,80,80,80,80,80,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2020,upper,10,10,10,10,10,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2022,lower,69,69,69,69,69,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MO,2022,upper,11,11,11,11,11,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MS,2019,lower,24,5,24,5,5,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
MS,2019,upper,16,4,16,4,4,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2018,lower,117,117,117,117,117,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2018,upper,50,50,50,50,50,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2020,lower,107,107,107,107,107,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2020,upper,49,49,49,49,49,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2022,lower,81,81,81,81,81,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
NC,2022,upper,35,35,35,35,35,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2018,lower,73,73,73,73,73,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2018,upper,18,18,18,18,18,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2020,lower,36,36,36,36,36,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2020,upper,12,12,12,12,12,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2022,lower,29,29,29,29,29,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
OK,2022,upper,7,7,7,7,7,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
SC,2018,lower,45,45,45,45,45,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
SC,2020,lower,51,51,51,51,51,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
SC,2020,upper,30,30,30,30,30,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
SC,2022,lower,50,50,50,50,50,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2018,lower,73,73,73,73,73,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2018,upper,12,12,12,12,12,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2020,lower,38,38,38,38,38,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2020,upper,9,9,9,9,9,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2022,lower,36,36,36,36,36,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TN,2022,upper,8,8,8,8,8,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2018,lower,94,94,94,94,94,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2018,upper,13,13,13,13,13,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2020,lower,94,94,94,94,94,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2020,upper,13,13,13,13,13,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2022,lower,80,80,80,80,80,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
TX,2022,upper,18,18,18,18,18,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
VA,2019,lower,65,65,65,65,65,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
VA,2019,upper,20,20,20,20,20,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
