test_cycle,train_min_cycle,train_max_cycle,training_rows,test_rows,model_mae,zero_adjustment_mae,model_rmse,model_run_id,code_version
2019,2018,2018,1025,113,7.251650871677796,7.536340769612087,11.09788356914003,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
2020,2018,2019,1138,870,9.994443699655037,5.978782138663456,12.790015852070972,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
2022,2018,2020,2008,761,4.855005809169362,5.6351160305278185,6.506837892983784,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
