state_code,cycle,chamber,district,pres_2012_dem_margin,pres_2012_source,pres_2016_dem_margin,pres_2016_source,pres_2020_dem_margin,pres_2020_source,older_pres_year,recent_pres_year,current_pres_year,older_pres_margin,recent_pres_margin,current_pres_margin,national_environment_swing,environment_baseline_margin,lag_swing_from_older,lag_swing_from_recent,presidential_context_complete,model_run_id,code_version
AL,2018,lower,2,-43.30113426030808,data/processed/presidential/2018_district_presidential_features.csv,-58.719059193521744,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-43.30113426030808,-58.719059193521744,-58.719059193521744,6.495625,-52.22343419352174,-8.922299933213658,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,3,-14.21127241772113,data/processed/presidential/2018_district_presidential_features.csv,-25.49831329244008,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-14.21127241772113,-25.49831329244008,-25.49831329244008,6.495625,-19.00268829244008,-4.79141587471895,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,4,-47.3120881825322,data/processed/presidential/2018_district_presidential_features.csv,-49.978279852295145,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-47.3120881825322,-49.978279852295145,-49.978279852295145,6.495625,-43.48265485229514,3.829433330237059,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,5,-43.42974740484738,data/processed/presidential/2018_district_presidential_features.csv,-55.36846252795287,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-43.42974740484738,-55.36846252795287,-55.36846252795287,6.495625,-48.87283752795287,-5.443090123105485,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,7,-34.863858536129044,data/processed/presidential/2018_district_presidential_features.csv,-65.79720948312769,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-34.863858536129044,-65.79720948312769,-65.79720948312769,6.495625,-59.301584483127684,-24.43772594699864,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,8,-27.867812083249262,data/processed/presidential/2018_district_presidential_features.csv,-33.187473577040855,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-27.867812083249262,-33.187473577040855,-33.187473577040855,6.495625,-26.691848577040854,1.175963506208408,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,10,-20.94943327279442,data/processed/presidential/2018_district_presidential_features.csv,-18.184782626673613,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-20.94943327279442,-18.184782626673613,-18.184782626673613,6.495625,-11.689157626673612,9.260275646120807,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,15,-11.05304871853476,data/processed/presidential/2018_district_presidential_features.csv,-6.500904260342555,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-11.05304871853476,-6.500904260342555,-6.500904260342555,6.495625,-0.005279260342554437,11.047769458192205,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,18,-38.53772567003015,data/processed/presidential/2018_district_presidential_features.csv,-57.83922194917574,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-38.53772567003015,-57.83922194917574,-57.83922194917574,6.495625,-51.34359694917573,-12.805871279145585,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,20,-41.24259362138389,data/processed/presidential/2018_district_presidential_features.csv,-39.31015699852439,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-41.24259362138389,-39.31015699852439,-39.31015699852439,6.495625,-32.81453199852439,8.428061622859502,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,21,-30.227275912037555,data/processed/presidential/2018_district_presidential_features.csv,-28.634415501009546,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-30.227275912037555,-28.634415501009546,-28.634415501009546,6.495625,-22.138790501009545,8.08848541102801,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,27,-59.24265653629755,data/processed/presidential/2018_district_presidential_features.csv,-70.25748147193474,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-59.24265653629755,-70.25748147193474,-70.25748147193474,6.495625,-63.761856471934735,-4.519199935637182,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,28,-16.906779333186947,data/processed/presidential/2018_district_presidential_features.csv,-21.59047220154562,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-16.906779333186947,-21.59047220154562,-21.59047220154562,6.495625,-15.094847201545619,1.8119321316413277,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,29,-55.185502898103735,data/processed/presidential/2018_district_presidential_features.csv,-68.11432224698567,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-55.185502898103735,-68.11432224698567,-68.11432224698567,6.495625,-61.61869724698566,-6.433194348881926,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,30,-62.84503085466262,data/processed/presidential/2018_district_presidential_features.csv,-69.49293535293714,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-62.84503085466262,-69.49293535293714,-69.49293535293714,6.495625,-62.997310352937134,-0.1522794982745168,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,32,20.846307589772383,data/processed/presidential/2018_district_presidential_features.csv,14.580797589396836,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,20.846307589772383,14.580797589396836,14.580797589396836,6.495625,21.076422589396834,0.23011499962445114,6.495624999999999,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,33,-25.568682560330224,data/processed/presidential/2018_district_presidential_features.csv,-36.43247302114352,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-25.568682560330224,-36.43247302114352,-36.43247302114352,6.495625,-29.936848021143522,-4.368165460813298,6.495625,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,36,-45.32163921354478,data/processed/presidential/2018_district_presidential_features.csv,-53.72169838078851,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-45.32163921354478,-53.72169838078851,-53.72169838078851,6.495625,-47.226073380788506,-1.9044341672437284,6.495625000000004,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,37,-24.72538983740279,data/processed/presidential/2018_district_presidential_features.csv,-40.25776730604888,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-24.72538983740279,-40.25776730604888,-40.25776730604888,6.495625,-33.76214230604889,-9.036752468646096,6.495624999999997,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
AL,2018,lower,38,-32.675853571804566,data/processed/presidential/2018_district_presidential_features.csv,-40.16217682320144,data/processed/presidential/2018_district_presidential_features.csv,,,2012,2016,2016,-32.675853571804566,-40.16217682320144,-40.16217682320144,6.495625,-33.666551823201445,-0.9906982513968785,6.495624999999997,True,WAR-SOUTH-V4-20B574D955B9BF08B704,88878b973fdac3cee95a8d8648da321e38e0021c
