cycle,chamber,district,party,votes,candidate,canonical_source,person_id,canonical_candidate_id,incumbent,winner,candidate_code,expected_cmo_total_oof,cmo_total_oof,expected_cmo_total_cycle_holdout,cmo_total_cycle_holdout,expected_cmo_total_district_grouped,cmo_total_district_grouped,expected_cmo_total_final,cmo_total_final,cmo_total_stability_low,cmo_total_stability_high,expected_cmo_resource_adjusted_oof,cmo_resource_adjusted_oof,expected_cmo_resource_adjusted_cycle_holdout,cmo_resource_adjusted_cycle_holdout,expected_cmo_resource_adjusted_district_grouped,cmo_resource_adjusted_district_grouped,expected_cmo_resource_adjusted_final,cmo_resource_adjusted_final,cmo_resource_adjusted_stability_low,cmo_resource_adjusted_stability_high,expected_cmo_fundraising_adjusted_oof,cmo_fundraising_adjusted_oof,expected_cmo_fundraising_adjusted_cycle_holdout,cmo_fundraising_adjusted_cycle_holdout,expected_cmo_fundraising_adjusted_district_grouped,cmo_fundraising_adjusted_district_grouped,expected_cmo_fundraising_adjusted_final,cmo_fundraising_adjusted_final,cmo_fundraising_adjusted_stability_low,cmo_fundraising_adjusted_stability_high,raw_overperformance_x,candidate_cmo_total_oof,candidate_cmo_total_cycle_holdout,candidate_cmo_total_district_grouped,candidate_cmo_total_final,candidate_cmo_resource_adjusted_oof,candidate_cmo_resource_adjusted_cycle_holdout,candidate_cmo_resource_adjusted_district_grouped,candidate_cmo_resource_adjusted_final,candidate_cmo_fundraising_adjusted_oof,candidate_cmo_fundraising_adjusted_cycle_holdout,candidate_cmo_fundraising_adjusted_district_grouped,candidate_cmo_fundraising_adjusted_final,candidate_cmo_total_stability_low,candidate_cmo_total_stability_high,candidate_cmo_resource_adjusted_stability_low,candidate_cmo_resource_adjusted_stability_high,candidate_cmo_fundraising_adjusted_stability_low,candidate_cmo_fundraising_adjusted_stability_high,candidate_cmo_specification_range,candidate_cmo_sign_consistent,candidate_war_oof,candidate_war_final,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,dem_incumbent,rep_incumbent,core_index_margin,core_index_offices,core_index_complete,statewide_index_margin,raw_overperformance_y,nonwhite_share,white_college_share,log_spending_ratio_d_to_r,finance_complete,log_fundraising_ratio_d_to_r,ftm_finance_complete,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,cmo_geography_low,cmo_geography_high,cmo_geography_mean,cmo_geography_range,robust_cmo_median,cmo_method_range,robust_positive,district_context,abortion_position,economic_ideology,guns_position,labor_position,social_ideology,available_issue_dimensions,issue_ideology_mean,shor_match_status,shor_match_method,shor_similarity,shor_suggested_name,shor_u_id,shor_np_score,shor_np_score_min,shor_np_score_max,shor_al_dem_conservative_percentile,shor_reference_caucus_n,shor_served_by_election,shor_pre_election_service_years,shor_first_observed_service_year,our_issue_conservatism,our_issue_axes,our_mixed_axes,ideal_point,chamber_percentile,our_leg_dem_conservative_percentile,votes_used,party_loyalty_rate,cross_party_voting_rate,legislative_score_available,our_issue_conservative_percentile,issue_percentile_gap_ours_minus_shor,legislative_percentile_gap_ours_minus_shor,shor_temporal_status,considerable_issue_disagreement,considerable_legislative_disagreement,maximum_absolute_gap
2010,senate,7,D,20819.0,JEFF ENFINGER,alabama_sos,ALPERSON-JEFF-ENFINGER,AL-2010-senate-7-D-JEFF-ENFINGER,0,0,AL-2010-senate-7-D-JEFF-ENFINGER,-7.257318339377319,13.001550723768778,-47.730794846246,53.47502723063746,-4.955357529266453,10.699589913657912,-4.897272071150363,10.641504455541822,-33.57194367757083,59.57504512510839,-7.07056247254979,12.81479485694125,-43.701027362080346,49.445259746471805,-4.916850585231995,10.661082969623454,-4.689003607386943,10.433235991778403,-30.410973378445213,56.04056309232771,-0.846102962789252,6.590335347180711,-39.68582187585593,45.43005426024739,0.7749053968057575,4.969326987585702,1.3850632714861062,4.359169112905353,-41.04123039582819,54.22190109018961,5.744232384391459,13.001550723768778,53.47502723063746,10.699589913657912,10.641504455541822,12.81479485694125,49.445259746471805,10.661082969623454,10.433235991778403,6.590335347180711,45.43005426024739,4.969326987585702,4.359169112905353,-33.57194367757083,59.57504512510839,-30.410973378445213,56.04056309232771,-41.04123039582819,54.22190109018961,6.411215376588067,True,13.001550723768778,10.641504455541822,20819.0,25333.0,46152.0,-9.780724562315823,True,False,True,-15.524956946707285,2,True,-15.524956946707285,5.744232384391459,,,,False,0.254408789166283,True,,,,,,,,,,,,,,,,,,,,,12.745048860255167,13.001550723768784,12.808286303555406,0.2565018635136145,13.001550723768778,42.77543731697955,True,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Enfinger, Jeff",AL1999U035,-0.022,-0.022,-0.022,81.81818181818183,22.0,True,7.0,2000.0,-0.29,4.0,0.0,,,,,,,0,8.333333333333332,-73.4848484848485,,pre_election_service_available,True,False,73.4848484848485
2010,senate,27,D,17377.0,T. D. (Ted) LITTLE,alabama_sos,ALPERSON-T-D-TED-LITTLE,AL-2010-senate-27-D-T-D-TED-LITTLE,1,0,AL-2010-senate-27-D-T-D-TED-LITTLE,17.986332047491203,-15.497297298347045,-26.82855029207398,29.31758504121814,19.790357023785752,-17.301322274641592,18.6117173658994,-16.12268261675524,-62.07079169968665,31.07619710299257,17.81024771164651,-15.32121296250235,-23.740521464144265,26.229556213288426,19.5311358158392,-17.042101066695032,18.354045176286228,-15.865010427142067,-58.54698119788881,27.90455527288411,16.745816406515996,-14.256781657371835,-29.378909690489607,31.867944439633767,18.4705921773848,-15.981557428240642,17.69401718621617,-15.204982437072008,-61.88834740038074,33.37478408563706,2.48903474914416,-15.497297298347045,29.31758504121814,-17.301322274641592,-16.12268261675524,-15.32121296250235,26.229556213288426,-17.042101066695032,-15.865010427142067,-14.256781657371835,31.867944439633767,-15.981557428240642,-15.204982437072008,-62.07079169968665,31.07619710299257,-58.54698119788881,27.90455527288411,-61.88834740038074,33.37478408563706,1.2405156409752074,True,-15.497297298347045,-16.12268261675524,17377.0,21243.0,38620.0,-10.010357327809425,True,True,False,-12.499392076953583,2,True,-12.499392076953583,2.48903474914416,,,,False,,False,,,,,,,,,,,,,,,,,,,,,-16.00772308713934,-15.49729729834704,-15.898073209146844,0.5104257887922987,-15.497297298347045,46.61890731585973,False,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Little, T.D.",AL1996U008,-0.098,-0.098,-0.098,81.81818181818183,22.0,True,15.0,1996.0,-0.28,4.0,0.0,-0.4324163919951752,51.61290322580645,85.71428571428571,41.0,0.8780487804878049,0.2105263157894736,1,16.666666666666664,-65.15151515151516,3.896103896103881,pre_election_service_available,True,False,65.15151515151516
2014,house,83,D,5257.0,"George ""Tootie"" Bandy",alabama_sos,ALPERSON-GEORGE-TOOTIE-BANDY,AL-2014-house-83-D-GEORGE-TOOTIE-BANDY,1,1,AL-2014-house-83-D-GEORGE-TOOTIE-BANDY,37.32307176708755,-9.721247949003724,15.522076937228746,12.079746880855076,38.18537027240399,-10.583546454320173,38.30497488955824,-10.703151071474416,-56.29474235034333,36.85224645233588,37.43597437881084,-9.834150560727018,14.950233378260688,12.651590439823137,37.09866070832094,-9.49683689023712,38.38591428698927,-10.784090468905449,-53.05991879611348,33.39161767465944,34.5977011255892,-6.995877307505374,16.382068136525785,11.219755681558038,34.86852407043591,-7.266700252352088,35.64673795276562,-8.044914134681797,-54.62744305051427,40.635688435503525,27.601823818083822,-9.721247949003724,12.079746880855076,-10.583546454320173,-10.703151071474416,-9.834150560727018,12.651590439823137,-9.49683689023712,-10.784090468905449,-6.995877307505374,11.219755681558038,-7.266700252352088,-8.044914134681797,-56.29474235034333,36.85224645233588,-53.05991879611348,33.39161767465944,-54.62744305051427,40.635688435503525,2.838273253221644,True,-9.721247949003724,-10.703151071474416,5257.0,2752.0,8009.0,31.27731302284929,True,True,False,3.675489204765471,2,True,3.675489204765471,27.601823818083822,0.635010672780457,0.1847275031685678,0.6990111610370896,True,0.1324034742957659,True,7021.365884710863,8144.703889986592,15166.069774697457,-7.406915713587626,0.2192424933453544,True,,,,,,,,,,,,,,,-11.54237472522821,-9.721247949003718,-11.17649295857412,1.8211267762244925,-9.721247949003724,22.663293335175247,False,majority_nonwhite,,,,,,,,matched,normalized_exact,100.0,"Bandy, George",AL1996L029,-0.73,-0.73,-0.73,7.894736842105263,38.0,True,19.0,1996.0,-0.46468253968253964,12.0,1.0,-1.2700198505745612,22.22222222222222,70.96774193548387,221.0,0.9004524886877828,0.0601503759398496,1,25.0,17.105263157894736,63.07300509337861,pre_election_service_available,False,True,63.07300509337861
2022,house,85,D,5668.0,Dexter Grimsley,alabama_sos,ALPERSON-DEXTER-GRIMSLEY,AL-2022-house-85-D-DEXTER-GRIMSLEY,1,0,AL-2022-house-85-D-DEXTER-GRIMSLEY,30.268953906747704,-2.3002502382142467,35.50383068124533,-7.535127012711875,30.11088385149849,-2.142180182965035,30.138747704980304,-2.1700440364468463,-48.873744639553856,44.27324416312536,29.411282819016364,-1.4425791504829064,33.014188295793915,-5.045484627260457,29.64083143861624,-1.6721277700827812,29.57798731555613,-1.6092836470226717,-44.66834738586937,41.78318908490356,28.075144927210538,-0.1064412586770799,31.937864706670908,-3.96916103813745,27.98413783428179,-0.0154341657483314,28.067903964839022,-0.0992002963055647,-47.73800700168598,47.52512448433182,27.968703668533458,-2.3002502382142467,-7.535127012711875,-2.142180182965035,-2.1700440364468463,-1.4425791504829064,-5.045484627260457,-1.6721277700827812,-1.6092836470226717,-0.1064412586770799,-3.96916103813745,-0.0154341657483314,-0.0992002963055647,-48.873744639553856,44.27324416312536,-44.66834738586937,41.78318908490356,-47.73800700168598,47.52512448433182,2.1938089795371667,True,-2.3002502382142467,-2.1700440364468463,5668.0,6665.0,12333.0,-8.08400227033163,True,True,False,-36.05270593886509,2,True,-36.05270593886509,27.968703668533458,0.5001076658053403,0.2441696312609407,0.0,True,,False,,,,,,,6938.892052787063,12390.274070425392,19329.166123212453,-28.20288253972709,0.4466766044478504,True,,7309.376427026436,11823.045494671283,19132.42192169772,-23.591728669364024,0.3476097530468888,True,4.611153870363065,-2.300250238214254,-0.3458212363237862,-0.7430494783138748,1.9544290018904675,-2.3002502382142467,5.39294682974684,False,majority_nonwhite,,,,,,,,matched,normalized_exact,100.0,"Grimsley, Dexter",AL2011L085,-0.567,-0.567,-0.567,39.39393939393939,33.0,True,8.0,2011.0,0.03755555555555555,10.0,3.0,-1.7292980537242282,12.962962962962962,47.82608695652174,353.0,0.9376770538243626,0.0422535211267605,1,100.0,60.60606060606061,8.432147562582351,pre_election_service_available,True,False,60.60606060606061
2010,house,37,D,8106.0,RICHARD LAIRD,alabama_sos,ALPERSON-RICHARD-LAIRD,AL-2010-house-37-D-RICHARD-LAIRD,1,1,AL-2010-house-37-D-RICHARD-LAIRD,18.96387433493586,9.16427385082497,-25.125356342135493,53.253504527896325,20.798354721057034,7.329793464703794,19.626504419978616,8.501643765782212,-37.40922055051464,55.73776825216458,18.92268498137038,9.205463204390448,-21.98543429700908,50.11358248276991,20.554349680985634,7.573798504775194,19.42177461503775,8.706373570723077,-34.02030503099601,52.43123143977691,16.40084597143531,11.72730221432552,-29.676938310247017,57.805086496007846,17.728954849376088,10.39919333638474,17.059021238887905,11.069126946872924,-35.90426352868338,59.35886795733442,28.12814818576083,9.16427385082497,53.253504527896325,7.329793464703794,8.501643765782212,9.205463204390448,50.11358248276991,7.573798504775194,8.706373570723077,11.72730221432552,57.805086496007846,10.39919333638474,11.069126946872924,-37.40922055051464,55.73776825216458,-34.02030503099601,52.43123143977691,-35.90426352868338,59.35886795733442,2.5630283635005497,True,9.16427385082497,8.501643765782212,8106.0,7011.0,15117.0,7.243500694582258,True,True,False,-20.88464749117857,2,True,-20.88464749117857,28.12814818576083,,,,False,,False,,,,,,,,,,,,,,,,,,,,,9.164273850824973,9.2977438329388,9.26846579516506,0.1334699821138265,9.16427385082497,45.92371106319253,True,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Laird, Richard Sr.",AL1996L091,0.414,0.414,0.414,100.0,59.0,True,15.0,1996.0,0.24962962962962965,23.0,5.0,0.2251505850656694,60.19417475728155,100.0,49.0,0.6938775510204082,0.5238095238095238,1,45.45454545454545,-54.54545454545455,0.0,pre_election_service_available,True,False,54.54545454545455
2010,house,2,D,6284.0,MIKE CURTIS,alabama_sos,ALPERSON-MIKE-CURTIS,AL-2010-house-2-D-MIKE-CURTIS,1,0,AL-2010-house-2-D-MIKE-CURTIS,18.579047260576687,-0.4316537490801799,-25.125356342135493,43.272749853632,20.715887497590167,-2.56849398609366,19.626504419978616,-1.4791109084821097,-47.005148150419785,46.14184065225943,18.493397141582506,-0.346003630085999,-21.98543429700908,40.13282780850558,20.49800849939614,-2.3506149878996325,19.42177461503775,-1.274381103541245,-43.571771865472456,42.87976460530047,15.531950800793256,2.6154427107032507,-29.676938310247017,47.82433182174353,18.449748985759552,-0.3023554742630452,17.059021238887905,1.088372272608602,-45.01612303230565,50.24700845371215,18.147393511496507,-0.4316537490801799,43.272749853632,-2.56849398609366,-1.4791109084821097,-0.346003630085999,40.13282780850558,-2.3506149878996325,-1.274381103541245,2.6154427107032507,47.82433182174353,-0.3023554742630452,1.088372272608602,-47.005148150419785,46.14184065225943,-43.571771865472456,42.87976460530047,-45.01612303230565,50.24700845371215,3.0470964597834307,True,-0.4316537490801799,-1.4791109084821097,6284.0,7599.0,13883.0,-9.472016134841173,True,True,False,-27.61940964633768,2,True,-27.61940964633768,18.147393511496507,,,,False,,False,,,,,,,,,,,,,,,,,,,,,-0.4316537490801764,-0.2467817555824467,-0.284608402092271,0.1848719934977296,-0.4316537490801799,45.841243839725664,False,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Curtis, Mike",AL2007L064,-0.146,-0.146,-0.146,62.71186440677966,59.0,True,4.0,2007.0,0.36000000000000004,2.0,0.0,-1.0386787914140918,5.825242718446602,10.638297872340425,49.0,0.979591836734694,0.05,1,54.54545454545454,-8.166409861325121,-52.07356653443924,pre_election_service_available,False,True,52.07356653443924
2010,house,21,D,6201.0,RANDY HINSHAW,alabama_sos,ALPERSON-RANDY-HINSHAW,AL-2010-house-21-D-RANDY-HINSHAW,1,0,AL-2010-house-21-D-RANDY-HINSHAW,18.96387433493586,1.1147249354428226,-25.125356342135493,45.20395561251418,19.32929423976021,0.7493050306184728,19.626504419978616,0.4520948504000657,-45.45876946589679,47.68821933678243,18.92268498137038,1.155914289008301,-21.98543429700908,42.06403356738776,19.123911168813848,0.954688101564834,19.42177461503775,0.6568246553409303,-42.06985394637816,44.38168252439476,16.40084597143531,3.677753298943372,-29.676938310247017,49.7555375806257,16.376844887553723,3.701754382824959,17.059021238887905,3.019578031490777,-43.95381244406553,51.30931904195227,20.07859927037868,1.1147249354428226,45.20395561251418,0.7493050306184728,0.4520948504000657,1.155914289008301,42.06403356738776,0.954688101564834,0.6568246553409303,3.677753298943372,49.7555375806257,3.701754382824959,3.019578031490777,-45.45876946589679,47.68821933678243,-42.06985394637816,44.38168252439476,-43.95381244406553,51.30931904195227,2.5630283635005497,True,1.1147249354428226,0.4520948504000657,6201.0,6654.0,12855.0,-3.5239206534422403,True,True,False,-23.60251992382092,2,True,-23.60251992382092,20.07859927037868,,,,False,,False,,,,,,,,,,,,,,,,,,,,,1.114724935442826,1.248194917556653,1.218916879782912,0.1334699821138265,1.1147249354428226,44.454650581895706,True,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Hinshaw, Randy",AL1996L056,-0.113,-0.113,-0.113,69.49152542372882,59.0,True,11.0,1996.0,-0.23863636363636365,4.0,0.0,-0.9682265705100216,15.53398058252427,23.404255319148938,46.0,1.0,0.0,1,18.181818181818183,-51.30970724191063,-46.08727010457988,pre_election_service_available,True,True,51.30970724191063
2010,senate,10,D,17459.0,LARRY MEANS,alabama_sos,ALPERSON-LARRY-MEANS,AL-2010-senate-10-D-LARRY-MEANS,1,0,AL-2010-senate-10-D-LARRY-MEANS,19.67705994721864,-5.716325595739377,-26.82855029207398,40.78928464355324,18.44195990670671,-4.481225555227454,18.6117173658994,-4.650983014420145,-52.289819997078986,40.85716880560023,19.47596664084889,-5.515232289369635,-23.740521464144265,37.701255815623526,18.347169505193875,-4.3864351537146185,18.354045176286228,-4.393310824806971,-48.741000524756096,37.710535946016826,18.76818343817009,-4.807449086690841,-29.378909690489607,43.33964404196887,17.148968676990087,-3.1882343255108303,17.69401718621617,-3.733282834736912,-52.439014829699744,42.82411665631805,13.960734351479257,-5.716325595739377,40.78928464355324,-4.481225555227454,-4.650983014420145,-5.515232289369635,37.701255815623526,-4.3864351537146185,-4.393310824806971,-4.807449086690841,43.33964404196887,-3.1882343255108303,-3.733282834736912,-52.289819997078986,40.85716880560023,-48.741000524756096,37.710535946016826,-52.439014829699744,42.82411665631805,0.908876509048536,True,-5.716325595739377,-4.650983014420145,17459.0,20249.0,37708.0,-7.398960432799406,True,True,False,-21.359694784278663,2,True,-21.359694784278663,13.960734351479257,,,,False,,False,,,,,,,,,,,,,,,,,,,,,-5.88083381139678,-5.716325595739388,-5.840743091428974,0.164508215657392,-4.481225555227454,46.505610239292615,False,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Means, Larry",AL1999U030,0.143,0.143,0.143,86.36363636363636,22.0,True,12.0,1999.0,0.08956521739130432,21.0,3.0,-0.6691250833989427,48.38709677419355,78.57142857142857,31.0,1.0,0.0,1,41.66666666666667,-44.69696969696969,-7.79220779220779,pre_election_service_available,True,False,44.69696969696969
2010,house,22,D,5177.0,BUTCH TAYLOR,alabama_sos,ALPERSON-BUTCH-TAYLOR,AL-2010-house-22-D-BUTCH-TAYLOR,0,0,AL-2010-house-22-D-BUTCH-TAYLOR,4.1449141422249545,-3.985171615082357,-42.158708504303945,42.31845103144654,2.921884746647139,-2.762142219504541,3.2727461077111126,-3.113003580568515,-50.55866601642197,42.58832278625725,4.45415534048947,-4.294412813346872,-38.2133828181611,38.3731253453037,3.007457592490411,-2.8477150653478134,3.4974212140130048,-3.337678686870407,-47.520181048733335,38.93135542203959,7.618201747369538,-7.45845922022694,-36.434784647949705,36.5945271750923,7.763449053714135,-7.603706526571537,6.998947046193063,-6.839204519050465,-55.09002496323584,40.17310652278196,0.1597425271425976,-3.985171615082357,42.31845103144654,-2.762142219504541,-3.113003580568515,-4.294412813346872,38.3731253453037,-2.8477150653478134,-3.337678686870407,-7.45845922022694,36.5945271750923,-7.603706526571537,-6.839204519050465,-50.55866601642197,42.58832278625725,-47.520181048733335,38.93135542203959,-55.09002496323584,40.17310652278196,3.473287605144584,True,-3.985171615082357,-3.113003580568515,5177.0,9523.0,14700.0,-29.564625850340136,True,False,False,-29.724368377482733,2,True,-29.724368377482733,0.1597425271425976,,,,False,0.6548157381639567,True,,,,,,,,,,,,,,,,,,,,,-3.985171615082344,-3.830967771481834,-3.875236805133743,0.1542038436005102,-2.762142219504541,46.3036226465289,False,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Taylor, Butch",AL2007L097,-0.257,-0.257,-0.257,50.84745762711864,59.0,True,4.0,2007.0,-0.30363636363636365,4.0,0.0,-1.1094695035876387,3.883495145631068,6.382978723404255,46.0,0.9130434782608696,0.0,1,9.090909090909092,-41.75654853620954,-44.46447890371438,pre_election_service_available,True,True,44.46447890371438
2010,house,91,D,5383.0,TERRY SPICER,alabama_sos,ALPERSON-TERRY-SPICER,AL-2010-house-91-D-TERRY-SPICER,1,0,AL-2010-house-91-D-TERRY-SPICER,21.44813805920412,-21.62068555471084,-25.125356342135493,24.95280884662877,19.03560610201374,-19.208153597520464,19.626504419978616,-19.79905191548534,-68.19417995605045,24.95280884662877,21.361358000239665,-21.53390549574639,-21.98543429700908,21.812886801502355,18.904229273827827,-19.07677676933455,19.42177461503775,-19.594322110544475,-64.75967373113285,21.691862739640072,18.665739244806183,-18.838286740312903,-29.676938310247017,29.50439081474029,15.676895753847091,-15.849443249353817,17.059021238887905,-17.231568734394628,-66.4698524833218,28.793279002696,-0.1725474955067234,-21.62068555471084,24.95280884662877,-19.208153597520464,-19.79905191548534,-21.53390549574639,21.812886801502355,-19.07677676933455,-19.594322110544475,-18.838286740312903,29.50439081474029,-15.849443249353817,-17.231568734394628,-68.19417995605045,24.95280884662877,-64.75967373113285,21.691862739640072,-66.4698524833218,28.793279002696,2.782398814397933,True,-21.62068555471084,-19.79905191548534,5383.0,9754.0,15137.0,-28.87626346039506,True,True,False,-28.70371596488833,2,True,-28.70371596488833,-0.1725474955067234,,,,False,,False,,,,,,,,,,,,,,,,,,,,,-21.63048952576952,-21.62068555471085,-21.62751319161839,0.0098039710586732,-19.208153597520464,46.57349440133961,False,mixed_or_demographics_missing,,,,,,,,matched,normalized_exact,100.0,"Spicer, Terry",AL1999L066,-0.128,-0.128,-0.128,67.79661016949152,59.0,True,12.0,1999.0,-0.124,22.0,4.0,-0.7004824218588621,38.83495145631068,68.08510638297872,37.0,0.918918918918919,0.1428571428571428,1,27.27272727272727,-40.52388289676425,0.2884962134872069,pre_election_service_available,True,False,40.52388289676425
