state,year,election_date,election_stage,race_id,chamber,district,office,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_candidate_count,rep_candidate_count,candidate_count,winner_name,winner_party,stage_total_votes,source_files,race_index_source,selected_final_stage,is_final_stage
LA,1995,19951021,first_round,8132,senate,1,State Senator --  1st Senatorial District,,Lynn Dean,,19794.0,2,1,3,Lynn Dean,R,42704.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8132.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8133,senate,2,State Senator --  2nd Senatorial District,,,,,3,0,3,Jon D. Johnson,D,26156.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8133.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8135,senate,4,State Senator --  4th Senatorial District,,,,,2,0,2,Paulette R. Irons,D,25804.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8135.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8138,senate,7,State Senator --  7th Senatorial District,,Lynn Cheramie,,6371.0,2,1,3,Francis C. Heitmeier,D,25208.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8138.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8139,senate,8,State Senator --  8th Senatorial District,,,,,2,0,2,J. Chris Ullo,D,29357.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8139.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8140,senate,9,State Senator --  9th Senatorial District,,,,,0,2,2,"""Ken"" Hollis",R,36601.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8140.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8141,senate,10,State Senator -- 10th Senatorial District,,,,,0,2,2,"Arthur J. ""Art"" Lentini",R,32319.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8141.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
LA,1995,19951021,first_round,8142,senate,11,State Senator -- 11th Senatorial District,,,,,2,7,10,"Patricia ""Pat"" Brister",R,36611.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8142.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8143,senate,12,State Senator -- 12th Senatorial District,,,,,3,3,6,"B. B.  ""Sixty"" Rayburn",D,37790.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8143.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,runoff,False
LA,1995,19951021,first_round,8144,senate,13,State Senator -- 13th Senatorial District,"""Mike"" Cross","""Mike"" Branch",20002.0,23002.0,1,1,2,"""Mike"" Branch",R,43004.0,data/raw/southern_sos_elections/LA/1995/ByPrecinct_8144.csv,data/raw/southern_sos_elections/LA/1995/ElectionRaces_19951021.htm,first_round,True
