state,year,chamber,district,dem_votes,rep_votes,legislative_dem_margin,dem_candidate,rep_candidate,dem_incumbent,rep_incumbent,incumbency_balance,outcome_eligible,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,klarner_dem_votes,klarner_rep_votes,klarner_legislative_dem_margin,klarner_dem_candidate,klarner_rep_candidate,klarner_incumbency_balance,_merge,dem_vote_difference_texas_minus_klarner,rep_vote_difference_texas_minus_klarner,margin_difference_texas_minus_klarner,selected_outcome_source
TX,2014,house,134,20364.0,32092.0,-22.35778557267043,Alison Ruff,Sarah Davis,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,20364.0,32092.0,-22.35778557267043,"ruff, alison","davis, sarah",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,135,10175.0,19630.0,-31.722865291058547,Moiz Abbas,Gary Elkins,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,10175.0,19630.0,-31.722865291058547,"abbas, moiz","elkins, gary",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,136,15821.0,20862.0,-13.742060354932804,"John H. Bucy, III",Tony Dale,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,15821.0,20862.0,-13.742060354932804,"bucy, john h, iii","dale, anthony",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,137,7155.0,5211.0,15.720524017467248,Gene Wu,Morad H. Fiki,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,7155.0,5211.0,15.720524017467248,"wu, gene","fiki, morad h",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,138,8766.0,17622.0,-33.560709413369715,Fred R. Vernon,Dwayne Bohac,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,8766.0,17622.0,-33.560709413369715,"vernon, fred r","bohac, dwayne",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2014,house,139,,,,,,,,,,,,,,,,,,,,,,21802.0,0.0,100.0,"turner, sylvester",,1.0,right_only,,,,klarner_fallback
TX,2014,house,140,,,,,,,,,,,,,,,,,,,,,,8125.0,0.0,100.0,"luciowalle, armando l",,1.0,right_only,,,,klarner_fallback
TX,2014,house,141,,,,,,,,,,,,,,,,,,,,,,16162.0,0.0,100.0,"thompson, senfronia 1",,1.0,right_only,,,,klarner_fallback
TX,2014,house,142,,,,,,,,,,,,,,,,,,,,,,17602.0,0.0,100.0,"dutton, harold v, jr",,1.0,right_only,,,,klarner_fallback
TX,2014,house,143,,,,,,,,,,,,,,,,,,,,,,10610.0,0.0,100.0,"hernandez, ana l",,1.0,right_only,,,,klarner_fallback
