canonical_candidate_id,cycle,observed_issues,scored_issues,evidence_records,source_types,ideology_v3_scored_family_count,ideology_v3_model_eligible
AL-1994-house-1-D-STARKEY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-1-R-PHILLIPS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-2-D-HAMILTON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-3-D-BLACK,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-3-R-SMALLWOOD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-4-D-SMITH,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-4-R-PAPUCCI,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-5-D-CARTER,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-6-D-SCHMITZ,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-6-R-JORGENSEN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-7-D-LETSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-7-R-RANDOLPH,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-8-D-DUKES,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-8-R-NEW,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-9-D-PARKER,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-10-D-HANEY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-11-D-DRAKE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-12-D-MORRISON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-12-R-BOWLING,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-13-D-HOGAN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-14-D-GUIN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-15-D-SHARP,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-15-R-CURRY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-16-D-COLLINS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-17-D-MILLICAN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-17-R-HARPER,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-18-D-MORROW,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-19-D-HALL,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-19-R-ANDERSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-20-D-SANDERFORD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-21-D-JOHNSTON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-22-D-HALL,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-23-D-POBINSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-24-D-BURKE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-25-D-HAWK,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-26-D-MCDANIEL,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-26-R-HOLCOMB,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-27-D-MURPHREE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-27-R-MARTIN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-28-D-FORD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-28-R-O-BARR,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-29-D-PAGE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-29-R-ESTES,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-30-D-GALLIHER,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-30-R-HODGES,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-31-D-VENABLE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-32-D-BOYD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-32-R-MONTGOMERY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-33-D-JOHNSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-33-R-HATTAWAY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-34-D-WILLIS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-35-D-SHADDIX,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-35-R-SIMS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-36-D-CAMPBELL,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-36-R-ROGERS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-37-D-LAIRD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-38-D-FULLER,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-39-D-LINDSEY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-40-D-MARTIN,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-40-R-KNIGHT,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-41-D-HILL,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-42-D-SMITH,1994,1.0,1.0,1.0,1.0,0,False
AL-1994-house-42-R-BIALAS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-43-D-ROMEI,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-43-R-SANDERSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-44-D-PAYNE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-45-D-MORTON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-46-D-JONES,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-46-R-CARNS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-47-D-GAINES,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-48-D-GULAS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-48-R-HAWKINS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-49-D-HOLLADAY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-49-R-THOMAS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-50-D-SMITH,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-50-R-TOWNSEND,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-51-D-PETELOS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-52-D-ROGERS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-53-D-NEWTON,1994,2.0,2.0,2.0,1.0,0,False
AL-1994-house-53-R-BLAKE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-54-D-PERDUE,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-54-R-PEARSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-55-D-MINNIFIELD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-55-R-EVANS,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-56-D-MCADORY,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-57-D-HOUSTON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-58-D-JOHNSON,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-58-R-LELAND,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-59-D-SPRATT,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-60-D-HILLARD,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-60-R-WRIGHT,1994,0.0,0.0,0.0,0.0,0,False
AL-1994-house-61-D-LAYSON,1994,0.0,0.0,0.0,0.0,0,False
