canonical_candidate_id,person_id,canonical_name,cycle,chamber,district,canonical_party,candidate_margin_overperformance,absolute_cmo,has_issue_evidence,manual_broad_search_logged,any_manual_search_logged,accepted_votesmart_identity,manual_identity_alias,legislative_source_checked_and_present,votesmart_questionnaire_checked_and_present,votesmart_rating_checked_and_present,votesmart_endorsement_checked_and_present,latest_manual_result,identity_status,final_research_status,exhaustion_basis,neutrality_imputed,prior_status,new_evidence_source_types,restated_at_utc
AL-1994-senate-13-D-DIAL,ALPERSON-DIAL,Dial,1994,senate,13,D,91.93801780173088,91.93801780173088,False,False,False,True,False,False,True,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-14-D-GUIN,ALPERSON-GUIN,Guin,1994,house,14,D,89.46094975465718,89.46094975465718,False,False,False,True,False,False,True,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2022-house-72-D-GSL072DTRA,ALPERSON-GSL072DTRA,GSL072DTRA,2022,house,72,D,88.66012432206985,88.66012432206985,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-98-D-CLARK-BILL,ALPERSON-CLARK-BILL,"Clark, Bill",2002,house,98,D,88.58198013239276,88.58198013239276,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-6-D-BEDFORD,ALPERSON-BEDFORD,Bedford,1994,senate,6,D,88.15125980801969,88.15125980801969,False,False,False,True,False,False,True,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-16-D-COLLINS,ALPERSON-COLLINS,Collins,1994,house,16,D,86.70449163250525,86.70449163250525,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-18-D-MORROW,ALPERSON-MORROW,Morrow,1994,house,18,D,83.14531218407062,83.14531218407062,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2010-senate-29-R-GEORGE-FLOWERS,ALPERSON-GEORGE-FLOWERS,GEORGE FLOWERS,2010,senate,29,R,80.99290841073594,80.99290841073594,False,False,False,True,False,False,False,False,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-23-D-POBINSON,ALPERSON-POBINSON,Pobinson,1994,house,23,D,80.22294792574507,80.22294792574507,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2014-house-75-R-REED-INGRAM,ALPERSON-REED-INGRAM,Reed Ingram,2014,house,75,R,79.02771016005808,79.02771016005808,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-83-D-GEORGE-TOOTIE-BANDY,ALPERSON-GEORGE-TOOTIE-BANDY,"GEORGE ""TOOTIE"" BANDY",2006,house,83,D,77.47580667451328,77.47580667451328,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-39-D-LINDSEY,ALPERSON-LINDSEY,Lindsey,1994,house,39,D,76.7989351702208,76.7989351702208,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-8-D-DUKES,ALPERSON-DUKES,Dukes,1994,house,8,D,76.11150865988425,76.11150865988425,False,True,True,True,True,False,False,True,True,searched_no_new_same_cycle_evidence,verified_manual_identity,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-8-R-NEW,ALPERSON-NEW,New,1994,house,8,R,-76.11150865988425,76.11150865988425,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
