canonical_candidate_id,person_id,candidate,cycle,chamber,district,party,candidate_cmo,cmo_tail,cmo_extremity,cmo_priority_valid,identity_researchable,primitive_axis,positive_pole,negative_pole,issue_priority,research_status
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,tax_burden,increase,decrease,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,welfare_generosity,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,welfare_conditionality,strengthen_conditions,relax_conditions,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,labor_rights,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,childcare_support,expansion,restriction,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,healthcare_access,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,education_public_funding,expand,reduce,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,education_market_choice,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,environmental_protection,strengthen,weaken,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,resource_development,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,abortion_access,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,civil_social_liberty,expand,restrict,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,religion_state,accommodation_establishment,separation,1,searched
AL-2006-house-92-D-SETH-HAMMETT,ALPERSON-SETH-HAMMETT,SETH HAMMETT,2006,house,92,D,103.10805941045598,high,103.10805941045598,True,True,gun_purchase_regulation,strengthen,weaken,1,searched
