canonical_candidate_id,person_id,candidate,cycle,chamber,district,party,candidate_cmo,cmo_tail,cmo_extremity,cmo_priority_valid,identity_researchable,missing_core_issues,missing_all_issues,prior_attempts,latest_result_status,social_query,economic_query,archive_query,search_url,priority_score,tail_rank
AL-1994-house-29-D-PAGE,ALPERSON-PAGE,John G Jack Page III,1994,house,29,D,29.46886397213237,high,29.46886397213237,True,True,21,81,1,identity_resolved_no_issue_evidence,"""John G Jack Page III"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""John G Jack Page III"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""John G Jack Page III"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22John+G+Jack+Page+III%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.768863972132365,6
AL-2014-senate-16-D-CINDY-BELL,ALPERSON-CINDY-BELL,Cindy Bell,2014,senate,16,D,-29.027950057871948,low,29.027950057871948,True,True,21,81,1,searched_no_evidence,"""Cindy Bell"" Alabama candidate 2014 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Cindy Bell"" Alabama candidate 2014 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Cindy Bell"" Alabama House Senate campaign 2014",https://www.google.com/search?q=%22Cindy+Bell%22+Alabama+candidate+2014+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.327950057871945,6
AL-1994-senate-35-D-WINDOM,ALPERSON-WINDOM,Steve Windom,1994,senate,35,D,29.443587416839485,high,29.443587416839485,True,True,21,81,1,identity_resolved_no_same_cycle_directional_evidence,"""Steve Windom"" Alabama candidate 1994 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Steve Windom"" Alabama candidate 1994 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Steve Windom"" Alabama House Senate campaign 1994",https://www.google.com/search?q=%22Steve+Windom%22+Alabama+candidate+1994+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.74358741683948,7
AL-1998-house-66-R-AUST,ALPERSON-AUST,Aust,1998,house,66,R,-37.00912785271946,low,37.00912785271946,True,False,21,81,1,searched_no_evidence,"""Aust"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Aust"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Aust"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22Aust%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.309127852719456,7
AL-2002-house-28-D-FORD-CRAIG,ALPERSON-FORD-CRAIG,Craig Ford,2002,house,28,D,29.52580729693089,high,29.52580729693089,True,True,20,80,1,identity_resolved_existing_votesmart_and_legislative_evidence,"""Craig Ford"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Craig Ford"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Craig Ford"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Craig+Ford%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.52580729693089,8
AL-2002-house-3-R-BARNES-STEVEN-C,ALPERSON-BARNES-STEVEN-C,Steven C Barnes,2002,house,3,R,-28.963957144439554,low,28.963957144439554,True,True,21,81,1,identity_resolved_no_issue_evidence,"""Steven C Barnes"" Alabama candidate 2002 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Steven C Barnes"" Alabama candidate 2002 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Steven C Barnes"" Alabama House Senate campaign 2002",https://www.google.com/search?q=%22Steven+C+Barnes%22+Alabama+candidate+2002+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.26395714443955,8
AL-2014-house-24-D-BEDDINGFIELD,ALPERSON-BEDDINGFIELD,David Beddingfield,2014,house,24,D,28.90396669615592,high,28.90396669615592,True,True,21,81,1,identity_resolved_no_detailed_directional_platform_found,"""David Beddingfield"" Alabama candidate 2014 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""David Beddingfield"" Alabama candidate 2014 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""David Beddingfield"" Alabama House Senate campaign 2014",https://www.google.com/search?q=%22David+Beddingfield%22+Alabama+candidate+2014+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.203966696155916,9
AL-2010-senate-10-R-PHIL-WILLIAMS,ALPERSON-PHIL-WILLIAMS,PHIL WILLIAMS,2010,senate,10,R,-29.29930297713413,low,29.29930297713413,True,True,20,79,1,evidence_found,"""PHIL WILLIAMS"" Alabama candidate 2010 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""PHIL WILLIAMS"" Alabama candidate 2010 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""PHIL WILLIAMS"" Alabama House Senate campaign 2010",https://www.google.com/search?q=%22PHIL+WILLIAMS%22+Alabama+candidate+2010+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.249302977134136,9
AL-1998-senate-6-D-BEDFORD,ALPERSON-BEDFORD,Roger H Bedford Jr,1998,senate,6,D,29.964779976150417,high,29.964779976150417,True,True,17,77,1,detailed_directional_evidence_found,"""Roger H Bedford Jr"" Alabama candidate 1998 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Roger H Bedford Jr"" Alabama candidate 1998 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Roger H Bedford Jr"" Alabama House Senate campaign 1998",https://www.google.com/search?q=%22Roger+H+Bedford+Jr%22+Alabama+candidate+1998+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,44.06477997615042,10
AL-2014-house-24-R-LEDBETTER,ALPERSON-LEDBETTER,Nathaniel David Ledbetter,2014,house,24,R,-28.90396669615592,low,28.90396669615592,True,True,20,80,1,identity_resolved_source_scanned_no_directional_evidence,"""Nathaniel David Ledbetter"" Alabama candidate 2014 (abortion OR pro-life OR pro-choice OR marriage OR gay OR LGBT OR church OR prayer)","""Nathaniel David Ledbetter"" Alabama candidate 2014 (taxes OR business OR welfare OR labor OR union OR healthcare OR education)","""Nathaniel David Ledbetter"" Alabama House Senate campaign 2014",https://www.google.com/search?q=%22Nathaniel+David+Ledbetter%22+Alabama+candidate+2014+%28abortion+OR+pro-life+OR+pro-choice+OR+marriage+OR+gay+OR+LGBT+OR+church+OR+prayer%29,43.90396669615592,10
