county_norm,precinct_norm,office,district,district_activity,office_activity,activity_share
AUTAUGA,10 JONES COMMUNITY CENTER,State House,69.0,187,187,1.0
AUTAUGA,10 JONES COMMUNITY CENTER,State Senate,30.0,187,187,1.0
AUTAUGA,100 TRINITY METHODIST,State House,88.0,1331,1331,1.0
AUTAUGA,100 TRINITY METHODIST,State Senate,30.0,1331,1331,1.0
AUTAUGA,110 CENTRAL AL ELECTRIC,State House,69.0,210,210,1.0
AUTAUGA,110 CENTRAL AL ELECTRIC,State Senate,30.0,210,210,1.0
AUTAUGA,130 CHAMBER OF COMMERCE,State House,42.0,49,905,0.05414364640883978
AUTAUGA,130 CHAMBER OF COMMERCE,State House,88.0,856,905,0.9458563535911603
AUTAUGA,130 CHAMBER OF COMMERCE,State Senate,30.0,905,905,1.0
AUTAUGA,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,State House,69.0,444,444,1.0
AUTAUGA,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,State Senate,30.0,444,444,1.0
AUTAUGA,150 PRATTMONT BAPTIST CHURCH,State House,88.0,560,560,1.0
AUTAUGA,150 PRATTMONT BAPTIST CHURCH,State Senate,30.0,560,560,1.0
AUTAUGA,160 AUTAUGA ACADEMY,State House,42.0,792,1620,0.4888888888888889
AUTAUGA,160 AUTAUGA ACADEMY,State House,69.0,121,1620,0.07469135802469136
AUTAUGA,160 AUTAUGA ACADEMY,State House,88.0,707,1620,0.4364197530864197
AUTAUGA,160 AUTAUGA ACADEMY,State Senate,30.0,1620,1620,1.0
AUTAUGA,170 CAMELLIA BAPTIST CHURCH,State House,88.0,809,809,1.0
AUTAUGA,170 CAMELLIA BAPTIST CHURCH,State Senate,30.0,809,809,1.0
AUTAUGA,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,State House,69.0,396,396,1.0
AUTAUGA,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,State Senate,30.0,396,396,1.0
AUTAUGA,20 JOURNEY CHURCH,State House,88.0,1251,1251,1.0
AUTAUGA,20 JOURNEY CHURCH,State Senate,30.0,1251,1251,1.0
AUTAUGA,220 UPPER KINGSTON,State House,42.0,369,673,0.5482912332838039
AUTAUGA,220 UPPER KINGSTON,State House,88.0,304,673,0.45170876671619614
AUTAUGA,220 UPPER KINGSTON,State Senate,30.0,673,673,1.0
AUTAUGA,30 BILLINGSLEY GOV BUILDING,State House,42.0,220,220,1.0
AUTAUGA,30 BILLINGSLEY GOV BUILDING,State Senate,30.0,220,220,1.0
AUTAUGA,40 E MEMORIAL CHRISTIAN,State House,88.0,1442,1442,1.0
AUTAUGA,40 E MEMORIAL CHRISTIAN,State Senate,30.0,1442,1442,1.0
AUTAUGA,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,State House,42.0,280,280,1.0
AUTAUGA,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,State Senate,30.0,280,280,1.0
AUTAUGA,60 MARBURY MIDDLE SCHOOL,State House,31.0,229,359,0.637883008356546
AUTAUGA,60 MARBURY MIDDLE SCHOOL,State House,42.0,130,359,0.362116991643454
AUTAUGA,60 MARBURY MIDDLE SCHOOL,State Senate,30.0,359,359,1.0
AUTAUGA,70 PINE LEVEL CULTURAL CENTER,State House,42.0,1521,1521,1.0
AUTAUGA,70 PINE LEVEL CULTURAL CENTER,State Senate,30.0,1521,1521,1.0
AUTAUGA,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,State House,69.0,260,260,1.0
AUTAUGA,80 INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,State Senate,30.0,260,260,1.0
AUTAUGA,90 BOOTH VOLUNTEER FIRE DEPARTMENT,State House,42.0,229,410,0.5585365853658537
AUTAUGA,90 BOOTH VOLUNTEER FIRE DEPARTMENT,State House,69.0,181,410,0.44146341463414634
AUTAUGA,90 BOOTH VOLUNTEER FIRE DEPARTMENT,State Senate,30.0,410,410,1.0
AUTAUGA,ABSENTEE,State House,31.0,1,319,0.003134796238244514
AUTAUGA,ABSENTEE,State House,42.0,104,319,0.32601880877742945
AUTAUGA,ABSENTEE,State House,69.0,22,319,0.06896551724137931
AUTAUGA,ABSENTEE,State House,88.0,192,319,0.6018808777429467
AUTAUGA,ABSENTEE,State Senate,30.0,319,319,1.0
AUTAUGA,PROVISIONAL,State House,31.0,0,20,0.0
AUTAUGA,PROVISIONAL,State House,42.0,8,20,0.4
AUTAUGA,PROVISIONAL,State House,69.0,0,20,0.0
AUTAUGA,PROVISIONAL,State House,88.0,12,20,0.6
AUTAUGA,PROVISIONAL,State Senate,30.0,25,25,1.0
BALDWIN,ABSENTEE,State House,64.0,100,744,0.13440860215053763
BALDWIN,ABSENTEE,State House,66.0,24,744,0.03225806451612903
BALDWIN,ABSENTEE,State House,68.0,2,744,0.002688172043010753
BALDWIN,ABSENTEE,State House,94.0,219,744,0.29435483870967744
BALDWIN,ABSENTEE,State House,95.0,230,744,0.30913978494623656
BALDWIN,ABSENTEE,State House,96.0,169,744,0.2271505376344086
BALDWIN,ABSENTEE,State Senate,22.0,104,746,0.13941018766756033
BALDWIN,ABSENTEE,State Senate,32.0,642,746,0.8605898123324397
BALDWIN,BARNWELL VOLUNTEER FIRE DEPARTMENT,State House,94.0,958,958,1.0
BALDWIN,BARNWELL VOLUNTEER FIRE DEPARTMENT,State House,95.0,0,958,0.0
BALDWIN,BARNWELL VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,958,958,1.0
BALDWIN,BAY MINETTE CIVIC CENTER,State House,64.0,1852,1910,0.9696335078534032
BALDWIN,BAY MINETTE CIVIC CENTER,State House,66.0,58,1910,0.030366492146596858
BALDWIN,BAY MINETTE CIVIC CENTER,State Senate,22.0,1910,1910,1.0
BALDWIN,BELFOREST COMMUNITY CENTER,State House,64.0,596,701,0.8502139800285307
BALDWIN,BELFOREST COMMUNITY CENTER,State House,94.0,37,701,0.052781740370898715
BALDWIN,BELFOREST COMMUNITY CENTER,State House,96.0,68,701,0.09700427960057062
BALDWIN,BELFOREST COMMUNITY CENTER,State Senate,32.0,701,701,1.0
BALDWIN,BON SECOUR MORG,State House,95.0,585,585,1.0
BALDWIN,BON SECOUR MORG,State Senate,32.0,585,585,1.0
BALDWIN,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,State House,64.0,149,403,0.369727047146402
BALDWIN,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,State House,96.0,254,403,0.630272952853598
BALDWIN,BROMLEY VOLUNTEER FIRE DEPARTMENT SUBST,State Senate,22.0,403,403,1.0
BALDWIN,CLEAR SPG FELLOWSHIP,State House,66.0,81,81,1.0
BALDWIN,CLEAR SPG FELLOWSHIP,State Senate,22.0,81,81,1.0
BALDWIN,CROSSROADS DURANT,State House,64.0,148,298,0.4966442953020134
BALDWIN,CROSSROADS DURANT,State House,96.0,150,298,0.5033557046979866
BALDWIN,CROSSROADS DURANT,State Senate,22.0,298,298,1.0
BALDWIN,DAPHNE CIVIC CENTER,State House,96.0,4614,4614,1.0
BALDWIN,DAPHNE CIVIC CENTER,State Senate,32.0,4614,4614,1.0
BALDWIN,DAPHNE HIGH SCHOOL,State House,96.0,1121,1121,1.0
BALDWIN,DAPHNE HIGH SCHOOL,State Senate,32.0,1121,1121,1.0
BALDWIN,ELBERTA CIVIC CENTER,State House,94.0,167,746,0.22386058981233245
BALDWIN,ELBERTA CIVIC CENTER,State House,95.0,579,746,0.7761394101876675
BALDWIN,ELBERTA CIVIC CENTER,State Senate,32.0,746,746,1.0
BALDWIN,ELLISVILLE COMMUNITY CENTER,State House,64.0,224,224,1.0
BALDWIN,ELLISVILLE COMMUNITY CENTER,State Senate,32.0,224,224,1.0
BALDWIN,ELSANOR COMMUNITY,State House,64.0,41,465,0.08817204301075268
BALDWIN,ELSANOR COMMUNITY,State House,66.0,424,465,0.9118279569892473
BALDWIN,ELSANOR COMMUNITY,State Senate,22.0,465,465,1.0
BALDWIN,FAIRHOPE 3 CIRCLE CHURCH,State House,94.0,2765,2765,1.0
BALDWIN,FAIRHOPE 3 CIRCLE CHURCH,State Senate,32.0,2765,2765,1.0
BALDWIN,FAIRHOPE CIVIC CENTER,State House,94.0,4221,4221,1.0
BALDWIN,FAIRHOPE CIVIC CENTER,State Senate,32.0,4221,4221,1.0
BALDWIN,FOLEY CIVIC CENTER,State House,94.0,441,2637,0.16723549488054607
BALDWIN,FOLEY CIVIC CENTER,State House,95.0,2196,2637,0.8327645051194539
BALDWIN,FOLEY CIVIC CENTER,State Senate,32.0,2637,2637,1.0
BALDWIN,FT MORGAN VOLUNTEER FIRE DEPARTMENT 1,State House,95.0,252,252,1.0
BALDWIN,FT MORGAN VOLUNTEER FIRE DEPARTMENT 1,State Senate,32.0,252,252,1.0
BALDWIN,GATESWOOD VOLUNTEER FIRE DEPARTMENT,State House,66.0,115,115,1.0
BALDWIN,GATESWOOD VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,115,115,1.0
BALDWIN,GULF SHORES ACTIVITY,State House,95.0,2794,2794,1.0
BALDWIN,GULF SHORES ACTIVITY,State Senate,32.0,2794,2794,1.0
BALDWIN,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,State House,95.0,261,261,1.0
BALDWIN,JOSEPHINE VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,261,261,1.0
BALDWIN,LILLIAN COMMUNITY,State House,66.0,444,1837,0.2416984213391399
BALDWIN,LILLIAN COMMUNITY,State House,95.0,1393,1837,0.7583015786608601
BALDWIN,LILLIAN COMMUNITY,State Senate,22.0,344,1837,0.18726183995645074
BALDWIN,LILLIAN COMMUNITY,State Senate,32.0,1493,1837,0.8127381600435493
BALDWIN,LITTLE RIVER FERGUSON SAINT,State House,64.0,93,93,1.0
BALDWIN,LITTLE RIVER FERGUSON SAINT,State Senate,22.0,93,93,1.0
BALDWIN,LOTTIE VOLUNTEER FIRE DEPARTMENT,State House,64.0,88,88,1.0
BALDWIN,LOTTIE VOLUNTEER FIRE DEPARTMENT,State Senate,22.0,88,88,1.0
BALDWIN,LOTTIE VOLUNTEER FIRE DEPARTMENT,State Senate,32.0,0,88,0.0
