county,precinct,dem_votes,rep_votes,two_party_votes,pres_dem_margin,source_format,result_precinct_norm,match_method,accepted_match,is_non_geographic,vtd_geoid
SUMTER,WHITFIELD TRAILER,83,5,88,88.63636363636364,standard_xlsx,WHITFIELD TRAILER,review,False,False,011191
SUMTER,WARD COMMUNITY CENTER,177,67,244,45.08196721311475,standard_xlsx,WARD COMMUNITY CENTER,review,False,False,011195
SUMTER,CUBA COMMUNITY CENTER,535,223,758,41.16094986807388,standard_xlsx,CUBA COMMUNITY CENTER,review,False,False,011193
SUMTER,YORK - SUMTER RESCUE SQUAD,1142,245,1387,64.67195385724585,standard_xlsx,YORK SUMTER RESCUE SQUAD,review,False,False,011194
SUMTER,BELLAMY COMMUNITY CENTER,290,22,312,85.8974358974359,standard_xlsx,BELLAMY COMMUNITY CENTER,exact_normalized,True,False,011195
SUMTER,COATOPA BEL FIRE DEPT.,163,110,273,19.41391941391941,standard_xlsx,COATOPA BEL FIRE DEPARTMENT,fuzzy_high,True,False,011196
SUMTER,LIVINGSTON CIVIC CENTER,1271,596,1867,36.154258168184256,standard_xlsx,LIVINGSTON CIVIC CENTER,review,False,False,011197
SUMTER,BOYD TRAILER,146,37,183,59.56284153005465,standard_xlsx,BOYD TRAILER,review,False,False,011198
SUMTER,EMELLE SUMT. TOWN HALL,207,71,278,48.92086330935252,standard_xlsx,EMELLE SUMT TOWN HALL,review,False,False,011193
SUMTER,EPES COMMUNITY CENTER,272,35,307,77.1986970684039,standard_xlsx,EPES COMMUNITY CENTER,exact_normalized,True,False,0111910
SUMTER,GAINESVILLE COMMUNITY CENTER,334,30,364,83.51648351648352,standard_xlsx,GAINESVILLE COMMUNITY CENTER,review,False,False,0111910
SUMTER,GEIGER TOWN HALL,161,23,184,75.0,standard_xlsx,GEIGER TOWN HALL,review,False,False,0111912
SUMTER,PANOLA TRAILER,231,32,263,75.66539923954373,standard_xlsx,PANOLA TRAILER,review,False,False,0111913
SUMTER,ABSENTEE,408,89,497,64.1851106639839,standard_xlsx,ABSENTEE,non_geographic,False,True,
SUMTER,PROVISIONAL,0,0,0,,standard_xlsx,PROVISIONAL,non_geographic,False,True,
TALLADEGA,EASTABOGA COMMUNITY CENTER,235,474,709,-33.70944992947814,standard_xlsx,EASTABOGA COMMUNITY CENTER,review,False,False,011212
TALLADEGA,LINCOLN OLD HIGH SCHOOL GYM,919,1618,2537,-27.5522270398108,standard_xlsx,LINCOLN OLD HIGH SCHOOL GYM,review,False,False,011212
TALLADEGA,ANTIOCH BAPTIST CHURCH,629,1745,2374,-47.00926705981466,standard_xlsx,ANTIOCH BAPTIST CHURCH,review,False,False,0112110
TALLADEGA,IRONATON VOL. FIRE DEPARTMENT,133,512,645,-58.75968992248062,standard_xlsx,IRONATON VOLUNTEER FIRE DEPARTMENT,exact_normalized,True,False,011214
TALLADEGA,BRECON RECREATION CENTER,794,649,1443,10.048510048510048,standard_xlsx,BRECON RECREATION CENTER,review,False,False,0112112
TALLADEGA,SPRING STREET COMM. CENTER,575,1646,2221,-48.22152183701036,standard_xlsx,SPRING STREET COMMUNITY CENTER,review,False,False,011215
TALLADEGA,BEMISTON RECREATION CENTER,64,280,344,-62.7906976744186,standard_xlsx,BEMISTON RECREATION CENTER,review,False,False,0112112
TALLADEGA,B. N. MABRA CENTER,2441,303,2744,77.91545189504373,standard_xlsx,B N MABRA CENTER,review,False,False,0112112
TALLADEGA,KINGSTON BAPTIST CHURCH,251,79,330,52.121212121212125,standard_xlsx,KINGSTON BAPTIST CHURCH,review,False,False,0112110
TALLADEGA,TALLADEGA CO. CENTRAL HS,269,82,351,53.27635327635328,standard_xlsx,TALLADEGA COUNTY CENTRAL HS,review,False,False,011215
TALLADEGA,BETHEL BAPTIST CHURCH,545,132,677,61.00443131462334,standard_xlsx,BETHEL BAPTIST CHURCH,review,False,False,011218
TALLADEGA,WINTERBORO VOL. FIRE,634,653,1287,-1.4763014763014763,standard_xlsx,WINTERBORO VOLUNTEER FIRE,review,False,False,011219
TALLADEGA,BERNEYS STATION VFD,244,81,325,50.15384615384615,standard_xlsx,BERNEYS STATION VOLUNTEER FIRE DEPARTMENT,review,False,False,011214
TALLADEGA,LAY LAKE VOL. FIRE DEPARTMENT,43,500,543,-84.16206261510129,standard_xlsx,LAY LAKE VOLUNTEER FIRE DEPARTMENT,review,False,False,011219
TALLADEGA,ST. ANDREWS METHODIST CHURCH,173,507,680,-49.11764705882353,standard_xlsx,SAINT ANDREWS METHODIST CHURCH,review,False,False,0112110
TALLADEGA,J. CRAIG SMITH COMM. CTR,2379,3271,5650,-15.787610619469026,standard_xlsx,J CRAIG SMITH COMMUNITY CENTER,fuzzy_high,True,False,0112111
TALLADEGA,R. S. LIMBAUGH COMM. CTR,1040,1421,2461,-15.48151158065827,standard_xlsx,R S LIMBAUGH COMMUNITY CENTER,review,False,False,0112112
TALLADEGA,BON AIR CITY HALL,210,207,417,0.7194244604316546,standard_xlsx,BON AIR CITY HALL,review,False,False,0112112
TALLADEGA,OAK GROVE CITY HALL,390,748,1138,-31.45869947275923,standard_xlsx,OAK GROVE CITY HALL,review,False,False,0112112
TALLADEGA,SYCAMORE NUTRITION CENTER,162,263,425,-23.764705882352946,standard_xlsx,SYCAMORE NUTRITION CENTER,fuzzy_high,True,False,0112113
TALLADEGA,WALDO CITY HALL,87,270,357,-51.26050420168068,standard_xlsx,WALDO CITY HALL,exact_normalized,True,False,0112114
TALLADEGA,FAYETTEVILLE FIRE DEPARTMENT,157,501,658,-52.27963525835866,standard_xlsx,FAYETTEVILLE FIRE DEPARTMENT,review,False,False,0112110
TALLADEGA,COUNTY LINE VOL FIRE DEPT.,56,314,370,-69.72972972972973,standard_xlsx,COUNTY LINE VOLUNTEER FIRE DEPARTMENT,review,False,False,0112115
TALLADEGA,STEMLEY VOL. FIRE DEPARTMENT,412,742,1154,-28.59618717504333,standard_xlsx,STEMLEY VOLUNTEER FIRE DEPARTMENT,review,False,False,011219
TALLADEGA,RENFROE VOL. FIRE DEPARTMENT,257,599,856,-39.953271028037385,standard_xlsx,RENFROE VOLUNTEER FIRE DEPARTMENT,review,False,False,011214
TALLADEGA,MUNFORD OLD HIGH SCHOOL GYM,483,998,1481,-34.773801485482785,standard_xlsx,MUNFORD OLD HIGH SCHOOL GYM,review,False,False,011212
TALLADEGA,ABSENTEE,322,644,966,-33.333333333333336,standard_xlsx,ABSENTEE,non_geographic,False,True,
TALLADEGA,PROVISIONAL,1,7,8,-75.0,standard_xlsx,PROVISIONAL,non_geographic,False,True,
TALLAPOOSA,A/C HOUSING AUTHORITY,463,368,831,11.432009626955477,standard_xlsx,A C HOUSING AUTHORITY,review,False,False,01123101
TALLAPOOSA,COOPER COMMUNITY CENTER,1398,870,2268,23.28042328042328,standard_xlsx,COOPER COMMUNITY CENTER,review,False,False,01123302
TALLAPOOSA,MONCRIEF,29,182,211,-72.51184834123222,standard_xlsx,MONCRIEF,review,False,False,01123601
TALLAPOOSA,OURTOWN V.F.D.,98,565,663,-70.43740573152338,standard_xlsx,OURTOWN V F D,review,False,False,01123201
TALLAPOOSA,ALEX CITY NATIONAL GUARD,387,1251,1638,-52.747252747252745,standard_xlsx,ALEX CITY NATIONAL GUARD,review,False,False,01123101
TALLAPOOSA,ALEX CITY FIRE LAKE HILL,153,680,833,-63.265306122448976,standard_xlsx,ALEX CITY FIRE LAKE HILL,review,False,False,01123303
TALLAPOOSA,HILLABEE BAPTIST CHURCH,57,580,637,-82.10361067503925,standard_xlsx,HILLABEE BAPTIST CHURCH,exact_normalized,True,False,01123301
TALLAPOOSA,HACKNEYVILLE COMMUNITY CENTER,61,575,636,-80.81761006289308,standard_xlsx,HACKNEYVILLE COMMUNITY CENTER,review,False,False,011231701
TALLAPOOSA,COWPENS VOTING HOUSE,71,324,395,-64.0506329113924,standard_xlsx,COWPENS VOTING HOUSE,exact_normalized,True,False,01123401
TALLAPOOSA,NEW SITE TOWN HALL,96,499,595,-67.73109243697479,standard_xlsx,NEW SITE TOWN HALL,exact_normalized,True,False,01123501
TALLAPOOSA,EAGLE CREEK VOTING HOUSE,42,182,224,-62.5,standard_xlsx,EAGLE CREEK VOTING HOUSE,exact_normalized,True,False,01123601
TALLAPOOSA,DADEVILLE RECREATION CENTER,774,698,1472,5.163043478260869,standard_xlsx,DADEVILLE RECREATION CENTER,review,False,False,011231204
TALLAPOOSA,MANOY VOTING HOUSE,116,701,817,-71.60342717258261,standard_xlsx,MANOY VOTING HOUSE,exact_normalized,True,False,01123801
