match_method,precincts,dem_votes,rep_votes,two_party_votes,vote_share
exact_normalized,592,203364,355797,559161,0.2809296647147928
fuzzy_high,228,98400,133066,231466,0.11629148988014942
fuzzy_medium,219,50108,83329,133437,0.06704046181788037
non_geographic,127,31643,52709,84352,0.04237952768169132
review,987,386829,595150,981979,0.4933588559054861
